 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.00000E+03 eV = 7.34987E+01 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: analytical DHFS model
 #                   A1 =  2.09753D-01 ,   ALPHA1 = 2.44080D+01
 #                   A2 =  6.00426D-01 ,   ALPHA2 = 3.96429D+00
 #                   A3 =  1.89821D-01 ,   ALPHA3 = 1.53432D+00
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.71175E-16 cm**2 = 6.11277E+00 a0**2
 # 1st transport cross section = 3.63825E-17 cm**2 = 1.29924E+00 a0**2
 # 2nd transport cross section = 3.44100E-17 cm**2 = 1.22880E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.19915E-15  1.14244E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  3.19915E-15  1.14244E+02  4.68801E-09  1.0E-07
  1.250E-04  1.18994E-12  3.19915E-15  1.14244E+02  5.86001E-09  1.0E-07
  1.500E-04  1.71346E-12  3.19915E-15  1.14244E+02  7.03202E-09  1.0E-07
  1.750E-04  2.33225E-12  3.19915E-15  1.14244E+02  8.20402E-09  1.0E-07
  2.000E-04  3.04617E-12  3.19915E-15  1.14244E+02  9.37602E-09  1.0E-07
  2.250E-04  3.85530E-12  3.19915E-15  1.14244E+02  1.05480E-08  1.0E-07
  2.500E-04  4.75964E-12  3.19915E-15  1.14244E+02  1.17200E-08  1.0E-07
  2.750E-04  5.75917E-12  3.19915E-15  1.14244E+02  1.28920E-08  1.0E-07
  3.000E-04  6.85391E-12  3.19915E-15  1.14244E+02  1.40640E-08  1.0E-07
  3.250E-04  8.04379E-12  3.19915E-15  1.14244E+02  1.52360E-08  1.0E-07
  3.500E-04  9.32893E-12  3.19915E-15  1.14244E+02  1.64080E-08  1.0E-07
  3.750E-04  1.07092E-11  3.19915E-15  1.14244E+02  1.75800E-08  1.0E-07
  4.000E-04  1.21847E-11  3.19915E-15  1.14244E+02  1.87520E-08  1.0E-07
  4.250E-04  1.37554E-11  3.19915E-15  1.14244E+02  1.99240E-08  1.0E-07
  4.500E-04  1.54213E-11  3.19915E-15  1.14244E+02  2.10960E-08  1.0E-07
  4.750E-04  1.71823E-11  3.19915E-15  1.14244E+02  2.22680E-08  1.0E-07
  5.000E-04  1.90386E-11  3.19915E-15  1.14244E+02  2.34401E-08  1.0E-07
  5.250E-04  2.09900E-11  3.19915E-15  1.14244E+02  2.46121E-08  1.0E-07
  5.500E-04  2.30367E-11  3.19915E-15  1.14244E+02  2.57841E-08  1.0E-07
  5.750E-04  2.51785E-11  3.19915E-15  1.14244E+02  2.69561E-08  1.0E-07
  6.000E-04  2.74156E-11  3.19915E-15  1.14244E+02  2.81281E-08  1.0E-07
  6.250E-04  2.97478E-11  3.19915E-15  1.14244E+02  2.93001E-08  1.0E-07
