 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+03 eV = 1.46997E+02 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: analytical DHFS model
 #                   A1 =  2.09753D-01 ,   ALPHA1 = 2.44080D+01
 #                   A2 =  6.00426D-01 ,   ALPHA2 = 3.96429D+00
 #                   A3 =  1.89821D-01 ,   ALPHA3 = 1.53432D+00
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.23718E-16 cm**2 = 4.41807E+00 a0**2
 # 1st transport cross section = 1.57267E-17 cm**2 = 5.61609E-01 a0**2
 # 2nd transport cross section = 1.90516E-17 cm**2 = 6.80346E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.06979E-15  1.45335E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  4.06979E-15  1.45335E+02  7.77027E-10  1.0E-07
  1.250E-04  1.18994E-12  4.06979E-15  1.45335E+02  9.71284E-10  1.0E-07
  1.500E-04  1.71346E-12  4.06979E-15  1.45335E+02  1.16554E-09  1.0E-07
  1.750E-04  2.33225E-12  4.06979E-15  1.45335E+02  1.35980E-09  1.0E-07
  2.000E-04  3.04617E-12  4.06979E-15  1.45335E+02  1.55405E-09  1.0E-07
  2.250E-04  3.85530E-12  4.06979E-15  1.45335E+02  1.74831E-09  1.0E-07
  2.500E-04  4.75964E-12  4.06979E-15  1.45335E+02  1.94257E-09  1.0E-07
  2.750E-04  5.75917E-12  4.06979E-15  1.45335E+02  2.13682E-09  1.0E-07
  3.000E-04  6.85391E-12  4.06979E-15  1.45335E+02  2.33108E-09  1.0E-07
  3.250E-04  8.04379E-12  4.06979E-15  1.45335E+02  2.52534E-09  1.0E-07
  3.500E-04  9.32893E-12  4.06979E-15  1.45335E+02  2.71960E-09  1.0E-07
  3.750E-04  1.07092E-11  4.06979E-15  1.45335E+02  2.91385E-09  1.0E-07
  4.000E-04  1.21847E-11  4.06979E-15  1.45335E+02  3.10811E-09  1.0E-07
  4.250E-04  1.37554E-11  4.06979E-15  1.45335E+02  3.30237E-09  1.0E-07
  4.500E-04  1.54213E-11  4.06979E-15  1.45335E+02  3.49662E-09  1.0E-07
  4.750E-04  1.71823E-11  4.06979E-15  1.45335E+02  3.69088E-09  1.0E-07
  5.000E-04  1.90386E-11  4.06979E-15  1.45335E+02  3.88514E-09  1.0E-07
  5.250E-04  2.09900E-11  4.06979E-15  1.45335E+02  4.07939E-09  1.0E-07
  5.500E-04  2.30367E-11  4.06979E-15  1.45335E+02  4.27365E-09  1.0E-07
  5.750E-04  2.51785E-11  4.06979E-15  1.45335E+02  4.46791E-09  1.0E-07
  6.000E-04  2.74156E-11  4.06979E-15  1.45335E+02  4.66216E-09  1.0E-07
  6.250E-04  2.97478E-11  4.06979E-15  1.45335E+02  4.85642E-09  1.0E-07
  6.500E-04  3.21752E-11  4.06979E-15  1.45335E+02  5.05068E-09  1.0E-07
  6.750E-04  3.46979E-11  4.06979E-15  1.45335E+02  5.24493E-09  1.0E-07
  7.000E-04  3.73157E-11  4.06979E-15  1.45335E+02  5.43919E-09  1.0E-07
  7.250E-04  4.00286E-11  4.06979E-15  1.45335E+02  5.63345E-09  1.0E-07
  7.500E-04  4.28368E-11  4.06979E-15  1.45335E+02  5.82770E-09  1.0E-07
  7.750E-04  4.57402E-11  4.06979E-15  1.45335E+02  6.02196E-09  1.0E-07
  8.000E-04  4.87388E-11  4.06979E-15  1.45335E+02  6.21622E-09  1.0E-07
  8.250E-04  5.18325E-11  4.06979E-15  1.45335E+02  6.41047E-09  1.0E-07
  8.500E-04  5.50215E-11  4.06979E-15  1.45335E+02  6.60473E-09  1.0E-07
  8.750E-04  5.83057E-11  4.06979E-15  1.45335E+02  6.79899E-09  1.0E-07
  9.000E-04  6.16850E-11  4.06979E-15  1.45335E+02  6.99325E-09  1.0E-07
  9.250E-04  6.51595E-11  4.06979E-15  1.45335E+02  7.18750E-09  1.0E-07
  9.500E-04  6.87293E-11  4.06979E-15  1.45335E+02  7.38176E-09  1.0E-07
  9.750E-04  7.23943E-11  4.06979E-15  1.45335E+02  7.57602E-09  1.0E-07
