 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.70000E+01 eV = 6.24739E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: analytical DHFS model
 #                   A1 =  2.09753D-01 ,   ALPHA1 = 2.44080D+01
 #                   A2 =  6.00426D-01 ,   ALPHA2 = 3.96429D+00
 #                   A3 =  1.89821D-01 ,   ALPHA3 = 1.53432D+00
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 1.00000E+00
 #
 # Total elastic cross section = 3.88093E-15 cm**2 = 1.38590E+02 a0**2
 # 1st transport cross section = 1.47382E-15 cm**2 = 5.26311E+01 a0**2
 # 2nd transport cross section = 1.18516E-15 cm**2 = 4.23230E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.89751E-15  2.82025E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  7.89751E-15  2.82025E+02  1.11149E-07  1.0E-07
  1.250E-04  1.18994E-12  7.89751E-15  2.82025E+02  1.38937E-07  1.0E-07
  1.500E-04  1.71346E-12  7.89751E-15  2.82025E+02  1.66724E-07  1.0E-07
  1.750E-04  2.33225E-12  7.89751E-15  2.82025E+02  1.94511E-07  1.0E-07
  2.000E-04  3.04617E-12  7.89751E-15  2.82025E+02  2.22299E-07  1.0E-07
  2.250E-04  3.85530E-12  7.89751E-15  2.82025E+02  2.50086E-07  1.0E-07
  2.500E-04  4.75964E-12  7.89751E-15  2.82025E+02  2.77873E-07  1.0E-07
  2.750E-04  5.75917E-12  7.89751E-15  2.82025E+02  3.05661E-07  1.0E-07
  3.000E-04  6.85391E-12  7.89751E-15  2.82025E+02  3.33448E-07  1.0E-07
  3.250E-04  8.04379E-12  7.89751E-15  2.82025E+02  3.61235E-07  1.0E-07
  3.500E-04  9.32893E-12  7.89751E-15  2.82025E+02  3.89023E-07  1.0E-07
  3.750E-04  1.07092E-11  7.89751E-15  2.82025E+02  4.16810E-07  1.0E-07
  4.000E-04  1.21847E-11  7.89751E-15  2.82025E+02  4.44597E-07  1.0E-07
  4.250E-04  1.37554E-11  7.89751E-15  2.82025E+02  4.72385E-07  1.0E-07
  4.500E-04  1.54213E-11  7.89751E-15  2.82025E+02  5.00172E-07  1.0E-07
  4.750E-04  1.71823E-11  7.89751E-15  2.82025E+02  5.27959E-07  1.0E-07
  5.000E-04  1.90386E-11  7.89751E-15  2.82025E+02  5.55747E-07  1.0E-07
  5.250E-04  2.09900E-11  7.89751E-15  2.82025E+02  5.83534E-07  1.0E-07
  5.500E-04  2.30367E-11  7.89751E-15  2.82025E+02  6.11321E-07  1.0E-07
  5.750E-04  2.51785E-11  7.89751E-15  2.82025E+02  6.39109E-07  1.0E-07
  6.000E-04  2.74156E-11  7.89751E-15  2.82025E+02  6.66896E-07  1.0E-07
  6.250E-04  2.97478E-11  7.89751E-15  2.82025E+02  6.94683E-07  1.0E-07
  6.500E-04  3.21752E-11  7.89751E-15  2.82025E+02  7.22471E-07  1.0E-07
  6.750E-04  3.46979E-11  7.89751E-15  2.82025E+02  7.50258E-07  1.0E-07
  7.000E-04  3.73157E-11  7.89751E-15  2.82025E+02  7.78045E-07  1.0E-07
  7.250E-04  4.00286E-11  7.89751E-15  2.82025E+02  8.05833E-07  1.0E-07
  7.500E-04  4.28368E-11  7.89751E-15  2.82025E+02  8.33620E-07  1.0E-07
  7.750E-04  4.57402E-11  7.89751E-15  2.82025E+02  8.61407E-07  1.0E-07
  8.000E-04  4.87388E-11  7.89751E-15  2.82025E+02  8.89195E-07  1.0E-07
  8.250E-04  5.18325E-11  7.89751E-15  2.82025E+02  9.16982E-07  1.0E-07
  8.500E-04  5.50215E-11  7.89751E-15  2.82025E+02  9.44769E-07  1.0E-07
  8.750E-04  5.83057E-11  7.89751E-15  2.82025E+02  9.72557E-07  1.0E-07
  9.000E-04  6.16850E-11  7.89751E-15  2.82025E+02  1.00034E-06  1.0E-07
  9.250E-04  6.51595E-11  7.89751E-15  2.82025E+02  1.02813E-06  1.0E-07
  9.500E-04  6.87293E-11  7.89751E-15  2.82025E+02  1.05592E-06  1.0E-07
  9.750E-04  7.23943E-11  7.89751E-15  2.82025E+02  1.08371E-06  1.0E-07
  1.000E-03  7.61544E-11  7.89751E-15  2.82025E+02  1.11149E-06  1.0E-07
  1.250E-03  1.18991E-10  7.89751E-15  2.82025E+02  1.38937E-06  1.0E-07
  1.500E-03  1.71347E-10  7.89751E-15  2.82025E+02  1.66724E-06  1.0E-07
  1.750E-03  2.33223E-10  7.89751E-15  2.82025E+02  1.94511E-06  1.0E-07
  2.000E-03  3.04617E-10  7.89751E-15  2.82025E+02  2.22299E-06  1.0E-07
  2.250E-03  3.85531E-10  7.89751E-15  2.82025E+02  2.50086E-06  1.0E-07
  2.500E-03  4.75965E-10  7.89751E-15  2.82025E+02  2.77873E-06  1.0E-07
  2.750E-03  5.75917E-10  7.89751E-15  2.82025E+02  3.05661E-06  1.0E-07
  3.000E-03  6.85389E-10  7.89751E-15  2.82025E+02  3.33448E-06  1.0E-07
  3.250E-03  8.04380E-10  7.89751E-15  2.82025E+02  3.61235E-06  1.0E-07
  3.500E-03  9.32891E-10  7.89751E-15  2.82025E+02  3.89023E-06  1.0E-07
  3.750E-03  1.07092E-09  7.89750E-15  2.82025E+02  4.16810E-06  1.0E-07
  4.000E-03  1.21847E-09  7.89750E-15  2.82025E+02  4.44597E-06  1.0E-07
  4.250E-03  1.37554E-09  7.89750E-15  2.82025E+02  4.72385E-06  1.0E-07
  4.500E-03  1.54213E-09  7.89750E-15  2.82025E+02  5.00172E-06  1.0E-07
  4.750E-03  1.71823E-09  7.89750E-15  2.82025E+02  5.27959E-06  1.0E-07
  5.000E-03  1.90386E-09  7.89750E-15  2.82025E+02  5.55747E-06  1.0E-07
  5.250E-03  2.09900E-09  7.89750E-15  2.82025E+02  5.83534E-06  1.0E-07
  5.500E-03  2.30367E-09  7.89750E-15  2.82025E+02  6.11322E-06  1.0E-07
  5.750E-03  2.51785E-09  7.89750E-15  2.82025E+02  6.39109E-06  1.0E-07
  6.000E-03  2.74156E-09  7.89750E-15  2.82025E+02  6.66896E-06  1.0E-07
  6.250E-03  2.97478E-09  7.89750E-15  2.82025E+02  6.94684E-06  1.0E-07
  6.500E-03  3.21752E-09  7.89750E-15  2.82025E+02  7.22471E-06  1.0E-07
  6.750E-03  3.46978E-09  7.89750E-15  2.82025E+02  7.50258E-06  1.0E-07
  7.000E-03  3.73156E-09  7.89750E-15  2.82025E+02  7.78046E-06  1.0E-07
  7.250E-03  4.00286E-09  7.89750E-15  2.82025E+02  8.05833E-06  1.0E-07
  7.500E-03  4.28368E-09  7.89750E-15  2.82025E+02  8.33620E-06  1.0E-07
  7.750E-03  4.57402E-09  7.89750E-15  2.82025E+02  8.61408E-06  1.0E-07
  8.000E-03  4.87388E-09  7.89750E-15  2.82025E+02  8.89195E-06  1.0E-07
  8.250E-03  5.18326E-09  7.89750E-15  2.82025E+02  9.16983E-06  1.0E-07
  8.500E-03  5.50215E-09  7.89750E-15  2.82025E+02  9.44770E-06  1.0E-07
  8.750E-03  5.83057E-09  7.89750E-15  2.82025E+02  9.72557E-06  1.0E-07
  9.000E-03  6.16850E-09  7.89750E-15  2.82025E+02  1.00034E-05  1.0E-07
  9.250E-03  6.51596E-09  7.89750E-15  2.82025E+02  1.02813E-05  1.0E-07
  9.500E-03  6.87293E-09  7.89750E-15  2.82025E+02  1.05592E-05  1.0E-07
  9.750E-03  7.23942E-09  7.89750E-15  2.82025E+02  1.08371E-05  1.0E-07
  1.000E-02  7.61544E-09  7.89749E-15  2.82025E+02  1.11149E-05  1.0E-07
  1.250E-02  1.18991E-08  7.89749E-15  2.82024E+02  1.38937E-05  1.0E-07
  1.500E-02  1.71347E-08  7.89748E-15  2.82024E+02  1.66724E-05  1.0E-07
  1.750E-02  2.33223E-08  7.89747E-15  2.82024E+02  1.94512E-05  1.0E-07
  2.000E-02  3.04617E-08  7.89746E-15  2.82023E+02  2.22299E-05  1.0E-07
  2.250E-02  3.85531E-08  7.89745E-15  2.82023E+02  2.50087E-05  1.0E-07
  2.500E-02  4.75965E-08  7.89743E-15  2.82023E+02  2.77875E-05  1.0E-07
  2.750E-02  5.75917E-08  7.89742E-15  2.82022E+02  3.05663E-05  1.0E-07
  3.000E-02  6.85389E-08  7.89740E-15  2.82021E+02  3.33450E-05  1.0E-07
  3.250E-02  8.04380E-08  7.89738E-15  2.82021E+02  3.61238E-05  1.0E-07
  3.500E-02  9.32891E-08  7.89737E-15  2.82020E+02  3.89027E-05  1.0E-07
  3.750E-02  1.07092E-07  7.89734E-15  2.82019E+02  4.16815E-05  1.0E-07
  4.000E-02  1.21847E-07  7.89732E-15  2.82018E+02  4.44603E-05  1.0E-07
  4.250E-02  1.37554E-07  7.89730E-15  2.82018E+02  4.72392E-05  1.0E-07
  4.500E-02  1.54213E-07  7.89727E-15  2.82017E+02  5.00180E-05  1.0E-07
  4.750E-02  1.71823E-07  7.89725E-15  2.82016E+02  5.27969E-05  1.0E-07
  5.000E-02  1.90386E-07  7.89722E-15  2.82015E+02  5.55758E-05  1.0E-07
  5.250E-02  2.09900E-07  7.89719E-15  2.82014E+02  5.83547E-05  1.0E-07
  5.500E-02  2.30367E-07  7.89716E-15  2.82013E+02  6.11336E-05  1.0E-07
  5.750E-02  2.51785E-07  7.89713E-15  2.82011E+02  6.39126E-05  1.0E-07
  6.000E-02  2.74156E-07  7.89709E-15  2.82010E+02  6.66916E-05  1.0E-07
  6.250E-02  2.97478E-07  7.89706E-15  2.82009E+02  6.94706E-05  1.0E-07
  6.500E-02  3.21752E-07  7.89702E-15  2.82008E+02  7.22496E-05  1.0E-07
  6.750E-02  3.46978E-07  7.89698E-15  2.82006E+02  7.50286E-05  1.0E-07
  7.000E-02  3.73156E-07  7.89694E-15  2.82005E+02  7.78076E-05  1.0E-07
  7.250E-02  4.00286E-07  7.89690E-15  2.82003E+02  8.05867E-05  1.0E-07
  7.500E-02  4.28368E-07  7.89686E-15  2.82002E+02  8.33658E-05  1.0E-07
  7.750E-02  4.57402E-07  7.89681E-15  2.82000E+02  8.61450E-05  1.0E-07
  8.000E-02  4.87388E-07  7.89677E-15  2.81999E+02  8.89241E-05  1.0E-07
  8.250E-02  5.18325E-07  7.89672E-15  2.81997E+02  9.17033E-05  1.0E-07
  8.500E-02  5.50215E-07  7.89667E-15  2.81995E+02  9.44825E-05  1.0E-07
  8.750E-02  5.83057E-07  7.89662E-15  2.81994E+02  9.72617E-05  1.0E-07
  9.000E-02  6.16850E-07  7.89657E-15  2.81992E+02  1.00041E-04  1.0E-07
  9.250E-02  6.51596E-07  7.89652E-15  2.81990E+02  1.02820E-04  1.0E-07
  9.500E-02  6.87293E-07  7.89647E-15  2.81988E+02  1.05600E-04  1.0E-07
  9.750E-02  7.23942E-07  7.89641E-15  2.81986E+02  1.08379E-04  1.0E-07
  1.000E-01  7.61543E-07  7.89635E-15  2.81984E+02  1.11158E-04  1.0E-07
  1.250E-01  1.18991E-06  7.89570E-15  2.81961E+02  1.38954E-04  1.0E-07
  1.500E-01  1.71347E-06  7.89491E-15  2.81932E+02  1.66755E-04  1.0E-07
  1.750E-01  2.33223E-06  7.89398E-15  2.81899E+02  1.94560E-04  1.0E-07
  2.000E-01  3.04617E-06  7.89290E-15  2.81861E+02  2.22371E-04  1.0E-07
  2.250E-01  3.85531E-06  7.89168E-15  2.81817E+02  2.50189E-04  1.0E-07
  2.500E-01  4.75964E-06  7.89032E-15  2.81768E+02  2.78015E-04  1.0E-07
  2.750E-01  5.75916E-06  7.88881E-15  2.81715E+02  3.05849E-04  1.0E-07
  3.000E-01  6.85388E-06  7.88717E-15  2.81656E+02  3.33692E-04  1.0E-07
  3.250E-01  8.04378E-06  7.88538E-15  2.81592E+02  3.61545E-04  1.0E-07
  3.500E-01  9.32888E-06  7.88345E-15  2.81523E+02  3.89410E-04  1.0E-07
  3.750E-01  1.07092E-05  7.88139E-15  2.81449E+02  4.17285E-04  1.0E-07
  4.000E-01  1.21846E-05  7.87919E-15  2.81371E+02  4.45174E-04  1.0E-07
  4.250E-01  1.37553E-05  7.87684E-15  2.81287E+02  4.73076E-04  1.0E-07
  4.500E-01  1.54212E-05  7.87437E-15  2.81199E+02  5.00992E-04  1.0E-07
  4.750E-01  1.71822E-05  7.87175E-15  2.81105E+02  5.28922E-04  1.0E-07
  5.000E-01  1.90385E-05  7.86901E-15  2.81007E+02  5.56869E-04  1.0E-07
  5.250E-01  2.09899E-05  7.86612E-15  2.80904E+02  5.84831E-04  1.0E-07
  5.500E-01  2.30365E-05  7.86311E-15  2.80797E+02  6.12811E-04  1.0E-07
  5.750E-01  2.51783E-05  7.85996E-15  2.80684E+02  6.40809E-04  1.0E-07
  6.000E-01  2.74153E-05  7.85669E-15  2.80567E+02  6.68826E-04  1.0E-07
  6.250E-01  2.97475E-05  7.85328E-15  2.80446E+02  6.96862E-04  1.0E-07
  6.500E-01  3.21749E-05  7.84974E-15  2.80319E+02  7.24918E-04  1.0E-07
  6.750E-01  3.46974E-05  7.84608E-15  2.80189E+02  7.52995E-04  1.0E-07
  7.000E-01  3.73152E-05  7.84229E-15  2.80053E+02  7.81093E-04  1.0E-07
  7.250E-01  4.00281E-05  7.83838E-15  2.79914E+02  8.09214E-04  1.0E-07
  7.500E-01  4.28362E-05  7.83435E-15  2.79770E+02  8.37358E-04  1.0E-07
  7.750E-01  4.57395E-05  7.83019E-15  2.79621E+02  8.65525E-04  1.0E-07
  8.000E-01  4.87380E-05  7.82591E-15  2.79468E+02  8.93716E-04  1.0E-07
  8.250E-01  5.18317E-05  7.82152E-15  2.79311E+02  9.21933E-04  1.0E-07
  8.500E-01  5.50205E-05  7.81701E-15  2.79150E+02  9.50175E-04  1.0E-07
  8.750E-01  5.83045E-05  7.81238E-15  2.78985E+02  9.78443E-04  1.0E-07
  9.000E-01  6.16838E-05  7.80763E-15  2.78816E+02  1.00674E-03  1.0E-07
  9.250E-01  6.51582E-05  7.80278E-15  2.78642E+02  1.03506E-03  1.0E-07
  9.500E-01  6.87277E-05  7.79781E-15  2.78465E+02  1.06341E-03  1.0E-07
  9.750E-01  7.23925E-05  7.79274E-15  2.78284E+02  1.09179E-03  1.0E-07
  1.000E+00  7.61524E-05  7.78755E-15  2.78099E+02  1.12020E-03  1.0E-07
  1.100E+00  9.21439E-05  7.76578E-15  2.77321E+02  1.23413E-03  1.0E-07
  1.200E+00  1.09658E-04  7.74242E-15  2.76487E+02  1.34856E-03  1.0E-07
  1.300E+00  1.28695E-04  7.71760E-15  2.75601E+02  1.46353E-03  1.0E-07
  1.400E+00  1.49255E-04  7.69144E-15  2.74666E+02  1.57906E-03  1.0E-07
  1.500E+00  1.71338E-04  7.66405E-15  2.73688E+02  1.69517E-03  1.0E-07
  1.600E+00  1.94942E-04  7.63556E-15  2.72671E+02  1.81188E-03  1.0E-07
  1.700E+00  2.20070E-04  7.60610E-15  2.71619E+02  1.92919E-03  1.0E-07
  1.800E+00  2.46720E-04  7.57577E-15  2.70536E+02  2.04713E-03  1.0E-07
  1.900E+00  2.74892E-04  7.54471E-15  2.69427E+02  2.16570E-03  1.0E-07
  2.000E+00  3.04586E-04  7.51303E-15  2.68295E+02  2.28489E-03  1.0E-07
  2.100E+00  3.35803E-04  7.48083E-15  2.67145E+02  2.40471E-03  1.0E-07
  2.200E+00  3.68542E-04  7.44821E-15  2.65981E+02  2.52516E-03  1.0E-07
  2.300E+00  4.02802E-04  7.41529E-15  2.64805E+02  2.64624E-03  1.0E-07
  2.400E+00  4.38585E-04  7.38214E-15  2.63621E+02  2.76792E-03  1.0E-07
  2.500E+00  4.75889E-04  7.34884E-15  2.62432E+02  2.89022E-03  1.0E-07
  2.600E+00  5.14715E-04  7.31549E-15  2.61241E+02  3.01311E-03  1.0E-07
  2.700E+00  5.55063E-04  7.28213E-15  2.60050E+02  3.13658E-03  1.0E-07
  2.800E+00  5.96931E-04  7.24884E-15  2.58861E+02  3.26062E-03  1.0E-07
  2.900E+00  6.40321E-04  7.21567E-15  2.57676E+02  3.38523E-03  1.0E-07
  3.000E+00  6.85233E-04  7.18265E-15  2.56497E+02  3.51038E-03  1.0E-07
  3.100E+00  7.31665E-04  7.14982E-15  2.55325E+02  3.63607E-03  1.0E-07
  3.200E+00  7.79618E-04  7.11722E-15  2.54161E+02  3.76228E-03  1.0E-07
  3.300E+00  8.29092E-04  7.08487E-15  2.53005E+02  3.88900E-03  1.0E-07
  3.400E+00  8.80086E-04  7.05277E-15  2.51859E+02  4.01622E-03  1.0E-07
  3.500E+00  9.32601E-04  7.02095E-15  2.50723E+02  4.14394E-03  1.0E-07
  3.600E+00  9.86636E-04  6.98940E-15  2.49596E+02  4.27215E-03  1.0E-07
  3.700E+00  1.04219E-03  6.95813E-15  2.48479E+02  4.40084E-03  1.0E-07
  3.800E+00  1.09927E-03  6.92712E-15  2.47372E+02  4.53000E-03  1.0E-07
  3.900E+00  1.15786E-03  6.89637E-15  2.46274E+02  4.65964E-03  1.0E-07
  4.000E+00  1.21797E-03  6.86587E-15  2.45184E+02  4.78976E-03  1.0E-07
  4.100E+00  1.27961E-03  6.83559E-15  2.44103E+02  4.92035E-03  1.0E-07
  4.200E+00  1.34276E-03  6.80553E-15  2.43030E+02  5.05141E-03  1.0E-07
  4.300E+00  1.40743E-03  6.77567E-15  2.41963E+02  5.18296E-03  1.0E-07
  4.400E+00  1.47362E-03  6.74598E-15  2.40903E+02  5.31499E-03  1.0E-07
  4.500E+00  1.54133E-03  6.71644E-15  2.39849E+02  5.44751E-03  1.0E-07
  4.600E+00  1.61056E-03  6.68705E-15  2.38799E+02  5.58052E-03  1.0E-07
  4.700E+00  1.68131E-03  6.65776E-15  2.37753E+02  5.71404E-03  1.0E-07
  4.800E+00  1.75357E-03  6.62858E-15  2.36711E+02  5.84807E-03  1.0E-07
  4.900E+00  1.82735E-03  6.59948E-15  2.35672E+02  5.98262E-03  1.0E-07
  5.000E+00  1.90265E-03  6.57045E-15  2.34635E+02  6.11769E-03  1.0E-07
  5.100E+00  1.97947E-03  6.54147E-15  2.33600E+02  6.25329E-03  1.0E-07
  5.200E+00  2.05780E-03  6.51253E-15  2.32567E+02  6.38944E-03  1.0E-07
  5.300E+00  2.13765E-03  6.48362E-15  2.31534E+02  6.52613E-03  1.0E-07
  5.400E+00  2.21902E-03  6.45473E-15  2.30503E+02  6.66338E-03  1.0E-07
  5.500E+00  2.30190E-03  6.42586E-15  2.29472E+02  6.80119E-03  1.0E-07
  5.600E+00  2.38630E-03  6.39701E-15  2.28441E+02  6.93956E-03  1.0E-07
  5.700E+00  2.47222E-03  6.36816E-15  2.27411E+02  7.07850E-03  1.0E-07
  5.800E+00  2.55965E-03  6.33932E-15  2.26381E+02  7.21801E-03  1.0E-07
  5.900E+00  2.64859E-03  6.31050E-15  2.25352E+02  7.35810E-03  1.0E-07
  6.000E+00  2.73905E-03  6.28169E-15  2.24323E+02  7.49876E-03  1.0E-07
  6.100E+00  2.83103E-03  6.25290E-15  2.23295E+02  7.64000E-03  1.0E-07
  6.200E+00  2.92452E-03  6.22413E-15  2.22268E+02  7.78181E-03  1.0E-07
  6.300E+00  3.01952E-03  6.19539E-15  2.21241E+02  7.92420E-03  1.0E-07
  6.400E+00  3.11604E-03  6.16669E-15  2.20217E+02  8.06716E-03  1.0E-07
  6.500E+00  3.21407E-03  6.13803E-15  2.19193E+02  8.21068E-03  1.0E-07
  6.600E+00  3.31362E-03  6.10943E-15  2.18172E+02  8.35478E-03  1.0E-07
  6.700E+00  3.41468E-03  6.08088E-15  2.17152E+02  8.49943E-03  1.0E-07
  6.800E+00  3.51725E-03  6.05239E-15  2.16135E+02  8.64465E-03  1.0E-07
  6.900E+00  3.62133E-03  6.02398E-15  2.15120E+02  8.79042E-03  1.0E-07
  7.000E+00  3.72692E-03  5.99565E-15  2.14109E+02  8.93674E-03  1.0E-07
  7.100E+00  3.83403E-03  5.96740E-15  2.13100E+02  9.08361E-03  1.0E-07
  7.200E+00  3.94265E-03  5.93924E-15  2.12094E+02  9.23102E-03  1.0E-07
  7.300E+00  4.05278E-03  5.91117E-15  2.11092E+02  9.37897E-03  1.0E-07
  7.400E+00  4.16442E-03  5.88320E-15  2.10093E+02  9.52747E-03  1.0E-07
  7.500E+00  4.27757E-03  5.85532E-15  2.09097E+02  9.67650E-03  1.0E-07
  7.600E+00  4.39223E-03  5.82755E-15  2.08105E+02  9.82606E-03  1.0E-07
  7.700E+00  4.50840E-03  5.79987E-15  2.07117E+02  9.97617E-03  1.0E-07
  7.800E+00  4.62608E-03  5.77229E-15  2.06132E+02  1.01268E-02  1.0E-07
  7.900E+00  4.74527E-03  5.74481E-15  2.05151E+02  1.02780E-02  1.0E-07
  8.000E+00  4.86597E-03  5.71743E-15  2.04173E+02  1.04297E-02  1.0E-07
  8.100E+00  4.98817E-03  5.69014E-15  2.03199E+02  1.05819E-02  1.0E-07
  8.200E+00  5.11188E-03  5.66294E-15  2.02227E+02  1.07347E-02  1.0E-07
  8.300E+00  5.23711E-03  5.63583E-15  2.01259E+02  1.08881E-02  1.0E-07
  8.400E+00  5.36383E-03  5.60880E-15  2.00294E+02  1.10420E-02  1.0E-07
  8.500E+00  5.49207E-03  5.58185E-15  1.99331E+02  1.11965E-02  1.0E-07
  8.600E+00  5.62181E-03  5.55497E-15  1.98371E+02  1.13515E-02  1.0E-07
  8.700E+00  5.75306E-03  5.52816E-15  1.97414E+02  1.15071E-02  1.0E-07
  8.800E+00  5.88581E-03  5.50141E-15  1.96459E+02  1.16632E-02  1.0E-07
  8.900E+00  6.02007E-03  5.47472E-15  1.95506E+02  1.18200E-02  1.0E-07
  9.000E+00  6.15583E-03  5.44810E-15  1.94555E+02  1.19773E-02  1.0E-07
  9.100E+00  6.29310E-03  5.42152E-15  1.93606E+02  1.21353E-02  1.0E-07
  9.200E+00  6.43187E-03  5.39499E-15  1.92659E+02  1.22938E-02  1.0E-07
  9.300E+00  6.57214E-03  5.36851E-15  1.91713E+02  1.24530E-02  1.0E-07
  9.400E+00  6.71392E-03  5.34208E-15  1.90769E+02  1.26127E-02  1.0E-07
  9.500E+00  6.85720E-03  5.31569E-15  1.89827E+02  1.27731E-02  1.0E-07
  9.600E+00  7.00198E-03  5.28934E-15  1.88886E+02  1.29341E-02  1.0E-07
  9.700E+00  7.14827E-03  5.26303E-15  1.87946E+02  1.30957E-02  1.0E-07
  9.800E+00  7.29605E-03  5.23676E-15  1.87008E+02  1.32580E-02  1.0E-07
  9.900E+00  7.44534E-03  5.21053E-15  1.86071E+02  1.34209E-02  1.0E-07
  1.000E+01  7.59612E-03  5.18435E-15  1.85136E+02  1.35844E-02  1.0E-07
  1.025E+01  7.97965E-03  5.11907E-15  1.82805E+02  1.39960E-02  1.0E-07
  1.050E+01  8.37255E-03  5.05409E-15  1.80485E+02  1.44116E-02  1.0E-07
  1.075E+01  8.77480E-03  4.98943E-15  1.78176E+02  1.48312E-02  1.0E-07
  1.100E+01  9.18641E-03  4.92513E-15  1.75880E+02  1.52549E-02  1.0E-07
  1.125E+01  9.60736E-03  4.86123E-15  1.73598E+02  1.56826E-02  1.0E-07
  1.150E+01  1.00376E-02  4.79773E-15  1.71330E+02  1.61144E-02  1.0E-07
  1.175E+01  1.04773E-02  4.73466E-15  1.69078E+02  1.65503E-02  1.0E-07
  1.200E+01  1.09262E-02  4.67202E-15  1.66841E+02  1.69903E-02  1.0E-07
  1.225E+01  1.13844E-02  4.60979E-15  1.64619E+02  1.74346E-02  1.0E-07
  1.250E+01  1.18520E-02  4.54796E-15  1.62410E+02  1.78831E-02  1.0E-07
  1.275E+01  1.23288E-02  4.48649E-15  1.60216E+02  1.83361E-02  1.0E-07
  1.300E+01  1.28150E-02  4.42538E-15  1.58033E+02  1.87936E-02  1.0E-07
  1.325E+01  1.33104E-02  4.36459E-15  1.55862E+02  1.92557E-02  1.0E-07
  1.350E+01  1.38150E-02  4.30411E-15  1.53703E+02  1.97226E-02  1.0E-07
  1.375E+01  1.43290E-02  4.24394E-15  1.51554E+02  2.01943E-02  1.0E-07
  1.400E+01  1.48521E-02  4.18407E-15  1.49416E+02  2.06710E-02  1.0E-07
  1.425E+01  1.53845E-02  4.12451E-15  1.47289E+02  2.11528E-02  1.0E-07
  1.450E+01  1.59262E-02  4.06528E-15  1.45174E+02  2.16396E-02  1.0E-07
  1.475E+01  1.64770E-02  4.00638E-15  1.43070E+02  2.21317E-02  1.0E-07
  1.500E+01  1.70371E-02  3.94784E-15  1.40980E+02  2.26290E-02  1.0E-07
  1.525E+01  1.76063E-02  3.88967E-15  1.38903E+02  2.31316E-02  1.0E-07
  1.550E+01  1.81848E-02  3.83189E-15  1.36839E+02  2.36397E-02  1.0E-07
  1.575E+01  1.87724E-02  3.77449E-15  1.34790E+02  2.41533E-02  1.0E-07
  1.600E+01  1.93692E-02  3.71749E-15  1.32754E+02  2.46725E-02  1.0E-07
  1.625E+01  1.99751E-02  3.66087E-15  1.30732E+02  2.51974E-02  1.0E-07
  1.650E+01  2.05901E-02  3.60464E-15  1.28724E+02  2.57282E-02  1.0E-07
  1.675E+01  2.12143E-02  3.54879E-15  1.26729E+02  2.62651E-02  1.0E-07
  1.700E+01  2.18476E-02  3.49330E-15  1.24748E+02  2.68081E-02  1.0E-07
  1.725E+01  2.24900E-02  3.43817E-15  1.22779E+02  2.73576E-02  1.0E-07
  1.750E+01  2.31415E-02  3.38340E-15  1.20823E+02  2.79135E-02  1.0E-07
  1.775E+01  2.38021E-02  3.32898E-15  1.18880E+02  2.84761E-02  1.0E-07
  1.800E+01  2.44717E-02  3.27492E-15  1.16950E+02  2.90456E-02  1.0E-07
  1.825E+01  2.51504E-02  3.22123E-15  1.15032E+02  2.96220E-02  1.0E-07
  1.850E+01  2.58382E-02  3.16790E-15  1.13128E+02  3.02056E-02  1.0E-07
  1.875E+01  2.65349E-02  3.11496E-15  1.11237E+02  3.07965E-02  1.0E-07
  1.900E+01  2.72407E-02  3.06241E-15  1.09361E+02  3.13948E-02  1.0E-07
  1.925E+01  2.79555E-02  3.01027E-15  1.07499E+02  3.20008E-02  1.0E-07
  1.950E+01  2.86793E-02  2.95853E-15  1.05651E+02  3.26145E-02  1.0E-07
  1.975E+01  2.94120E-02  2.90720E-15  1.03818E+02  3.32361E-02  1.0E-07
  2.000E+01  3.01537E-02  2.85630E-15  1.02000E+02  3.38659E-02  1.0E-07
