 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.00000E+02 eV = 7.34987E+00 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: analytical DHFS model
 #                   A1 =  2.09753D-01 ,   ALPHA1 = 2.44080D+01
 #                   A2 =  6.00426D-01 ,   ALPHA2 = 3.96429D+00
 #                   A3 =  1.89821D-01 ,   ALPHA3 = 1.53432D+00
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 3.06186E+00
 #
 # Total elastic cross section = 7.97464E-16 cm**2 = 2.84779E+01 a0**2
 # 1st transport cross section = 9.68307E-17 cm**2 = 3.45789E+00 a0**2
 # 2nd transport cross section = 1.85974E-16 cm**2 = 6.64124E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.19441E-15  2.56917E+02  0.00000E+00  2.7E-06
  1.000E-04  7.61557E-13  7.19441E-15  2.56917E+02  2.65298E-08  2.7E-06
  1.250E-04  1.18994E-12  7.19441E-15  2.56917E+02  3.31622E-08  2.7E-06
  1.500E-04  1.71346E-12  7.19441E-15  2.56917E+02  3.97947E-08  2.7E-06
  1.750E-04  2.33225E-12  7.19441E-15  2.56917E+02  4.64271E-08  2.7E-06
  2.000E-04  3.04617E-12  7.19441E-15  2.56917E+02  5.30596E-08  2.7E-06
  2.250E-04  3.85530E-12  7.19441E-15  2.56917E+02  5.96920E-08  2.7E-06
  2.500E-04  4.75964E-12  7.19441E-15  2.56917E+02  6.63245E-08  2.7E-06
  2.750E-04  5.75917E-12  7.19441E-15  2.56917E+02  7.29569E-08  2.7E-06
  3.000E-04  6.85391E-12  7.19441E-15  2.56917E+02  7.95894E-08  2.7E-06
  3.250E-04  8.04379E-12  7.19441E-15  2.56917E+02  8.62218E-08  2.7E-06
  3.500E-04  9.32893E-12  7.19441E-15  2.56917E+02  9.28543E-08  2.7E-06
  3.750E-04  1.07092E-11  7.19441E-15  2.56917E+02  9.94867E-08  2.7E-06
  4.000E-04  1.21847E-11  7.19441E-15  2.56917E+02  1.06119E-07  2.7E-06
  4.250E-04  1.37554E-11  7.19441E-15  2.56917E+02  1.12752E-07  2.7E-06
  4.500E-04  1.54213E-11  7.19441E-15  2.56917E+02  1.19384E-07  2.7E-06
  4.750E-04  1.71823E-11  7.19441E-15  2.56917E+02  1.26017E-07  2.7E-06
  5.000E-04  1.90386E-11  7.19441E-15  2.56917E+02  1.32649E-07  2.7E-06
  5.250E-04  2.09900E-11  7.19441E-15  2.56917E+02  1.39281E-07  2.7E-06
