 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+03 eV = 1.65372E+02 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: analytical DHFS model
 #                   A1 =  2.09753D-01 ,   ALPHA1 = 2.44080D+01
 #                   A2 =  6.00426D-01 ,   ALPHA2 = 3.96429D+00
 #                   A3 =  1.89821D-01 ,   ALPHA3 = 1.53432D+00
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 1.66771E+01
 #
 # Total elastic cross section = 1.18444E-16 cm**2 = 4.22970E+00 a0**2
 # 1st transport cross section = 1.34929E-17 cm**2 = 4.81839E-01 a0**2
 # 2nd transport cross section = 1.70078E-17 cm**2 = 6.07361E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.12455E-15  2.54422E+02  0.00000E+00  4.6E-05
  1.000E-04  7.61557E-13  7.12455E-15  2.54422E+02  1.99745E-10  4.6E-05
  1.250E-04  1.18994E-12  7.12455E-15  2.54422E+02  2.49682E-10  4.6E-05
  1.500E-04  1.71346E-12  7.12455E-15  2.54422E+02  2.99618E-10  4.6E-05
  1.750E-04  2.33225E-12  7.12455E-15  2.54422E+02  3.49554E-10  4.6E-05
  2.000E-04  3.04617E-12  7.12455E-15  2.54422E+02  3.99491E-10  4.6E-05
  2.250E-04  3.85530E-12  7.12455E-15  2.54422E+02  4.49427E-10  4.6E-05
  2.500E-04  4.75964E-12  7.12455E-15  2.54422E+02  4.99363E-10  4.6E-05
  2.750E-04  5.75917E-12  7.12455E-15  2.54422E+02  5.49299E-10  4.6E-05
  3.000E-04  6.85391E-12  7.12455E-15  2.54422E+02  5.99236E-10  4.6E-05
  3.250E-04  8.04379E-12  7.12455E-15  2.54422E+02  6.49172E-10  4.6E-05
  3.500E-04  9.32893E-12  7.12454E-15  2.54422E+02  6.99108E-10  4.6E-05
  3.750E-04  1.07092E-11  7.12454E-15  2.54422E+02  7.49044E-10  4.6E-05
  4.000E-04  1.21847E-11  7.12454E-15  2.54422E+02  7.98980E-10  4.6E-05
  4.250E-04  1.37554E-11  7.12454E-15  2.54422E+02  8.48916E-10  4.6E-05
  4.500E-04  1.54213E-11  7.12454E-15  2.54422E+02  8.98852E-10  4.6E-05
  4.750E-04  1.71823E-11  7.12454E-15  2.54422E+02  9.48788E-10  4.6E-05
  5.000E-04  1.90386E-11  7.12454E-15  2.54422E+02  9.98724E-10  4.6E-05
  5.250E-04  2.09900E-11  7.12454E-15  2.54422E+02  1.04866E-09  4.6E-05
  5.500E-04  2.30367E-11  7.12454E-15  2.54422E+02  1.09859E-09  4.6E-05
  5.750E-04  2.51785E-11  7.12454E-15  2.54422E+02  1.14853E-09  4.6E-05
  6.000E-04  2.74156E-11  7.12454E-15  2.54422E+02  1.19847E-09  4.6E-05
  6.250E-04  2.97478E-11  7.12454E-15  2.54422E+02  1.24840E-09  4.6E-05
  6.500E-04  3.21752E-11  7.12454E-15  2.54422E+02  1.29834E-09  4.6E-05
  6.750E-04  3.46979E-11  7.12454E-15  2.54422E+02  1.34827E-09  4.6E-05
  7.000E-04  3.73157E-11  7.12454E-15  2.54422E+02  1.39821E-09  4.6E-05
  7.250E-04  4.00286E-11  7.12454E-15  2.54422E+02  1.44814E-09  4.6E-05
  7.500E-04  4.28368E-11  7.12454E-15  2.54422E+02  1.49808E-09  4.6E-05
  7.750E-04  4.57402E-11  7.12454E-15  2.54422E+02  1.54801E-09  4.6E-05
  8.000E-04  4.87388E-11  7.12453E-15  2.54422E+02  1.59795E-09  4.6E-05
  8.250E-04  5.18325E-11  7.12453E-15  2.54422E+02  1.64788E-09  4.6E-05
  8.500E-04  5.50215E-11  7.12453E-15  2.54422E+02  1.69782E-09  4.6E-05
  8.750E-04  5.83057E-11  7.12453E-15  2.54422E+02  1.74775E-09  4.6E-05
  9.000E-04  6.16850E-11  7.12453E-15  2.54422E+02  1.79769E-09  4.6E-05
  9.250E-04  6.51595E-11  7.12453E-15  2.54422E+02  1.84762E-09  4.6E-05
  9.500E-04  6.87293E-11  7.12453E-15  2.54422E+02  1.89756E-09  4.6E-05
  9.750E-04  7.23943E-11  7.12453E-15  2.54422E+02  1.94749E-09  4.6E-05
  1.000E-03  7.61544E-11  7.12453E-15  2.54421E+02  1.99742E-09  4.6E-05
  1.250E-03  1.18991E-10  7.12452E-15  2.54421E+02  2.49676E-09  4.6E-05
  1.500E-03  1.71347E-10  7.12450E-15  2.54421E+02  2.99608E-09  4.6E-05
  1.750E-03  2.33223E-10  7.12449E-15  2.54420E+02  3.49538E-09  4.6E-05
  2.000E-03  3.04617E-10  7.12447E-15  2.54419E+02  3.99467E-09  4.6E-05
  2.250E-03  3.85531E-10  7.12445E-15  2.54419E+02  4.49393E-09  4.6E-05
  2.500E-03  4.75965E-10  7.12442E-15  2.54418E+02  4.99316E-09  4.6E-05
  2.750E-03  5.75917E-10  7.12440E-15  2.54417E+02  5.49237E-09  4.6E-05
  3.000E-03  6.85389E-10  7.12437E-15  2.54416E+02  5.99154E-09  4.6E-05
  3.250E-03  8.04380E-10  7.12434E-15  2.54415E+02  6.49068E-09  4.6E-05
