 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.20000E+01 eV = 4.40992E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Total elastic cross section = 1.70073E-15 cm**2 = 6.07340E+01 a0**2
 # 1st transport cross section = 1.64477E-15 cm**2 = 5.87359E+01 a0**2
 # 2nd transport cross section = 1.25133E-15 cm**2 = 4.46857E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.82326E-16  2.43663E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  6.82326E-16  2.43663E+01  1.62542E-07  1.0E-07
  1.250E-04  1.18994E-12  6.82326E-16  2.43663E+01  2.03177E-07  1.0E-07
  1.500E-04  1.71346E-12  6.82326E-16  2.43663E+01  2.43812E-07  1.0E-07
  1.750E-04  2.33225E-12  6.82326E-16  2.43663E+01  2.84448E-07  1.0E-07
  2.000E-04  3.04617E-12  6.82326E-16  2.43663E+01  3.25083E-07  1.0E-07
  2.250E-04  3.85530E-12  6.82326E-16  2.43663E+01  3.65719E-07  1.0E-07
  2.500E-04  4.75964E-12  6.82326E-16  2.43663E+01  4.06354E-07  1.0E-07
  2.750E-04  5.75917E-12  6.82326E-16  2.43663E+01  4.46989E-07  1.0E-07
  3.000E-04  6.85391E-12  6.82326E-16  2.43663E+01  4.87625E-07  1.0E-07
  3.250E-04  8.04379E-12  6.82326E-16  2.43663E+01  5.28260E-07  1.0E-07
  3.500E-04  9.32893E-12  6.82326E-16  2.43663E+01  5.68895E-07  1.0E-07
  3.750E-04  1.07092E-11  6.82326E-16  2.43663E+01  6.09531E-07  1.0E-07
  4.000E-04  1.21847E-11  6.82326E-16  2.43663E+01  6.50166E-07  1.0E-07
  4.250E-04  1.37554E-11  6.82326E-16  2.43663E+01  6.90802E-07  1.0E-07
  4.500E-04  1.54213E-11  6.82326E-16  2.43663E+01  7.31437E-07  1.0E-07
  4.750E-04  1.71823E-11  6.82326E-16  2.43663E+01  7.72072E-07  1.0E-07
  5.000E-04  1.90386E-11  6.82326E-16  2.43663E+01  8.12708E-07  1.0E-07
  5.250E-04  2.09900E-11  6.82326E-16  2.43663E+01  8.53343E-07  1.0E-07
  5.500E-04  2.30367E-11  6.82326E-16  2.43663E+01  8.93979E-07  1.0E-07
  5.750E-04  2.51785E-11  6.82326E-16  2.43663E+01  9.34614E-07  1.0E-07
  6.000E-04  2.74156E-11  6.82326E-16  2.43663E+01  9.75249E-07  1.0E-07
