 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.90000E+04 eV = 6.98237E+02 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Total elastic cross section = 5.77929E-17 cm**2 = 2.06382E+00 a0**2
 # 1st transport cross section = 1.80832E-18 cm**2 = 6.45764E-02 a0**2
 # 2nd transport cross section = 3.23309E-18 cm**2 = 1.15456E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  8.10767E-15  2.89530E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  8.10767E-15  2.89530E+02  1.16786E-09  1.0E-07
  1.250E-04  1.18994E-12  8.10767E-15  2.89530E+02  1.45983E-09  1.0E-07
  1.500E-04  1.71346E-12  8.10767E-15  2.89530E+02  1.75179E-09  1.0E-07
  1.750E-04  2.33225E-12  8.10767E-15  2.89530E+02  2.04376E-09  1.0E-07
  2.000E-04  3.04617E-12  8.10767E-15  2.89530E+02  2.33572E-09  1.0E-07
  2.250E-04  3.85530E-12  8.10767E-15  2.89530E+02  2.62769E-09  1.0E-07
  2.500E-04  4.75964E-12  8.10767E-15  2.89530E+02  2.91965E-09  1.0E-07
  2.750E-04  5.75917E-12  8.10767E-15  2.89530E+02  3.21162E-09  1.0E-07
  3.000E-04  6.85391E-12  8.10767E-15  2.89530E+02  3.50358E-09  1.0E-07
  3.250E-04  8.04379E-12  8.10767E-15  2.89530E+02  3.79555E-09  1.0E-07
  3.500E-04  9.32893E-12  8.10767E-15  2.89530E+02  4.08751E-09  1.0E-07
  3.750E-04  1.07092E-11  8.10767E-15  2.89530E+02  4.37948E-09  1.0E-07
  4.000E-04  1.21847E-11  8.10767E-15  2.89530E+02  4.67144E-09  1.0E-07
  4.250E-04  1.37554E-11  8.10767E-15  2.89530E+02  4.96341E-09  1.0E-07
  4.500E-04  1.54213E-11  8.10767E-15  2.89530E+02  5.25537E-09  1.0E-07
  4.750E-04  1.71823E-11  8.10767E-15  2.89530E+02  5.54734E-09  1.0E-07
  5.000E-04  1.90386E-11  8.10767E-15  2.89530E+02  5.83930E-09  1.0E-07
  5.250E-04  2.09900E-11  8.10767E-15  2.89530E+02  6.13127E-09  1.0E-07
  5.500E-04  2.30367E-11  8.10767E-15  2.89530E+02  6.42323E-09  1.0E-07
  5.750E-04  2.51785E-11  8.10767E-15  2.89530E+02  6.71520E-09  1.0E-07
  6.000E-04  2.74156E-11  8.10767E-15  2.89530E+02  7.00716E-09  1.0E-07
  6.250E-04  2.97478E-11  8.10767E-15  2.89530E+02  7.29913E-09  1.0E-07
  6.500E-04  3.21752E-11  8.10767E-15  2.89530E+02  7.59109E-09  1.0E-07
  6.750E-04  3.46979E-11  8.10767E-15  2.89530E+02  7.88306E-09  1.0E-07
  7.000E-04  3.73157E-11  8.10767E-15  2.89530E+02  8.17502E-09  1.0E-07
  7.250E-04  4.00286E-11  8.10767E-15  2.89530E+02  8.46699E-09  1.0E-07
  7.500E-04  4.28368E-11  8.10767E-15  2.89530E+02  8.75895E-09  1.0E-07
  7.750E-04  4.57402E-11  8.10767E-15  2.89530E+02  9.05092E-09  1.0E-07
  8.000E-04  4.87388E-11  8.10767E-15  2.89530E+02  9.34288E-09  1.0E-07
  8.250E-04  5.18325E-11  8.10767E-15  2.89530E+02  9.63485E-09  1.0E-07
  8.500E-04  5.50215E-11  8.10767E-15  2.89530E+02  9.92681E-09  1.0E-07
  8.750E-04  5.83057E-11  8.10767E-15  2.89530E+02  1.02188E-08  1.0E-07
  9.000E-04  6.16850E-11  8.10767E-15  2.89530E+02  1.05107E-08  1.0E-07
  9.250E-04  6.51595E-11  8.10767E-15  2.89530E+02  1.08027E-08  1.0E-07
  9.500E-04  6.87293E-11  8.10767E-15  2.89530E+02  1.10947E-08  1.0E-07
  9.750E-04  7.23943E-11  8.10767E-15  2.89530E+02  1.13866E-08  1.0E-07
  1.000E-03  7.61544E-11  8.10767E-15  2.89530E+02  1.16786E-08  1.0E-07
  1.250E-03  1.18991E-10  8.10767E-15  2.89530E+02  1.45983E-08  1.0E-07
  1.500E-03  1.71347E-10  8.10767E-15  2.89530E+02  1.75179E-08  1.0E-07
