 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.00000E+02 eV = 7.34987E+00 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Total elastic cross section = 6.11345E-16 cm**2 = 2.18315E+01 a0**2
 # 1st transport cross section = 8.01525E-17 cm**2 = 2.86230E+00 a0**2
 # 2nd transport cross section = 1.42034E-16 cm**2 = 5.07214E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.51690E-15  8.98802E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.51690E-15  8.98802E+01  6.29990E-08  1.0E-07
  1.250E-04  1.18994E-12  2.51690E-15  8.98802E+01  7.87487E-08  1.0E-07
  1.500E-04  1.71346E-12  2.51690E-15  8.98802E+01  9.44985E-08  1.0E-07
  1.750E-04  2.33225E-12  2.51690E-15  8.98802E+01  1.10248E-07  1.0E-07
  2.000E-04  3.04617E-12  2.51690E-15  8.98802E+01  1.25998E-07  1.0E-07
  2.250E-04  3.85530E-12  2.51690E-15  8.98802E+01  1.41748E-07  1.0E-07
  2.500E-04  4.75964E-12  2.51690E-15  8.98802E+01  1.57497E-07  1.0E-07
  2.750E-04  5.75917E-12  2.51690E-15  8.98802E+01  1.73247E-07  1.0E-07
  3.000E-04  6.85391E-12  2.51690E-15  8.98802E+01  1.88997E-07  1.0E-07
  3.250E-04  8.04379E-12  2.51690E-15  8.98802E+01  2.04747E-07  1.0E-07
  3.500E-04  9.32893E-12  2.51690E-15  8.98802E+01  2.20496E-07  1.0E-07
  3.750E-04  1.07092E-11  2.51690E-15  8.98802E+01  2.36246E-07  1.0E-07
  4.000E-04  1.21847E-11  2.51690E-15  8.98802E+01  2.51996E-07  1.0E-07
  4.250E-04  1.37554E-11  2.51690E-15  8.98802E+01  2.67746E-07  1.0E-07
  4.500E-04  1.54213E-11  2.51690E-15  8.98802E+01  2.83495E-07  1.0E-07
  4.750E-04  1.71823E-11  2.51690E-15  8.98802E+01  2.99245E-07  1.0E-07
  5.000E-04  1.90386E-11  2.51690E-15  8.98802E+01  3.14995E-07  1.0E-07
  5.250E-04  2.09900E-11  2.51690E-15  8.98802E+01  3.30745E-07  1.0E-07
  5.500E-04  2.30367E-11  2.51690E-15  8.98802E+01  3.46494E-07  1.0E-07
  5.750E-04  2.51785E-11  2.51690E-15  8.98802E+01  3.62244E-07  1.0E-07
  6.000E-04  2.74156E-11  2.51690E-15  8.98802E+01  3.77994E-07  1.0E-07
  6.250E-04  2.97478E-11  2.51690E-15  8.98802E+01  3.93744E-07  1.0E-07
  6.500E-04  3.21752E-11  2.51690E-15  8.98802E+01  4.09493E-07  1.0E-07
  6.750E-04  3.46979E-11  2.51690E-15  8.98802E+01  4.25243E-07  1.0E-07
  7.000E-04  3.73157E-11  2.51690E-15  8.98802E+01  4.40993E-07  1.0E-07
  7.250E-04  4.00286E-11  2.51690E-15  8.98802E+01  4.56743E-07  1.0E-07
  7.500E-04  4.28368E-11  2.51690E-15  8.98802E+01  4.72492E-07  1.0E-07
  7.750E-04  4.57402E-11  2.51690E-15  8.98802E+01  4.88242E-07  1.0E-07
  8.000E-04  4.87388E-11  2.51690E-15  8.98802E+01  5.03992E-07  1.0E-07
  8.250E-04  5.18325E-11  2.51690E-15  8.98802E+01  5.19742E-07  1.0E-07
  8.500E-04  5.50215E-11  2.51690E-15  8.98802E+01  5.35491E-07  1.0E-07
  8.750E-04  5.83057E-11  2.51690E-15  8.98802E+01  5.51241E-07  1.0E-07
  9.000E-04  6.16850E-11  2.51690E-15  8.98802E+01  5.66991E-07  1.0E-07
  9.250E-04  6.51595E-11  2.51690E-15  8.98802E+01  5.82741E-07  1.0E-07
  9.500E-04  6.87293E-11  2.51690E-15  8.98802E+01  5.98490E-07  1.0E-07
  9.750E-04  7.23943E-11  2.51690E-15  8.98802E+01  6.14240E-07  1.0E-07
  1.000E-03  7.61544E-11  2.51690E-15  8.98802E+01  6.29990E-07  1.0E-07
  1.250E-03  1.18991E-10  2.51690E-15  8.98802E+01  7.87487E-07  1.0E-07
  1.500E-03  1.71347E-10  2.51690E-15  8.98802E+01  9.44985E-07  1.0E-07
  1.750E-03  2.33223E-10  2.51690E-15  8.98802E+01  1.10248E-06  1.0E-07
  2.000E-03  3.04617E-10  2.51690E-15  8.98802E+01  1.25998E-06  1.0E-07
  2.250E-03  3.85531E-10  2.51690E-15  8.98802E+01  1.41748E-06  1.0E-07
  2.500E-03  4.75965E-10  2.51690E-15  8.98802E+01  1.57497E-06  1.0E-07
  2.750E-03  5.75917E-10  2.51690E-15  8.98802E+01  1.73247E-06  1.0E-07
  3.000E-03  6.85389E-10  2.51690E-15  8.98802E+01  1.88997E-06  1.0E-07
  3.250E-03  8.04380E-10  2.51690E-15  8.98802E+01  2.04747E-06  1.0E-07
  3.500E-03  9.32891E-10  2.51690E-15  8.98802E+01  2.20496E-06  1.0E-07
  3.750E-03  1.07092E-09  2.51690E-15  8.98802E+01  2.36246E-06  1.0E-07
  4.000E-03  1.21847E-09  2.51690E-15  8.98802E+01  2.51996E-06  1.0E-07
  4.250E-03  1.37554E-09  2.51690E-15  8.98802E+01  2.67746E-06  1.0E-07
  4.500E-03  1.54213E-09  2.51690E-15  8.98802E+01  2.83495E-06  1.0E-07
  4.750E-03  1.71823E-09  2.51690E-15  8.98802E+01  2.99245E-06  1.0E-07
  5.000E-03  1.90386E-09  2.51690E-15  8.98802E+01  3.14995E-06  1.0E-07
  5.250E-03  2.09900E-09  2.51690E-15  8.98802E+01  3.30745E-06  1.0E-07
  5.500E-03  2.30367E-09  2.51690E-15  8.98802E+01  3.46494E-06  1.0E-07
  5.750E-03  2.51785E-09  2.51690E-15  8.98802E+01  3.62244E-06  1.0E-07
  6.000E-03  2.74156E-09  2.51690E-15  8.98802E+01  3.77994E-06  1.0E-07
  6.250E-03  2.97478E-09  2.51690E-15  8.98802E+01  3.93744E-06  1.0E-07
  6.500E-03  3.21752E-09  2.51690E-15  8.98802E+01  4.09493E-06  1.0E-07
  6.750E-03  3.46978E-09  2.51690E-15  8.98802E+01  4.25243E-06  1.0E-07
  7.000E-03  3.73156E-09  2.51690E-15  8.98802E+01  4.40993E-06  1.0E-07
  7.250E-03  4.00286E-09  2.51690E-15  8.98802E+01  4.56743E-06  1.0E-07
  7.500E-03  4.28368E-09  2.51690E-15  8.98802E+01  4.72492E-06  1.0E-07
  7.750E-03  4.57402E-09  2.51690E-15  8.98802E+01  4.88242E-06  1.0E-07
  8.000E-03  4.87388E-09  2.51690E-15  8.98802E+01  5.03992E-06  1.0E-07
  8.250E-03  5.18326E-09  2.51690E-15  8.98802E+01  5.19742E-06  1.0E-07
  8.500E-03  5.50215E-09  2.51690E-15  8.98802E+01  5.35491E-06  1.0E-07
  8.750E-03  5.83057E-09  2.51690E-15  8.98802E+01  5.51241E-06  1.0E-07
  9.000E-03  6.16850E-09  2.51690E-15  8.98802E+01  5.66991E-06  1.0E-07
  9.250E-03  6.51596E-09  2.51690E-15  8.98801E+01  5.82741E-06  1.0E-07
  9.500E-03  6.87293E-09  2.51690E-15  8.98801E+01  5.98490E-06  1.0E-07
  9.750E-03  7.23942E-09  2.51690E-15  8.98801E+01  6.14240E-06  1.0E-07
  1.000E-02  7.61544E-09  2.51690E-15  8.98801E+01  6.29990E-06  1.0E-07
  1.250E-02  1.18991E-08  2.51690E-15  8.98801E+01  7.87488E-06  1.0E-07
  1.500E-02  1.71347E-08  2.51690E-15  8.98801E+01  9.44985E-06  1.0E-07
  1.750E-02  2.33223E-08  2.51690E-15  8.98800E+01  1.10248E-05  1.0E-07
  2.000E-02  3.04617E-08  2.51690E-15  8.98800E+01  1.25998E-05  1.0E-07
  2.250E-02  3.85531E-08  2.51689E-15  8.98799E+01  1.41748E-05  1.0E-07
  2.500E-02  4.75965E-08  2.51689E-15  8.98799E+01  1.57498E-05  1.0E-07
  2.750E-02  5.75917E-08  2.51689E-15  8.98798E+01  1.73248E-05  1.0E-07
  3.000E-02  6.85389E-08  2.51689E-15  8.98797E+01  1.88997E-05  1.0E-07
  3.250E-02  8.04380E-08  2.51689E-15  8.98797E+01  2.04747E-05  1.0E-07
  3.500E-02  9.32891E-08  2.51688E-15  8.98796E+01  2.20497E-05  1.0E-07
  3.750E-02  1.07092E-07  2.51688E-15  8.98795E+01  2.36247E-05  1.0E-07
  4.000E-02  1.21847E-07  2.51688E-15  8.98794E+01  2.51997E-05  1.0E-07
  4.250E-02  1.37554E-07  2.51688E-15  8.98793E+01  2.67747E-05  1.0E-07
  4.500E-02  1.54213E-07  2.51687E-15  8.98792E+01  2.83497E-05  1.0E-07
  4.750E-02  1.71823E-07  2.51687E-15  8.98790E+01  2.99247E-05  1.0E-07
  5.000E-02  1.90386E-07  2.51687E-15  8.98789E+01  3.14997E-05  1.0E-07
  5.250E-02  2.09900E-07  2.51686E-15  8.98788E+01  3.30747E-05  1.0E-07
  5.500E-02  2.30367E-07  2.51686E-15  8.98787E+01  3.46497E-05  1.0E-07
  5.750E-02  2.51785E-07  2.51685E-15  8.98785E+01  3.62247E-05  1.0E-07
  6.000E-02  2.74156E-07  2.51685E-15  8.98784E+01  3.77997E-05  1.0E-07
  6.250E-02  2.97478E-07  2.51685E-15  8.98782E+01  3.93748E-05  1.0E-07
  6.500E-02  3.21752E-07  2.51684E-15  8.98780E+01  4.09498E-05  1.0E-07
  6.750E-02  3.46978E-07  2.51684E-15  8.98779E+01  4.25248E-05  1.0E-07
  7.000E-02  3.73156E-07  2.51683E-15  8.98777E+01  4.40998E-05  1.0E-07
  7.250E-02  4.00286E-07  2.51683E-15  8.98775E+01  4.56749E-05  1.0E-07
  7.500E-02  4.28368E-07  2.51682E-15  8.98773E+01  4.72499E-05  1.0E-07
  7.750E-02  4.57402E-07  2.51682E-15  8.98771E+01  4.88250E-05  1.0E-07
  8.000E-02  4.87388E-07  2.51681E-15  8.98769E+01  5.04000E-05  1.0E-07
  8.250E-02  5.18325E-07  2.51680E-15  8.98767E+01  5.19751E-05  1.0E-07
  8.500E-02  5.50215E-07  2.51680E-15  8.98765E+01  5.35501E-05  1.0E-07
  8.750E-02  5.83057E-07  2.51679E-15  8.98763E+01  5.51252E-05  1.0E-07
  9.000E-02  6.16850E-07  2.51679E-15  8.98761E+01  5.67003E-05  1.0E-07
  9.250E-02  6.51596E-07  2.51678E-15  8.98758E+01  5.82753E-05  1.0E-07
  9.500E-02  6.87293E-07  2.51677E-15  8.98756E+01  5.98504E-05  1.0E-07
  9.750E-02  7.23942E-07  2.51677E-15  8.98754E+01  6.14255E-05  1.0E-07
  1.000E-01  7.61543E-07  2.51676E-15  8.98751E+01  6.30006E-05  1.0E-07
  1.250E-01  1.18991E-06  2.51668E-15  8.98722E+01  7.87519E-05  1.0E-07
  1.500E-01  1.71347E-06  2.51658E-15  8.98688E+01  9.45039E-05  1.0E-07
  1.750E-01  2.33223E-06  2.51647E-15  8.98646E+01  1.10257E-04  1.0E-07
  2.000E-01  3.04617E-06  2.51633E-15  8.98599E+01  1.26011E-04  1.0E-07
  2.250E-01  3.85531E-06  2.51618E-15  8.98545E+01  1.41766E-04  1.0E-07
  2.500E-01  4.75964E-06  2.51601E-15  8.98484E+01  1.57523E-04  1.0E-07
  2.750E-01  5.75916E-06  2.51583E-15  8.98418E+01  1.73281E-04  1.0E-07
  3.000E-01  6.85388E-06  2.51562E-15  8.98345E+01  1.89041E-04  1.0E-07
  3.250E-01  8.04378E-06  2.51540E-15  8.98265E+01  2.04802E-04  1.0E-07
  3.500E-01  9.32888E-06  2.51516E-15  8.98179E+01  2.20566E-04  1.0E-07
  3.750E-01  1.07092E-05  2.51490E-15  8.98087E+01  2.36331E-04  1.0E-07
  4.000E-01  1.21846E-05  2.51463E-15  8.97989E+01  2.52099E-04  1.0E-07
  4.250E-01  1.37553E-05  2.51433E-15  8.97884E+01  2.67870E-04  1.0E-07
  4.500E-01  1.54212E-05  2.51402E-15  8.97773E+01  2.83643E-04  1.0E-07
  4.750E-01  1.71822E-05  2.51369E-15  8.97656E+01  2.99418E-04  1.0E-07
  5.000E-01  1.90385E-05  2.51335E-15  8.97532E+01  3.15197E-04  1.0E-07
  5.250E-01  2.09899E-05  2.51298E-15  8.97402E+01  3.30978E-04  1.0E-07
  5.500E-01  2.30365E-05  2.51260E-15  8.97266E+01  3.46763E-04  1.0E-07
  5.750E-01  2.51783E-05  2.51220E-15  8.97123E+01  3.62551E-04  1.0E-07
  6.000E-01  2.74153E-05  2.51178E-15  8.96974E+01  3.78343E-04  1.0E-07
  6.250E-01  2.97475E-05  2.51135E-15  8.96819E+01  3.94138E-04  1.0E-07
  6.500E-01  3.21749E-05  2.51090E-15  8.96657E+01  4.09937E-04  1.0E-07
  6.750E-01  3.46974E-05  2.51043E-15  8.96490E+01  4.25740E-04  1.0E-07
  7.000E-01  3.73152E-05  2.50994E-15  8.96315E+01  4.41547E-04  1.0E-07
  7.250E-01  4.00281E-05  2.50943E-15  8.96135E+01  4.57358E-04  1.0E-07
  7.500E-01  4.28362E-05  2.50891E-15  8.95948E+01  4.73174E-04  1.0E-07
  7.750E-01  4.57395E-05  2.50837E-15  8.95755E+01  4.88994E-04  1.0E-07
  8.000E-01  4.87380E-05  2.50781E-15  8.95556E+01  5.04819E-04  1.0E-07
  8.250E-01  5.18317E-05  2.50724E-15  8.95351E+01  5.20649E-04  1.0E-07
  8.500E-01  5.50205E-05  2.50664E-15  8.95139E+01  5.36483E-04  1.0E-07
  8.750E-01  5.83045E-05  2.50603E-15  8.94921E+01  5.52323E-04  1.0E-07
  9.000E-01  6.16838E-05  2.50541E-15  8.94697E+01  5.68168E-04  1.0E-07
  9.250E-01  6.51582E-05  2.50476E-15  8.94466E+01  5.84019E-04  1.0E-07
  9.500E-01  6.87277E-05  2.50410E-15  8.94229E+01  5.99875E-04  1.0E-07
  9.750E-01  7.23925E-05  2.50342E-15  8.93986E+01  6.15737E-04  1.0E-07
  1.000E+00  7.61524E-05  2.50272E-15  8.93737E+01  6.31605E-04  1.0E-07
  1.100E+00  9.21439E-05  2.49975E-15  8.92679E+01  6.95139E-04  1.0E-07
  1.200E+00  1.09658E-04  2.49651E-15  8.91521E+01  7.58779E-04  1.0E-07
  1.300E+00  1.28695E-04  2.49300E-15  8.90265E+01  8.22535E-04  1.0E-07
  1.400E+00  1.49255E-04  2.48920E-15  8.88911E+01  8.86417E-04  1.0E-07
  1.500E+00  1.71338E-04  2.48514E-15  8.87460E+01  9.50435E-04  1.0E-07
  1.600E+00  1.94942E-04  2.48081E-15  8.85912E+01  1.01460E-03  1.0E-07
  1.700E+00  2.20070E-04  2.47621E-15  8.84269E+01  1.07892E-03  1.0E-07
  1.800E+00  2.46720E-04  2.47134E-15  8.82530E+01  1.14340E-03  1.0E-07
  1.900E+00  2.74892E-04  2.46620E-15  8.80697E+01  1.20805E-03  1.0E-07
  2.000E+00  3.04586E-04  2.46081E-15  8.78771E+01  1.27289E-03  1.0E-07
  2.100E+00  3.35803E-04  2.45515E-15  8.76752E+01  1.33793E-03  1.0E-07
  2.200E+00  3.68542E-04  2.44924E-15  8.74640E+01  1.40316E-03  1.0E-07
  2.300E+00  4.02802E-04  2.44308E-15  8.72438E+01  1.46861E-03  1.0E-07
  2.400E+00  4.38585E-04  2.43666E-15  8.70146E+01  1.53428E-03  1.0E-07
  2.500E+00  4.75889E-04  2.42999E-15  8.67765E+01  1.60019E-03  1.0E-07
  2.600E+00  5.14715E-04  2.42308E-15  8.65297E+01  1.66633E-03  1.0E-07
  2.700E+00  5.55063E-04  2.41592E-15  8.62741E+01  1.73273E-03  1.0E-07
  2.800E+00  5.96931E-04  2.40852E-15  8.60099E+01  1.79938E-03  1.0E-07
  2.900E+00  6.40321E-04  2.40089E-15  8.57373E+01  1.86631E-03  1.0E-07
