 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+01 eV = 1.65372E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Total elastic cross section = 9.39860E-16 cm**2 = 3.35630E+01 a0**2
 # 1st transport cross section = 4.24323E-16 cm**2 = 1.51529E+01 a0**2
 # 2nd transport cross section = 5.28156E-16 cm**2 = 1.88608E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.23239E-16  2.58273E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  7.23239E-16  2.58273E+01  1.71474E-09  1.0E-07
  1.250E-04  1.18994E-12  7.23239E-16  2.58273E+01  2.14342E-09  1.0E-07
  1.500E-04  1.71346E-12  7.23239E-16  2.58273E+01  2.57211E-09  1.0E-07
  1.750E-04  2.33225E-12  7.23239E-16  2.58273E+01  3.00079E-09  1.0E-07
  2.000E-04  3.04617E-12  7.23239E-16  2.58273E+01  3.42948E-09  1.0E-07
  2.250E-04  3.85530E-12  7.23239E-16  2.58273E+01  3.85816E-09  1.0E-07
  2.500E-04  4.75964E-12  7.23239E-16  2.58273E+01  4.28685E-09  1.0E-07
  2.750E-04  5.75917E-12  7.23239E-16  2.58273E+01  4.71553E-09  1.0E-07
  3.000E-04  6.85391E-12  7.23239E-16  2.58273E+01  5.14422E-09  1.0E-07
  3.250E-04  8.04379E-12  7.23239E-16  2.58273E+01  5.57290E-09  1.0E-07
  3.500E-04  9.32893E-12  7.23239E-16  2.58273E+01  6.00158E-09  1.0E-07
  3.750E-04  1.07092E-11  7.23239E-16  2.58273E+01  6.43027E-09  1.0E-07
  4.000E-04  1.21847E-11  7.23239E-16  2.58273E+01  6.85895E-09  1.0E-07
  4.250E-04  1.37554E-11  7.23239E-16  2.58273E+01  7.28764E-09  1.0E-07
  4.500E-04  1.54213E-11  7.23239E-16  2.58273E+01  7.71632E-09  1.0E-07
  4.750E-04  1.71823E-11  7.23239E-16  2.58273E+01  8.14501E-09  1.0E-07
  5.000E-04  1.90386E-11  7.23239E-16  2.58273E+01  8.57369E-09  1.0E-07
  5.250E-04  2.09900E-11  7.23239E-16  2.58273E+01  9.00238E-09  1.0E-07
  5.500E-04  2.30367E-11  7.23239E-16  2.58273E+01  9.43106E-09  1.0E-07
  5.750E-04  2.51785E-11  7.23239E-16  2.58273E+01  9.85975E-09  1.0E-07
  6.000E-04  2.74156E-11  7.23239E-16  2.58273E+01  1.02884E-08  1.0E-07
  6.250E-04  2.97478E-11  7.23239E-16  2.58273E+01  1.07171E-08  1.0E-07
  6.500E-04  3.21752E-11  7.23239E-16  2.58273E+01  1.11458E-08  1.0E-07
  6.750E-04  3.46979E-11  7.23239E-16  2.58273E+01  1.15745E-08  1.0E-07
  7.000E-04  3.73157E-11  7.23239E-16  2.58273E+01  1.20032E-08  1.0E-07
  7.250E-04  4.00286E-11  7.23239E-16  2.58273E+01  1.24319E-08  1.0E-07
  7.500E-04  4.28368E-11  7.23239E-16  2.58273E+01  1.28605E-08  1.0E-07
  7.750E-04  4.57402E-11  7.23239E-16  2.58273E+01  1.32892E-08  1.0E-07
  8.000E-04  4.87388E-11  7.23239E-16  2.58273E+01  1.37179E-08  1.0E-07
  8.250E-04  5.18325E-11  7.23239E-16  2.58273E+01  1.41466E-08  1.0E-07
  8.500E-04  5.50215E-11  7.23239E-16  2.58273E+01  1.45753E-08  1.0E-07
  8.750E-04  5.83057E-11  7.23239E-16  2.58273E+01  1.50040E-08  1.0E-07
  9.000E-04  6.16850E-11  7.23239E-16  2.58273E+01  1.54326E-08  1.0E-07
  9.250E-04  6.51595E-11  7.23239E-16  2.58273E+01  1.58613E-08  1.0E-07
  9.500E-04  6.87293E-11  7.23239E-16  2.58273E+01  1.62900E-08  1.0E-07
  9.750E-04  7.23943E-11  7.23239E-16  2.58273E+01  1.67187E-08  1.0E-07
  1.000E-03  7.61544E-11  7.23239E-16  2.58273E+01  1.71474E-08  1.0E-07
  1.250E-03  1.18991E-10  7.23239E-16  2.58273E+01  2.14342E-08  1.0E-07
  1.500E-03  1.71347E-10  7.23239E-16  2.58273E+01  2.57211E-08  1.0E-07
  1.750E-03  2.33223E-10  7.23239E-16  2.58273E+01  3.00079E-08  1.0E-07
  2.000E-03  3.04617E-10  7.23239E-16  2.58273E+01  3.42948E-08  1.0E-07
  2.250E-03  3.85531E-10  7.23239E-16  2.58273E+01  3.85816E-08  1.0E-07
  2.500E-03  4.75965E-10  7.23239E-16  2.58273E+01  4.28685E-08  1.0E-07
  2.750E-03  5.75917E-10  7.23239E-16  2.58273E+01  4.71553E-08  1.0E-07
  3.000E-03  6.85389E-10  7.23239E-16  2.58273E+01  5.14422E-08  1.0E-07
  3.250E-03  8.04380E-10  7.23239E-16  2.58273E+01  5.57291E-08  1.0E-07
  3.500E-03  9.32891E-10  7.23239E-16  2.58273E+01  6.00159E-08  1.0E-07
  3.750E-03  1.07092E-09  7.23239E-16  2.58273E+01  6.43028E-08  1.0E-07
  4.000E-03  1.21847E-09  7.23239E-16  2.58273E+01  6.85896E-08  1.0E-07
  4.250E-03  1.37554E-09  7.23239E-16  2.58273E+01  7.28765E-08  1.0E-07
  4.500E-03  1.54213E-09  7.23239E-16  2.58273E+01  7.71634E-08  1.0E-07
  4.750E-03  1.71823E-09  7.23239E-16  2.58273E+01  8.14502E-08  1.0E-07
  5.000E-03  1.90386E-09  7.23239E-16  2.58273E+01  8.57371E-08  1.0E-07
  5.250E-03  2.09900E-09  7.23239E-16  2.58273E+01  9.00240E-08  1.0E-07
  5.500E-03  2.30367E-09  7.23239E-16  2.58273E+01  9.43109E-08  1.0E-07
  5.750E-03  2.51785E-09  7.23239E-16  2.58273E+01  9.85977E-08  1.0E-07
  6.000E-03  2.74156E-09  7.23239E-16  2.58273E+01  1.02885E-07  1.0E-07
  6.250E-03  2.97478E-09  7.23239E-16  2.58273E+01  1.07172E-07  1.0E-07
  6.500E-03  3.21752E-09  7.23239E-16  2.58273E+01  1.11458E-07  1.0E-07
  6.750E-03  3.46978E-09  7.23239E-16  2.58273E+01  1.15745E-07  1.0E-07
  7.000E-03  3.73156E-09  7.23239E-16  2.58273E+01  1.20032E-07  1.0E-07
  7.250E-03  4.00286E-09  7.23239E-16  2.58273E+01  1.24319E-07  1.0E-07
  7.500E-03  4.28368E-09  7.23239E-16  2.58273E+01  1.28606E-07  1.0E-07
  7.750E-03  4.57402E-09  7.23239E-16  2.58273E+01  1.32893E-07  1.0E-07
  8.000E-03  4.87388E-09  7.23239E-16  2.58273E+01  1.37180E-07  1.0E-07
  8.250E-03  5.18326E-09  7.23239E-16  2.58273E+01  1.41467E-07  1.0E-07
  8.500E-03  5.50215E-09  7.23239E-16  2.58273E+01  1.45754E-07  1.0E-07
  8.750E-03  5.83057E-09  7.23239E-16  2.58273E+01  1.50041E-07  1.0E-07
  9.000E-03  6.16850E-09  7.23239E-16  2.58273E+01  1.54328E-07  1.0E-07
  9.250E-03  6.51596E-09  7.23239E-16  2.58273E+01  1.58614E-07  1.0E-07
  9.500E-03  6.87293E-09  7.23239E-16  2.58273E+01  1.62901E-07  1.0E-07
  9.750E-03  7.23942E-09  7.23239E-16  2.58273E+01  1.67188E-07  1.0E-07
  1.000E-02  7.61544E-09  7.23239E-16  2.58273E+01  1.71475E-07  1.0E-07
  1.250E-02  1.18991E-08  7.23239E-16  2.58273E+01  2.14345E-07  1.0E-07
  1.500E-02  1.71347E-08  7.23239E-16  2.58273E+01  2.57216E-07  1.0E-07
  1.750E-02  2.33223E-08  7.23238E-16  2.58273E+01  3.00087E-07  1.0E-07
  2.000E-02  3.04617E-08  7.23238E-16  2.58273E+01  3.42959E-07  1.0E-07
  2.250E-02  3.85531E-08  7.23238E-16  2.58273E+01  3.85832E-07  1.0E-07
  2.500E-02  4.75965E-08  7.23238E-16  2.58273E+01  4.28707E-07  1.0E-07
  2.750E-02  5.75917E-08  7.23238E-16  2.58273E+01  4.71583E-07  1.0E-07
  3.000E-02  6.85389E-08  7.23238E-16  2.58273E+01  5.14460E-07  1.0E-07
  3.250E-02  8.04380E-08  7.23238E-16  2.58273E+01  5.57339E-07  1.0E-07
  3.500E-02  9.32891E-08  7.23237E-16  2.58273E+01  6.00220E-07  1.0E-07
  3.750E-02  1.07092E-07  7.23237E-16  2.58273E+01  6.43102E-07  1.0E-07
  4.000E-02  1.21847E-07  7.23237E-16  2.58273E+01  6.85987E-07  1.0E-07
  4.250E-02  1.37554E-07  7.23237E-16  2.58273E+01  7.28874E-07  1.0E-07
  4.500E-02  1.54213E-07  7.23237E-16  2.58272E+01  7.71762E-07  1.0E-07
  4.750E-02  1.71823E-07  7.23236E-16  2.58272E+01  8.14654E-07  1.0E-07
  5.000E-02  1.90386E-07  7.23236E-16  2.58272E+01  8.57548E-07  1.0E-07
  5.250E-02  2.09900E-07  7.23236E-16  2.58272E+01  9.00444E-07  1.0E-07
  5.500E-02  2.30367E-07  7.23236E-16  2.58272E+01  9.43344E-07  1.0E-07
  5.750E-02  2.51785E-07  7.23235E-16  2.58272E+01  9.86246E-07  1.0E-07
  6.000E-02  2.74156E-07  7.23235E-16  2.58272E+01  1.02915E-06  1.0E-07
  6.250E-02  2.97478E-07  7.23235E-16  2.58272E+01  1.07206E-06  1.0E-07
  6.500E-02  3.21752E-07  7.23234E-16  2.58272E+01  1.11497E-06  1.0E-07
  6.750E-02  3.46978E-07  7.23234E-16  2.58272E+01  1.15789E-06  1.0E-07
  7.000E-02  3.73156E-07  7.23234E-16  2.58271E+01  1.20081E-06  1.0E-07
  7.250E-02  4.00286E-07  7.23233E-16  2.58271E+01  1.24373E-06  1.0E-07
  7.500E-02  4.28368E-07  7.23233E-16  2.58271E+01  1.28666E-06  1.0E-07
  7.750E-02  4.57402E-07  7.23232E-16  2.58271E+01  1.32959E-06  1.0E-07
  8.000E-02  4.87388E-07  7.23232E-16  2.58271E+01  1.37252E-06  1.0E-07
  8.250E-02  5.18325E-07  7.23232E-16  2.58271E+01  1.41546E-06  1.0E-07
  8.500E-02  5.50215E-07  7.23231E-16  2.58271E+01  1.45840E-06  1.0E-07
  8.750E-02  5.83057E-07  7.23231E-16  2.58270E+01  1.50135E-06  1.0E-07
  9.000E-02  6.16850E-07  7.23230E-16  2.58270E+01  1.54431E-06  1.0E-07
  9.250E-02  6.51596E-07  7.23230E-16  2.58270E+01  1.58726E-06  1.0E-07
  9.500E-02  6.87293E-07  7.23229E-16  2.58270E+01  1.63023E-06  1.0E-07
  9.750E-02  7.23942E-07  7.23229E-16  2.58270E+01  1.67319E-06  1.0E-07
  1.000E-01  7.61543E-07  7.23228E-16  2.58269E+01  1.71617E-06  1.0E-07
  1.250E-01  1.18991E-06  7.23222E-16  2.58267E+01  2.14621E-06  1.0E-07
  1.500E-01  1.71347E-06  7.23215E-16  2.58265E+01  2.57693E-06  1.0E-07
  1.750E-01  2.33223E-06  7.23206E-16  2.58262E+01  3.00845E-06  1.0E-07
  2.000E-01  3.04617E-06  7.23196E-16  2.58258E+01  3.44090E-06  1.0E-07
  2.250E-01  3.85531E-06  7.23184E-16  2.58254E+01  3.87443E-06  1.0E-07
  2.500E-01  4.75964E-06  7.23172E-16  2.58249E+01  4.30917E-06  1.0E-07
  2.750E-01  5.75916E-06  7.23158E-16  2.58244E+01  4.74524E-06  1.0E-07
  3.000E-01  6.85388E-06  7.23142E-16  2.58239E+01  5.18278E-06  1.0E-07
  3.250E-01  8.04378E-06  7.23125E-16  2.58233E+01  5.62194E-06  1.0E-07
  3.500E-01  9.32888E-06  7.23107E-16  2.58226E+01  6.06283E-06  1.0E-07
  3.750E-01  1.07092E-05  7.23088E-16  2.58219E+01  6.50560E-06  1.0E-07
  4.000E-01  1.21846E-05  7.23067E-16  2.58212E+01  6.95038E-06  1.0E-07
  4.250E-01  1.37553E-05  7.23045E-16  2.58204E+01  7.39730E-06  1.0E-07
  4.500E-01  1.54212E-05  7.23022E-16  2.58196E+01  7.84650E-06  1.0E-07
  4.750E-01  1.71822E-05  7.22997E-16  2.58187E+01  8.29811E-06  1.0E-07
  5.000E-01  1.90385E-05  7.22971E-16  2.58178E+01  8.75227E-06  1.0E-07
  5.250E-01  2.09899E-05  7.22943E-16  2.58168E+01  9.20911E-06  1.0E-07
  5.500E-01  2.30365E-05  7.22914E-16  2.58157E+01  9.66876E-06  1.0E-07
  5.750E-01  2.51783E-05  7.22884E-16  2.58147E+01  1.01314E-05  1.0E-07
  6.000E-01  2.74153E-05  7.22853E-16  2.58135E+01  1.05970E-05  1.0E-07
  6.250E-01  2.97475E-05  7.22820E-16  2.58124E+01  1.10659E-05  1.0E-07
  6.500E-01  3.21749E-05  7.22786E-16  2.58111E+01  1.15382E-05  1.0E-07
  6.750E-01  3.46974E-05  7.22750E-16  2.58099E+01  1.20139E-05  1.0E-07
  7.000E-01  3.73152E-05  7.22713E-16  2.58086E+01  1.24933E-05  1.0E-07
  7.250E-01  4.00281E-05  7.22675E-16  2.58072E+01  1.29764E-05  1.0E-07
  7.500E-01  4.28362E-05  7.22636E-16  2.58058E+01  1.34633E-05  1.0E-07
  7.750E-01  4.57395E-05  7.22595E-16  2.58043E+01  1.39544E-05  1.0E-07
  8.000E-01  4.87380E-05  7.22553E-16  2.58028E+01  1.44495E-05  1.0E-07
  8.250E-01  5.18317E-05  7.22509E-16  2.58013E+01  1.49490E-05  1.0E-07
