 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+01 eV = 3.67493E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 6.65345E-16 cm**2 = 2.37599E+01 a0**2
 # 1st transport cross section = 5.20793E-16 cm**2 = 1.85979E+01 a0**2
 # 2nd transport cross section = 4.08735E-16 cm**2 = 1.45962E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.63295E-16  9.40242E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.63295E-16  9.40242E+00  1.38334E-07  1.0E-07
  1.250E-04  1.18994E-12  2.63295E-16  9.40242E+00  1.72917E-07  1.0E-07
  1.500E-04  1.71346E-12  2.63295E-16  9.40242E+00  2.07500E-07  1.0E-07
  1.750E-04  2.33225E-12  2.63295E-16  9.40242E+00  2.42084E-07  1.0E-07
  2.000E-04  3.04617E-12  2.63295E-16  9.40242E+00  2.76667E-07  1.0E-07
  2.250E-04  3.85530E-12  2.63295E-16  9.40242E+00  3.11251E-07  1.0E-07
  2.500E-04  4.75964E-12  2.63295E-16  9.40242E+00  3.45834E-07  1.0E-07
  2.750E-04  5.75917E-12  2.63295E-16  9.40242E+00  3.80417E-07  1.0E-07
  3.000E-04  6.85391E-12  2.63295E-16  9.40242E+00  4.15001E-07  1.0E-07
  3.250E-04  8.04379E-12  2.63295E-16  9.40242E+00  4.49584E-07  1.0E-07
  3.500E-04  9.32893E-12  2.63295E-16  9.40242E+00  4.84168E-07  1.0E-07
  3.750E-04  1.07092E-11  2.63295E-16  9.40242E+00  5.18751E-07  1.0E-07
  4.000E-04  1.21847E-11  2.63295E-16  9.40242E+00  5.53334E-07  1.0E-07
  4.250E-04  1.37554E-11  2.63295E-16  9.40242E+00  5.87918E-07  1.0E-07
  4.500E-04  1.54213E-11  2.63295E-16  9.40242E+00  6.22501E-07  1.0E-07
  4.750E-04  1.71823E-11  2.63295E-16  9.40242E+00  6.57085E-07  1.0E-07
  5.000E-04  1.90386E-11  2.63295E-16  9.40242E+00  6.91668E-07  1.0E-07
  5.250E-04  2.09900E-11  2.63295E-16  9.40242E+00  7.26251E-07  1.0E-07
  5.500E-04  2.30367E-11  2.63295E-16  9.40242E+00  7.60835E-07  1.0E-07
  5.750E-04  2.51785E-11  2.63295E-16  9.40242E+00  7.95418E-07  1.0E-07
  6.000E-04  2.74156E-11  2.63295E-16  9.40242E+00  8.30002E-07  1.0E-07
  6.250E-04  2.97478E-11  2.63295E-16  9.40242E+00  8.64585E-07  1.0E-07
  6.500E-04  3.21752E-11  2.63295E-16  9.40242E+00  8.99168E-07  1.0E-07
  6.750E-04  3.46979E-11  2.63295E-16  9.40242E+00  9.33752E-07  1.0E-07
  7.000E-04  3.73157E-11  2.63295E-16  9.40242E+00  9.68335E-07  1.0E-07
  7.250E-04  4.00286E-11  2.63295E-16  9.40242E+00  1.00292E-06  1.0E-07
  7.500E-04  4.28368E-11  2.63295E-16  9.40242E+00  1.03750E-06  1.0E-07
  7.750E-04  4.57402E-11  2.63295E-16  9.40242E+00  1.07209E-06  1.0E-07
  8.000E-04  4.87388E-11  2.63295E-16  9.40242E+00  1.10667E-06  1.0E-07
  8.250E-04  5.18325E-11  2.63295E-16  9.40242E+00  1.14125E-06  1.0E-07
  8.500E-04  5.50215E-11  2.63295E-16  9.40242E+00  1.17584E-06  1.0E-07
  8.750E-04  5.83057E-11  2.63295E-16  9.40242E+00  1.21042E-06  1.0E-07
  9.000E-04  6.16850E-11  2.63295E-16  9.40242E+00  1.24500E-06  1.0E-07
  9.250E-04  6.51595E-11  2.63295E-16  9.40242E+00  1.27959E-06  1.0E-07
  9.500E-04  6.87293E-11  2.63295E-16  9.40242E+00  1.31417E-06  1.0E-07
  9.750E-04  7.23943E-11  2.63295E-16  9.40242E+00  1.34875E-06  1.0E-07
  1.000E-03  7.61544E-11  2.63295E-16  9.40242E+00  1.38334E-06  1.0E-07
  1.250E-03  1.18991E-10  2.63295E-16  9.40242E+00  1.72917E-06  1.0E-07
  1.500E-03  1.71347E-10  2.63295E-16  9.40242E+00  2.07500E-06  1.0E-07
  1.750E-03  2.33223E-10  2.63295E-16  9.40242E+00  2.42084E-06  1.0E-07
  2.000E-03  3.04617E-10  2.63295E-16  9.40242E+00  2.76667E-06  1.0E-07
  2.250E-03  3.85531E-10  2.63295E-16  9.40242E+00  3.11251E-06  1.0E-07
  2.500E-03  4.75965E-10  2.63295E-16  9.40242E+00  3.45834E-06  1.0E-07
  2.750E-03  5.75917E-10  2.63295E-16  9.40242E+00  3.80417E-06  1.0E-07
  3.000E-03  6.85389E-10  2.63295E-16  9.40242E+00  4.15001E-06  1.0E-07
  3.250E-03  8.04380E-10  2.63295E-16  9.40242E+00  4.49584E-06  1.0E-07
  3.500E-03  9.32891E-10  2.63295E-16  9.40242E+00  4.84168E-06  1.0E-07
  3.750E-03  1.07092E-09  2.63295E-16  9.40242E+00  5.18751E-06  1.0E-07
  4.000E-03  1.21847E-09  2.63295E-16  9.40242E+00  5.53334E-06  1.0E-07
  4.250E-03  1.37554E-09  2.63295E-16  9.40242E+00  5.87918E-06  1.0E-07
  4.500E-03  1.54213E-09  2.63295E-16  9.40242E+00  6.22501E-06  1.0E-07
  4.750E-03  1.71823E-09  2.63295E-16  9.40242E+00  6.57085E-06  1.0E-07
  5.000E-03  1.90386E-09  2.63295E-16  9.40242E+00  6.91668E-06  1.0E-07
  5.250E-03  2.09900E-09  2.63295E-16  9.40242E+00  7.26251E-06  1.0E-07
  5.500E-03  2.30367E-09  2.63295E-16  9.40242E+00  7.60835E-06  1.0E-07
  5.750E-03  2.51785E-09  2.63295E-16  9.40242E+00  7.95418E-06  1.0E-07
  6.000E-03  2.74156E-09  2.63295E-16  9.40242E+00  8.30002E-06  1.0E-07
  6.250E-03  2.97478E-09  2.63295E-16  9.40242E+00  8.64585E-06  1.0E-07
  6.500E-03  3.21752E-09  2.63295E-16  9.40242E+00  8.99168E-06  1.0E-07
  6.750E-03  3.46978E-09  2.63295E-16  9.40242E+00  9.33752E-06  1.0E-07
  7.000E-03  3.73156E-09  2.63295E-16  9.40242E+00  9.68335E-06  1.0E-07
  7.250E-03  4.00286E-09  2.63295E-16  9.40242E+00  1.00292E-05  1.0E-07
  7.500E-03  4.28368E-09  2.63295E-16  9.40242E+00  1.03750E-05  1.0E-07
  7.750E-03  4.57402E-09  2.63295E-16  9.40242E+00  1.07209E-05  1.0E-07
  8.000E-03  4.87388E-09  2.63295E-16  9.40242E+00  1.10667E-05  1.0E-07
  8.250E-03  5.18326E-09  2.63295E-16  9.40242E+00  1.14125E-05  1.0E-07
  8.500E-03  5.50215E-09  2.63295E-16  9.40242E+00  1.17584E-05  1.0E-07
  8.750E-03  5.83057E-09  2.63295E-16  9.40242E+00  1.21042E-05  1.0E-07
  9.000E-03  6.16850E-09  2.63295E-16  9.40242E+00  1.24500E-05  1.0E-07
  9.250E-03  6.51596E-09  2.63295E-16  9.40242E+00  1.27959E-05  1.0E-07
  9.500E-03  6.87293E-09  2.63295E-16  9.40242E+00  1.31417E-05  1.0E-07
  9.750E-03  7.23942E-09  2.63295E-16  9.40242E+00  1.34875E-05  1.0E-07
  1.000E-02  7.61544E-09  2.63295E-16  9.40242E+00  1.38334E-05  1.0E-07
  1.250E-02  1.18991E-08  2.63295E-16  9.40242E+00  1.72917E-05  1.0E-07
  1.500E-02  1.71347E-08  2.63295E-16  9.40242E+00  2.07500E-05  1.0E-07
  1.750E-02  2.33223E-08  2.63295E-16  9.40242E+00  2.42084E-05  1.0E-07
  2.000E-02  3.04617E-08  2.63295E-16  9.40242E+00  2.76667E-05  1.0E-07
  2.250E-02  3.85531E-08  2.63295E-16  9.40242E+00  3.11251E-05  1.0E-07
  2.500E-02  4.75965E-08  2.63294E-16  9.40242E+00  3.45834E-05  1.0E-07
