 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+02 eV = 1.65372E+01 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 3.96058E-16 cm**2 = 1.41435E+01 a0**2
 # 1st transport cross section = 1.01090E-16 cm**2 = 3.60998E+00 a0**2
 # 2nd transport cross section = 1.34329E-16 cm**2 = 4.79698E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.56421E-15  9.15698E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.56421E-15  9.15698E+01  1.31941E-08  1.0E-07
  1.250E-04  1.18994E-12  2.56421E-15  9.15698E+01  1.64926E-08  1.0E-07
  1.500E-04  1.71346E-12  2.56421E-15  9.15698E+01  1.97911E-08  1.0E-07
  1.750E-04  2.33225E-12  2.56421E-15  9.15698E+01  2.30896E-08  1.0E-07
  2.000E-04  3.04617E-12  2.56421E-15  9.15698E+01  2.63882E-08  1.0E-07
  2.250E-04  3.85530E-12  2.56421E-15  9.15698E+01  2.96867E-08  1.0E-07
  2.500E-04  4.75964E-12  2.56421E-15  9.15698E+01  3.29852E-08  1.0E-07
  2.750E-04  5.75917E-12  2.56421E-15  9.15698E+01  3.62837E-08  1.0E-07
  3.000E-04  6.85391E-12  2.56421E-15  9.15698E+01  3.95822E-08  1.0E-07
  3.250E-04  8.04379E-12  2.56421E-15  9.15698E+01  4.28808E-08  1.0E-07
  3.500E-04  9.32893E-12  2.56421E-15  9.15698E+01  4.61793E-08  1.0E-07
  3.750E-04  1.07092E-11  2.56421E-15  9.15698E+01  4.94778E-08  1.0E-07
  4.000E-04  1.21847E-11  2.56421E-15  9.15698E+01  5.27763E-08  1.0E-07
  4.250E-04  1.37554E-11  2.56421E-15  9.15698E+01  5.60748E-08  1.0E-07
  4.500E-04  1.54213E-11  2.56421E-15  9.15698E+01  5.93733E-08  1.0E-07
  4.750E-04  1.71823E-11  2.56421E-15  9.15698E+01  6.26719E-08  1.0E-07
  5.000E-04  1.90386E-11  2.56421E-15  9.15698E+01  6.59704E-08  1.0E-07
  5.250E-04  2.09900E-11  2.56421E-15  9.15698E+01  6.92689E-08  1.0E-07
  5.500E-04  2.30367E-11  2.56421E-15  9.15698E+01  7.25674E-08  1.0E-07
  5.750E-04  2.51785E-11  2.56421E-15  9.15698E+01  7.58659E-08  1.0E-07
  6.000E-04  2.74156E-11  2.56421E-15  9.15698E+01  7.91645E-08  1.0E-07
  6.250E-04  2.97478E-11  2.56421E-15  9.15698E+01  8.24630E-08  1.0E-07
  6.500E-04  3.21752E-11  2.56421E-15  9.15698E+01  8.57615E-08  1.0E-07
  6.750E-04  3.46979E-11  2.56421E-15  9.15698E+01  8.90600E-08  1.0E-07
  7.000E-04  3.73157E-11  2.56421E-15  9.15698E+01  9.23585E-08  1.0E-07
  7.250E-04  4.00286E-11  2.56421E-15  9.15698E+01  9.56571E-08  1.0E-07
  7.500E-04  4.28368E-11  2.56421E-15  9.15698E+01  9.89556E-08  1.0E-07
  7.750E-04  4.57402E-11  2.56421E-15  9.15698E+01  1.02254E-07  1.0E-07
  8.000E-04  4.87388E-11  2.56421E-15  9.15698E+01  1.05553E-07  1.0E-07
  8.250E-04  5.18325E-11  2.56421E-15  9.15698E+01  1.08851E-07  1.0E-07
  8.500E-04  5.50215E-11  2.56421E-15  9.15698E+01  1.12150E-07  1.0E-07
  8.750E-04  5.83057E-11  2.56421E-15  9.15698E+01  1.15448E-07  1.0E-07
  9.000E-04  6.16850E-11  2.56421E-15  9.15698E+01  1.18747E-07  1.0E-07
  9.250E-04  6.51595E-11  2.56421E-15  9.15698E+01  1.22045E-07  1.0E-07
  9.500E-04  6.87293E-11  2.56421E-15  9.15698E+01  1.25344E-07  1.0E-07
  9.750E-04  7.23943E-11  2.56421E-15  9.15698E+01  1.28642E-07  1.0E-07
  1.000E-03  7.61544E-11  2.56421E-15  9.15698E+01  1.31941E-07  1.0E-07
  1.250E-03  1.18991E-10  2.56421E-15  9.15698E+01  1.64926E-07  1.0E-07
  1.500E-03  1.71347E-10  2.56421E-15  9.15698E+01  1.97911E-07  1.0E-07
  1.750E-03  2.33223E-10  2.56421E-15  9.15698E+01  2.30896E-07  1.0E-07
  2.000E-03  3.04617E-10  2.56421E-15  9.15698E+01  2.63882E-07  1.0E-07
  2.250E-03  3.85531E-10  2.56421E-15  9.15698E+01  2.96867E-07  1.0E-07
  2.500E-03  4.75965E-10  2.56421E-15  9.15698E+01  3.29852E-07  1.0E-07
  2.750E-03  5.75917E-10  2.56421E-15  9.15698E+01  3.62837E-07  1.0E-07
  3.000E-03  6.85389E-10  2.56421E-15  9.15698E+01  3.95822E-07  1.0E-07
  3.250E-03  8.04380E-10  2.56421E-15  9.15698E+01  4.28808E-07  1.0E-07
  3.500E-03  9.32891E-10  2.56421E-15  9.15698E+01  4.61793E-07  1.0E-07
  3.750E-03  1.07092E-09  2.56421E-15  9.15698E+01  4.94778E-07  1.0E-07
  4.000E-03  1.21847E-09  2.56421E-15  9.15697E+01  5.27763E-07  1.0E-07
  4.250E-03  1.37554E-09  2.56421E-15  9.15697E+01  5.60748E-07  1.0E-07
  4.500E-03  1.54213E-09  2.56421E-15  9.15697E+01  5.93733E-07  1.0E-07
  4.750E-03  1.71823E-09  2.56421E-15  9.15697E+01  6.26719E-07  1.0E-07
  5.000E-03  1.90386E-09  2.56421E-15  9.15697E+01  6.59704E-07  1.0E-07
  5.250E-03  2.09900E-09  2.56421E-15  9.15697E+01  6.92689E-07  1.0E-07
  5.500E-03  2.30367E-09  2.56421E-15  9.15697E+01  7.25674E-07  1.0E-07
  5.750E-03  2.51785E-09  2.56421E-15  9.15697E+01  7.58659E-07  1.0E-07
  6.000E-03  2.74156E-09  2.56421E-15  9.15697E+01  7.91645E-07  1.0E-07
  6.250E-03  2.97478E-09  2.56421E-15  9.15697E+01  8.24630E-07  1.0E-07
  6.500E-03  3.21752E-09  2.56421E-15  9.15697E+01  8.57615E-07  1.0E-07
  6.750E-03  3.46978E-09  2.56421E-15  9.15697E+01  8.90600E-07  1.0E-07
  7.000E-03  3.73156E-09  2.56421E-15  9.15697E+01  9.23585E-07  1.0E-07
  7.250E-03  4.00286E-09  2.56421E-15  9.15697E+01  9.56571E-07  1.0E-07
  7.500E-03  4.28368E-09  2.56421E-15  9.15697E+01  9.89556E-07  1.0E-07
  7.750E-03  4.57402E-09  2.56421E-15  9.15697E+01  1.02254E-06  1.0E-07
  8.000E-03  4.87388E-09  2.56421E-15  9.15697E+01  1.05553E-06  1.0E-07
  8.250E-03  5.18326E-09  2.56421E-15  9.15697E+01  1.08851E-06  1.0E-07
  8.500E-03  5.50215E-09  2.56421E-15  9.15697E+01  1.12150E-06  1.0E-07
  8.750E-03  5.83057E-09  2.56421E-15  9.15697E+01  1.15448E-06  1.0E-07
  9.000E-03  6.16850E-09  2.56421E-15  9.15697E+01  1.18747E-06  1.0E-07
  9.250E-03  6.51596E-09  2.56421E-15  9.15697E+01  1.22045E-06  1.0E-07
  9.500E-03  6.87293E-09  2.56421E-15  9.15697E+01  1.25344E-06  1.0E-07
  9.750E-03  7.23942E-09  2.56421E-15  9.15697E+01  1.28642E-06  1.0E-07
  1.000E-02  7.61544E-09  2.56421E-15  9.15697E+01  1.31941E-06  1.0E-07
  1.250E-02  1.18991E-08  2.56421E-15  9.15696E+01  1.64926E-06  1.0E-07
  1.500E-02  1.71347E-08  2.56421E-15  9.15695E+01  1.97911E-06  1.0E-07
  1.750E-02  2.33223E-08  2.56420E-15  9.15694E+01  2.30896E-06  1.0E-07
  2.000E-02  3.04617E-08  2.56420E-15  9.15693E+01  2.63882E-06  1.0E-07
  2.250E-02  3.85531E-08  2.56420E-15  9.15692E+01  2.96867E-06  1.0E-07
  2.500E-02  4.75965E-08  2.56419E-15  9.15690E+01  3.29852E-06  1.0E-07
  2.750E-02  5.75917E-08  2.56419E-15  9.15689E+01  3.62837E-06  1.0E-07
  3.000E-02  6.85389E-08  2.56419E-15  9.15687E+01  3.95823E-06  1.0E-07
  3.250E-02  8.04380E-08  2.56418E-15  9.15685E+01  4.28808E-06  1.0E-07
  3.500E-02  9.32891E-08  2.56417E-15  9.15683E+01  4.61793E-06  1.0E-07
  3.750E-02  1.07092E-07  2.56417E-15  9.15681E+01  4.94779E-06  1.0E-07
  4.000E-02  1.21847E-07  2.56416E-15  9.15679E+01  5.27764E-06  1.0E-07
  4.250E-02  1.37554E-07  2.56416E-15  9.15677E+01  5.60749E-06  1.0E-07
  4.500E-02  1.54213E-07  2.56415E-15  9.15674E+01  5.93735E-06  1.0E-07
  4.750E-02  1.71823E-07  2.56414E-15  9.15671E+01  6.26720E-06  1.0E-07
  5.000E-02  1.90386E-07  2.56413E-15  9.15669E+01  6.59705E-06  1.0E-07
  5.250E-02  2.09900E-07  2.56412E-15  9.15666E+01  6.92691E-06  1.0E-07
  5.500E-02  2.30367E-07  2.56412E-15  9.15663E+01  7.25676E-06  1.0E-07
  5.750E-02  2.51785E-07  2.56411E-15  9.15659E+01  7.58662E-06  1.0E-07
  6.000E-02  2.74156E-07  2.56410E-15  9.15656E+01  7.91647E-06  1.0E-07
  6.250E-02  2.97478E-07  2.56409E-15  9.15652E+01  8.24633E-06  1.0E-07
  6.500E-02  3.21752E-07  2.56408E-15  9.15649E+01  8.57618E-06  1.0E-07
  6.750E-02  3.46978E-07  2.56407E-15  9.15645E+01  8.90604E-06  1.0E-07
  7.000E-02  3.73156E-07  2.56406E-15  9.15641E+01  9.23590E-06  1.0E-07
  7.250E-02  4.00286E-07  2.56404E-15  9.15637E+01  9.56575E-06  1.0E-07
  7.500E-02  4.28368E-07  2.56403E-15  9.15632E+01  9.89561E-06  1.0E-07
  7.750E-02  4.57402E-07  2.56402E-15  9.15628E+01  1.02255E-05  1.0E-07
  8.000E-02  4.87388E-07  2.56401E-15  9.15623E+01  1.05553E-05  1.0E-07
  8.250E-02  5.18325E-07  2.56399E-15  9.15619E+01  1.08852E-05  1.0E-07
  8.500E-02  5.50215E-07  2.56398E-15  9.15614E+01  1.12150E-05  1.0E-07
  8.750E-02  5.83057E-07  2.56397E-15  9.15609E+01  1.15449E-05  1.0E-07
  9.000E-02  6.16850E-07  2.56395E-15  9.15604E+01  1.18748E-05  1.0E-07
  9.250E-02  6.51596E-07  2.56394E-15  9.15598E+01  1.22046E-05  1.0E-07
  9.500E-02  6.87293E-07  2.56392E-15  9.15593E+01  1.25345E-05  1.0E-07
  9.750E-02  7.23942E-07  2.56391E-15  9.15587E+01  1.28643E-05  1.0E-07
  1.000E-01  7.61543E-07  2.56389E-15  9.15581E+01  1.31942E-05  1.0E-07
  1.250E-01  1.18991E-06  2.56371E-15  9.15516E+01  1.64928E-05  1.0E-07
  1.500E-01  1.71347E-06  2.56348E-15  9.15436E+01  1.97915E-05  1.0E-07
  1.750E-01  2.33223E-06  2.56322E-15  9.15342E+01  2.30903E-05  1.0E-07
  2.000E-01  3.04617E-06  2.56291E-15  9.15233E+01  2.63891E-05  1.0E-07
  2.250E-01  3.85531E-06  2.56257E-15  9.15110E+01  2.96880E-05  1.0E-07
  2.500E-01  4.75964E-06  2.56218E-15  9.14972E+01  3.29871E-05  1.0E-07
  2.750E-01  5.75916E-06  2.56176E-15  9.14820E+01  3.62862E-05  1.0E-07
  3.000E-01  6.85388E-06  2.56129E-15  9.14653E+01  3.95855E-05  1.0E-07
  3.250E-01  8.04378E-06  2.56078E-15  9.14471E+01  4.28849E-05  1.0E-07
  3.500E-01  9.32888E-06  2.56023E-15  9.14276E+01  4.61844E-05  1.0E-07
  3.750E-01  1.07092E-05  2.55964E-15  9.14066E+01  4.94841E-05  1.0E-07
  4.000E-01  1.21846E-05  2.55902E-15  9.13841E+01  5.27840E-05  1.0E-07
  4.250E-01  1.37553E-05  2.55835E-15  9.13602E+01  5.60841E-05  1.0E-07
  4.500E-01  1.54212E-05  2.55764E-15  9.13349E+01  5.93843E-05  1.0E-07
  4.750E-01  1.71822E-05  2.55689E-15  9.13081E+01  6.26847E-05  1.0E-07
  5.000E-01  1.90385E-05  2.55610E-15  9.12799E+01  6.59854E-05  1.0E-07
  5.250E-01  2.09899E-05  2.55527E-15  9.12503E+01  6.92862E-05  1.0E-07
  5.500E-01  2.30365E-05  2.55440E-15  9.12192E+01  7.25873E-05  1.0E-07
  5.750E-01  2.51783E-05  2.55349E-15  9.11867E+01  7.58887E-05  1.0E-07
  6.000E-01  2.74153E-05  2.55254E-15  9.11528E+01  7.91903E-05  1.0E-07
  6.250E-01  2.97475E-05  2.55155E-15  9.11174E+01  8.24921E-05  1.0E-07
  6.500E-01  3.21749E-05  2.55052E-15  9.10806E+01  8.57942E-05  1.0E-07
  6.750E-01  3.46974E-05  2.54945E-15  9.10425E+01  8.90966E-05  1.0E-07
  7.000E-01  3.73152E-05  2.54834E-15  9.10028E+01  9.23993E-05  1.0E-07
  7.250E-01  4.00281E-05  2.54719E-15  9.09618E+01  9.57023E-05  1.0E-07
  7.500E-01  4.28362E-05  2.54600E-15  9.09194E+01  9.90056E-05  1.0E-07
  7.750E-01  4.57395E-05  2.54477E-15  9.08755E+01  1.02309E-04  1.0E-07
  8.000E-01  4.87380E-05  2.54351E-15  9.08303E+01  1.05613E-04  1.0E-07
  8.250E-01  5.18317E-05  2.54220E-15  9.07836E+01  1.08917E-04  1.0E-07
  8.500E-01  5.50205E-05  2.54085E-15  9.07355E+01  1.12222E-04  1.0E-07
  8.750E-01  5.83045E-05  2.53947E-15  9.06861E+01  1.15527E-04  1.0E-07
  9.000E-01  6.16838E-05  2.53804E-15  9.06352E+01  1.18832E-04  1.0E-07
  9.250E-01  6.51582E-05  2.53658E-15  9.05830E+01  1.22138E-04  1.0E-07
  9.500E-01  6.87277E-05  2.53508E-15  9.05293E+01  1.25444E-04  1.0E-07
  9.750E-01  7.23925E-05  2.53354E-15  9.04743E+01  1.28751E-04  1.0E-07
  1.000E+00  7.61524E-05  2.53196E-15  9.04179E+01  1.32057E-04  1.0E-07
  1.100E+00  9.21439E-05  2.52526E-15  9.01786E+01  1.45289E-04  1.0E-07
  1.200E+00  1.09658E-04  2.51795E-15  8.99175E+01  1.58527E-04  1.0E-07
  1.300E+00  1.28695E-04  2.51003E-15  8.96349E+01  1.71772E-04  1.0E-07
  1.400E+00  1.49255E-04  2.50152E-15  8.93310E+01  1.85025E-04  1.0E-07
  1.500E+00  1.71338E-04  2.49243E-15  8.90062E+01  1.98286E-04  1.0E-07
  1.600E+00  1.94942E-04  2.48276E-15  8.86609E+01  2.11555E-04  1.0E-07
