 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+01 eV = 3.30744E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 9.39213E-16 cm**2 = 3.35399E+01 a0**2
 # 1st transport cross section = 2.52591E-16 cm**2 = 9.02018E+00 a0**2
 # 2nd transport cross section = 4.16528E-16 cm**2 = 1.48745E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.64890E-15  5.88834E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.64890E-15  5.88834E+01  2.42331E-08  1.0E-07
  1.250E-04  1.18994E-12  1.64890E-15  5.88834E+01  3.02914E-08  1.0E-07
  1.500E-04  1.71346E-12  1.64890E-15  5.88834E+01  3.63497E-08  1.0E-07
  1.750E-04  2.33225E-12  1.64890E-15  5.88834E+01  4.24080E-08  1.0E-07
  2.000E-04  3.04617E-12  1.64890E-15  5.88834E+01  4.84663E-08  1.0E-07
  2.250E-04  3.85530E-12  1.64890E-15  5.88834E+01  5.45246E-08  1.0E-07
  2.500E-04  4.75964E-12  1.64890E-15  5.88834E+01  6.05828E-08  1.0E-07
  2.750E-04  5.75917E-12  1.64890E-15  5.88834E+01  6.66411E-08  1.0E-07
  3.000E-04  6.85391E-12  1.64890E-15  5.88834E+01  7.26994E-08  1.0E-07
  3.250E-04  8.04379E-12  1.64890E-15  5.88834E+01  7.87577E-08  1.0E-07
  3.500E-04  9.32893E-12  1.64890E-15  5.88834E+01  8.48160E-08  1.0E-07
  3.750E-04  1.07092E-11  1.64890E-15  5.88834E+01  9.08743E-08  1.0E-07
  4.000E-04  1.21847E-11  1.64890E-15  5.88834E+01  9.69325E-08  1.0E-07
  4.250E-04  1.37554E-11  1.64890E-15  5.88834E+01  1.02991E-07  1.0E-07
  4.500E-04  1.54213E-11  1.64890E-15  5.88834E+01  1.09049E-07  1.0E-07
  4.750E-04  1.71823E-11  1.64890E-15  5.88834E+01  1.15107E-07  1.0E-07
  5.000E-04  1.90386E-11  1.64890E-15  5.88834E+01  1.21166E-07  1.0E-07
  5.250E-04  2.09900E-11  1.64890E-15  5.88834E+01  1.27224E-07  1.0E-07
  5.500E-04  2.30367E-11  1.64890E-15  5.88834E+01  1.33282E-07  1.0E-07
  5.750E-04  2.51785E-11  1.64890E-15  5.88834E+01  1.39341E-07  1.0E-07
  6.000E-04  2.74156E-11  1.64890E-15  5.88834E+01  1.45399E-07  1.0E-07
  6.250E-04  2.97478E-11  1.64890E-15  5.88834E+01  1.51457E-07  1.0E-07
  6.500E-04  3.21752E-11  1.64890E-15  5.88834E+01  1.57515E-07  1.0E-07
  6.750E-04  3.46979E-11  1.64890E-15  5.88834E+01  1.63574E-07  1.0E-07
  7.000E-04  3.73157E-11  1.64890E-15  5.88834E+01  1.69632E-07  1.0E-07
  7.250E-04  4.00286E-11  1.64890E-15  5.88834E+01  1.75690E-07  1.0E-07
  7.500E-04  4.28368E-11  1.64890E-15  5.88834E+01  1.81749E-07  1.0E-07
  7.750E-04  4.57402E-11  1.64890E-15  5.88834E+01  1.87807E-07  1.0E-07
  8.000E-04  4.87388E-11  1.64890E-15  5.88834E+01  1.93865E-07  1.0E-07
  8.250E-04  5.18325E-11  1.64890E-15  5.88834E+01  1.99923E-07  1.0E-07
  8.500E-04  5.50215E-11  1.64890E-15  5.88834E+01  2.05982E-07  1.0E-07
  8.750E-04  5.83057E-11  1.64890E-15  5.88834E+01  2.12040E-07  1.0E-07
  9.000E-04  6.16850E-11  1.64890E-15  5.88834E+01  2.18098E-07  1.0E-07
  9.250E-04  6.51595E-11  1.64890E-15  5.88834E+01  2.24156E-07  1.0E-07
  9.500E-04  6.87293E-11  1.64890E-15  5.88834E+01  2.30215E-07  1.0E-07
  9.750E-04  7.23943E-11  1.64890E-15  5.88834E+01  2.36273E-07  1.0E-07
  1.000E-03  7.61544E-11  1.64890E-15  5.88834E+01  2.42331E-07  1.0E-07
  1.250E-03  1.18991E-10  1.64890E-15  5.88834E+01  3.02914E-07  1.0E-07
  1.500E-03  1.71347E-10  1.64890E-15  5.88834E+01  3.63497E-07  1.0E-07
  1.750E-03  2.33223E-10  1.64890E-15  5.88834E+01  4.24080E-07  1.0E-07
  2.000E-03  3.04617E-10  1.64890E-15  5.88834E+01  4.84663E-07  1.0E-07
  2.250E-03  3.85531E-10  1.64890E-15  5.88834E+01  5.45246E-07  1.0E-07
  2.500E-03  4.75965E-10  1.64890E-15  5.88834E+01  6.05828E-07  1.0E-07
  2.750E-03  5.75917E-10  1.64890E-15  5.88834E+01  6.66411E-07  1.0E-07
  3.000E-03  6.85389E-10  1.64890E-15  5.88834E+01  7.26994E-07  1.0E-07
  3.250E-03  8.04380E-10  1.64890E-15  5.88834E+01  7.87577E-07  1.0E-07
  3.500E-03  9.32891E-10  1.64890E-15  5.88834E+01  8.48160E-07  1.0E-07
  3.750E-03  1.07092E-09  1.64890E-15  5.88834E+01  9.08743E-07  1.0E-07
  4.000E-03  1.21847E-09  1.64890E-15  5.88834E+01  9.69325E-07  1.0E-07
  4.250E-03  1.37554E-09  1.64890E-15  5.88834E+01  1.02991E-06  1.0E-07
  4.500E-03  1.54213E-09  1.64890E-15  5.88834E+01  1.09049E-06  1.0E-07
  4.750E-03  1.71823E-09  1.64890E-15  5.88834E+01  1.15107E-06  1.0E-07
  5.000E-03  1.90386E-09  1.64890E-15  5.88834E+01  1.21166E-06  1.0E-07
  5.250E-03  2.09900E-09  1.64890E-15  5.88834E+01  1.27224E-06  1.0E-07
  5.500E-03  2.30367E-09  1.64890E-15  5.88834E+01  1.33282E-06  1.0E-07
  5.750E-03  2.51785E-09  1.64890E-15  5.88834E+01  1.39341E-06  1.0E-07
  6.000E-03  2.74156E-09  1.64890E-15  5.88834E+01  1.45399E-06  1.0E-07
  6.250E-03  2.97478E-09  1.64890E-15  5.88834E+01  1.51457E-06  1.0E-07
  6.500E-03  3.21752E-09  1.64890E-15  5.88834E+01  1.57515E-06  1.0E-07
  6.750E-03  3.46978E-09  1.64890E-15  5.88834E+01  1.63574E-06  1.0E-07
  7.000E-03  3.73156E-09  1.64890E-15  5.88834E+01  1.69632E-06  1.0E-07
  7.250E-03  4.00286E-09  1.64890E-15  5.88834E+01  1.75690E-06  1.0E-07
  7.500E-03  4.28368E-09  1.64890E-15  5.88834E+01  1.81749E-06  1.0E-07
  7.750E-03  4.57402E-09  1.64890E-15  5.88834E+01  1.87807E-06  1.0E-07
  8.000E-03  4.87388E-09  1.64890E-15  5.88834E+01  1.93865E-06  1.0E-07
  8.250E-03  5.18326E-09  1.64890E-15  5.88834E+01  1.99923E-06  1.0E-07
  8.500E-03  5.50215E-09  1.64890E-15  5.88834E+01  2.05982E-06  1.0E-07
  8.750E-03  5.83057E-09  1.64890E-15  5.88834E+01  2.12040E-06  1.0E-07
  9.000E-03  6.16850E-09  1.64890E-15  5.88834E+01  2.18098E-06  1.0E-07
  9.250E-03  6.51596E-09  1.64890E-15  5.88834E+01  2.24157E-06  1.0E-07
  9.500E-03  6.87293E-09  1.64890E-15  5.88834E+01  2.30215E-06  1.0E-07
  9.750E-03  7.23942E-09  1.64890E-15  5.88834E+01  2.36273E-06  1.0E-07
  1.000E-02  7.61544E-09  1.64890E-15  5.88834E+01  2.42331E-06  1.0E-07
  1.250E-02  1.18991E-08  1.64890E-15  5.88834E+01  3.02914E-06  1.0E-07
  1.500E-02  1.71347E-08  1.64890E-15  5.88834E+01  3.63497E-06  1.0E-07
  1.750E-02  2.33223E-08  1.64890E-15  5.88834E+01  4.24081E-06  1.0E-07
  2.000E-02  3.04617E-08  1.64890E-15  5.88834E+01  4.84664E-06  1.0E-07
  2.250E-02  3.85531E-08  1.64890E-15  5.88833E+01  5.45247E-06  1.0E-07
  2.500E-02  4.75965E-08  1.64890E-15  5.88833E+01  6.05830E-06  1.0E-07
  2.750E-02  5.75917E-08  1.64890E-15  5.88833E+01  6.66414E-06  1.0E-07
  3.000E-02  6.85389E-08  1.64890E-15  5.88833E+01  7.26998E-06  1.0E-07
  3.250E-02  8.04380E-08  1.64890E-15  5.88832E+01  7.87582E-06  1.0E-07
  3.500E-02  9.32891E-08  1.64890E-15  5.88832E+01  8.48166E-06  1.0E-07
  3.750E-02  1.07092E-07  1.64890E-15  5.88832E+01  9.08750E-06  1.0E-07
  4.000E-02  1.21847E-07  1.64890E-15  5.88831E+01  9.69334E-06  1.0E-07
  4.250E-02  1.37554E-07  1.64889E-15  5.88831E+01  1.02992E-05  1.0E-07
  4.500E-02  1.54213E-07  1.64889E-15  5.88831E+01  1.09050E-05  1.0E-07
  4.750E-02  1.71823E-07  1.64889E-15  5.88830E+01  1.15109E-05  1.0E-07
  5.000E-02  1.90386E-07  1.64889E-15  5.88830E+01  1.21167E-05  1.0E-07
  5.250E-02  2.09900E-07  1.64889E-15  5.88829E+01  1.27226E-05  1.0E-07
  5.500E-02  2.30367E-07  1.64889E-15  5.88829E+01  1.33285E-05  1.0E-07
  5.750E-02  2.51785E-07  1.64889E-15  5.88829E+01  1.39343E-05  1.0E-07
  6.000E-02  2.74156E-07  1.64889E-15  5.88828E+01  1.45402E-05  1.0E-07
  6.250E-02  2.97478E-07  1.64888E-15  5.88827E+01  1.51460E-05  1.0E-07
  6.500E-02  3.21752E-07  1.64888E-15  5.88827E+01  1.57519E-05  1.0E-07
  6.750E-02  3.46978E-07  1.64888E-15  5.88826E+01  1.63578E-05  1.0E-07
  7.000E-02  3.73156E-07  1.64888E-15  5.88826E+01  1.69637E-05  1.0E-07
  7.250E-02  4.00286E-07  1.64888E-15  5.88825E+01  1.75695E-05  1.0E-07
  7.500E-02  4.28368E-07  1.64888E-15  5.88825E+01  1.81754E-05  1.0E-07
  7.750E-02  4.57402E-07  1.64887E-15  5.88824E+01  1.87813E-05  1.0E-07
  8.000E-02  4.87388E-07  1.64887E-15  5.88823E+01  1.93872E-05  1.0E-07
  8.250E-02  5.18325E-07  1.64887E-15  5.88822E+01  1.99931E-05  1.0E-07
  8.500E-02  5.50215E-07  1.64887E-15  5.88822E+01  2.05990E-05  1.0E-07
  8.750E-02  5.83057E-07  1.64887E-15  5.88821E+01  2.12049E-05  1.0E-07
  9.000E-02  6.16850E-07  1.64886E-15  5.88820E+01  2.18108E-05  1.0E-07
