 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.00000E+04 eV = 7.34987E+02 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 5.62458E-17 cm**2 = 2.00857E+00 a0**2
 # 1st transport cross section = 1.69002E-18 cm**2 = 6.03519E-02 a0**2
 # 2nd transport cross section = 3.04777E-18 cm**2 = 1.08838E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  8.24412E-15  2.94403E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  8.24412E-15  2.94403E+02  1.20379E-09  1.0E-07
  1.250E-04  1.18994E-12  8.24412E-15  2.94403E+02  1.50474E-09  1.0E-07
  1.500E-04  1.71346E-12  8.24412E-15  2.94403E+02  1.80569E-09  1.0E-07
  1.750E-04  2.33225E-12  8.24412E-15  2.94403E+02  2.10664E-09  1.0E-07
  2.000E-04  3.04617E-12  8.24412E-15  2.94403E+02  2.40758E-09  1.0E-07
  2.250E-04  3.85530E-12  8.24412E-15  2.94403E+02  2.70853E-09  1.0E-07
  2.500E-04  4.75964E-12  8.24412E-15  2.94403E+02  3.00948E-09  1.0E-07
  2.750E-04  5.75917E-12  8.24412E-15  2.94403E+02  3.31043E-09  1.0E-07
  3.000E-04  6.85391E-12  8.24412E-15  2.94403E+02  3.61137E-09  1.0E-07
  3.250E-04  8.04379E-12  8.24412E-15  2.94403E+02  3.91232E-09  1.0E-07
  3.500E-04  9.32893E-12  8.24412E-15  2.94403E+02  4.21327E-09  1.0E-07
  3.750E-04  1.07092E-11  8.24412E-15  2.94403E+02  4.51422E-09  1.0E-07
  4.000E-04  1.21847E-11  8.24412E-15  2.94403E+02  4.81517E-09  1.0E-07
  4.250E-04  1.37554E-11  8.24412E-15  2.94403E+02  5.11611E-09  1.0E-07
  4.500E-04  1.54213E-11  8.24412E-15  2.94403E+02  5.41706E-09  1.0E-07
  4.750E-04  1.71823E-11  8.24412E-15  2.94403E+02  5.71801E-09  1.0E-07
  5.000E-04  1.90386E-11  8.24412E-15  2.94403E+02  6.01896E-09  1.0E-07
  5.250E-04  2.09900E-11  8.24412E-15  2.94403E+02  6.31991E-09  1.0E-07
  5.500E-04  2.30367E-11  8.24412E-15  2.94403E+02  6.62085E-09  1.0E-07
  5.750E-04  2.51785E-11  8.24412E-15  2.94403E+02  6.92180E-09  1.0E-07
  6.000E-04  2.74156E-11  8.24412E-15  2.94403E+02  7.22275E-09  1.0E-07
  6.250E-04  2.97478E-11  8.24412E-15  2.94403E+02  7.52370E-09  1.0E-07
  6.500E-04  3.21752E-11  8.24412E-15  2.94403E+02  7.82465E-09  1.0E-07
  6.750E-04  3.46979E-11  8.24412E-15  2.94403E+02  8.12559E-09  1.0E-07
  7.000E-04  3.73157E-11  8.24412E-15  2.94403E+02  8.42654E-09  1.0E-07
  7.250E-04  4.00286E-11  8.24412E-15  2.94403E+02  8.72749E-09  1.0E-07
  7.500E-04  4.28368E-11  8.24412E-15  2.94403E+02  9.02844E-09  1.0E-07
  7.750E-04  4.57402E-11  8.24412E-15  2.94403E+02  9.32939E-09  1.0E-07
  8.000E-04  4.87388E-11  8.24412E-15  2.94403E+02  9.63033E-09  1.0E-07
  8.250E-04  5.18325E-11  8.24412E-15  2.94403E+02  9.93128E-09  1.0E-07
  8.500E-04  5.50215E-11  8.24412E-15  2.94403E+02  1.02322E-08  1.0E-07
  8.750E-04  5.83057E-11  8.24412E-15  2.94403E+02  1.05332E-08  1.0E-07
  9.000E-04  6.16850E-11  8.24412E-15  2.94403E+02  1.08341E-08  1.0E-07
  9.250E-04  6.51595E-11  8.24412E-15  2.94403E+02  1.11351E-08  1.0E-07
  9.500E-04  6.87293E-11  8.24412E-15  2.94403E+02  1.14360E-08  1.0E-07
  9.750E-04  7.23943E-11  8.24412E-15  2.94403E+02  1.17370E-08  1.0E-07
  1.000E-03  7.61544E-11  8.24412E-15  2.94403E+02  1.20379E-08  1.0E-07
  1.250E-03  1.18991E-10  8.24411E-15  2.94403E+02  1.50474E-08  1.0E-07
  1.500E-03  1.71347E-10  8.24411E-15  2.94403E+02  1.80569E-08  1.0E-07
  1.750E-03  2.33223E-10  8.24411E-15  2.94403E+02  2.10664E-08  1.0E-07
  2.000E-03  3.04617E-10  8.24411E-15  2.94402E+02  2.40759E-08  1.0E-07
  2.250E-03  3.85531E-10  8.24410E-15  2.94402E+02  2.70853E-08  1.0E-07
  2.500E-03  4.75965E-10  8.24410E-15  2.94402E+02  3.00948E-08  1.0E-07
  2.750E-03  5.75917E-10  8.24410E-15  2.94402E+02  3.31043E-08  1.0E-07
  3.000E-03  6.85389E-10  8.24409E-15  2.94402E+02  3.61138E-08  1.0E-07
  3.250E-03  8.04380E-10  8.24409E-15  2.94402E+02  3.91233E-08  1.0E-07
  3.500E-03  9.32891E-10  8.24408E-15  2.94401E+02  4.21328E-08  1.0E-07
  3.750E-03  1.07092E-09  8.24407E-15  2.94401E+02  4.51423E-08  1.0E-07
  4.000E-03  1.21847E-09  8.24407E-15  2.94401E+02  4.81518E-08  1.0E-07
  4.250E-03  1.37554E-09  8.24406E-15  2.94401E+02  5.11613E-08  1.0E-07
  4.500E-03  1.54213E-09  8.24406E-15  2.94401E+02  5.41709E-08  1.0E-07
  4.750E-03  1.71823E-09  8.24405E-15  2.94400E+02  5.71804E-08  1.0E-07
  5.000E-03  1.90386E-09  8.24404E-15  2.94400E+02  6.01899E-08  1.0E-07
  5.250E-03  2.09900E-09  8.24403E-15  2.94400E+02  6.31994E-08  1.0E-07
  5.500E-03  2.30367E-09  8.24402E-15  2.94399E+02  6.62090E-08  1.0E-07
  5.750E-03  2.51785E-09  8.24401E-15  2.94399E+02  6.92185E-08  1.0E-07
  6.000E-03  2.74156E-09  8.24401E-15  2.94399E+02  7.22280E-08  1.0E-07
  6.250E-03  2.97478E-09  8.24400E-15  2.94398E+02  7.52376E-08  1.0E-07
  6.500E-03  3.21752E-09  8.24399E-15  2.94398E+02  7.82472E-08  1.0E-07
  6.750E-03  3.46978E-09  8.24397E-15  2.94398E+02  8.12567E-08  1.0E-07
  7.000E-03  3.73156E-09  8.24396E-15  2.94397E+02  8.42663E-08  1.0E-07
  7.250E-03  4.00286E-09  8.24395E-15  2.94397E+02  8.72759E-08  1.0E-07
  7.500E-03  4.28368E-09  8.24394E-15  2.94396E+02  9.02855E-08  1.0E-07
  7.750E-03  4.57402E-09  8.24393E-15  2.94396E+02  9.32950E-08  1.0E-07
  8.000E-03  4.87388E-09  8.24392E-15  2.94396E+02  9.63046E-08  1.0E-07
  8.250E-03  5.18326E-09  8.24390E-15  2.94395E+02  9.93143E-08  1.0E-07
  8.500E-03  5.50215E-09  8.24389E-15  2.94395E+02  1.02324E-07  1.0E-07
  8.750E-03  5.83057E-09  8.24388E-15  2.94394E+02  1.05333E-07  1.0E-07
  9.000E-03  6.16850E-09  8.24386E-15  2.94394E+02  1.08343E-07  1.0E-07
  9.250E-03  6.51596E-09  8.24385E-15  2.94393E+02  1.11353E-07  1.0E-07
  9.500E-03  6.87293E-09  8.24383E-15  2.94393E+02  1.14362E-07  1.0E-07
  9.750E-03  7.23942E-09  8.24382E-15  2.94392E+02  1.17372E-07  1.0E-07
  1.000E-02  7.61544E-09  8.24380E-15  2.94392E+02  1.20382E-07  1.0E-07
  1.250E-02  1.18991E-08  8.24362E-15  2.94385E+02  1.50479E-07  1.0E-07
  1.500E-02  1.71347E-08  8.24340E-15  2.94377E+02  1.80577E-07  1.0E-07
  1.750E-02  2.33223E-08  8.24315E-15  2.94368E+02  2.10677E-07  1.0E-07
  2.000E-02  3.04617E-08  8.24285E-15  2.94357E+02  2.40779E-07  1.0E-07
  2.250E-02  3.85531E-08  8.24251E-15  2.94345E+02  2.70882E-07  1.0E-07
  2.500E-02  4.75965E-08  8.24213E-15  2.94332E+02  3.00988E-07  1.0E-07
  2.750E-02  5.75917E-08  8.24172E-15  2.94317E+02  3.31096E-07  1.0E-07
  3.000E-02  6.85389E-08  8.24126E-15  2.94301E+02  3.61207E-07  1.0E-07
  3.250E-02  8.04380E-08  8.24076E-15  2.94283E+02  3.91321E-07  1.0E-07
  3.500E-02  9.32891E-08  8.24023E-15  2.94264E+02  4.21438E-07  1.0E-07
  3.750E-02  1.07092E-07  8.23965E-15  2.94243E+02  4.51558E-07  1.0E-07
  4.000E-02  1.21847E-07  8.23903E-15  2.94221E+02  4.81682E-07  1.0E-07
