 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+02 eV = 1.65372E+01 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 5.00000E+00
 #
 # Total elastic cross section = 4.47213E-16 cm**2 = 1.59703E+01 a0**2
 # 1st transport cross section = 1.02657E-16 cm**2 = 3.66595E+00 a0**2
 # 2nd transport cross section = 1.36546E-16 cm**2 = 4.87613E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.06931E-15  2.52450E+02  0.00000E+00  1.5E-06
  1.000E-04  7.61557E-13  7.06931E-15  2.52450E+02  1.15433E-08  1.5E-06
  1.250E-04  1.18994E-12  7.06931E-15  2.52450E+02  1.44291E-08  1.5E-06
  1.500E-04  1.71346E-12  7.06931E-15  2.52450E+02  1.73149E-08  1.5E-06
  1.750E-04  2.33225E-12  7.06931E-15  2.52450E+02  2.02007E-08  1.5E-06
  2.000E-04  3.04617E-12  7.06931E-15  2.52450E+02  2.30866E-08  1.5E-06
  2.250E-04  3.85530E-12  7.06931E-15  2.52450E+02  2.59724E-08  1.5E-06
  2.500E-04  4.75964E-12  7.06931E-15  2.52450E+02  2.88582E-08  1.5E-06
  2.750E-04  5.75917E-12  7.06931E-15  2.52450E+02  3.17440E-08  1.5E-06
  3.000E-04  6.85391E-12  7.06931E-15  2.52450E+02  3.46298E-08  1.5E-06
  3.250E-04  8.04379E-12  7.06931E-15  2.52450E+02  3.75156E-08  1.5E-06
  3.500E-04  9.32893E-12  7.06931E-15  2.52450E+02  4.04015E-08  1.5E-06
  3.750E-04  1.07092E-11  7.06931E-15  2.52450E+02  4.32873E-08  1.5E-06
  4.000E-04  1.21847E-11  7.06931E-15  2.52450E+02  4.61731E-08  1.5E-06
  4.250E-04  1.37554E-11  7.06931E-15  2.52450E+02  4.90589E-08  1.5E-06
  4.500E-04  1.54213E-11  7.06931E-15  2.52450E+02  5.19447E-08  1.5E-06
  4.750E-04  1.71823E-11  7.06931E-15  2.52450E+02  5.48306E-08  1.5E-06
  5.000E-04  1.90386E-11  7.06931E-15  2.52450E+02  5.77164E-08  1.5E-06
  5.250E-04  2.09900E-11  7.06931E-15  2.52450E+02  6.06022E-08  1.5E-06
