 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+03 eV = 1.65372E+02 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 1.66771E+01
 #
 # Total elastic cross section = 1.28920E-16 cm**2 = 4.60382E+00 a0**2
 # 1st transport cross section = 1.37170E-17 cm**2 = 4.89842E-01 a0**2
 # 2nd transport cross section = 1.67191E-17 cm**2 = 5.97049E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  8.48883E-15  3.03142E+02  0.00000E+00  2.4E-05
  1.000E-04  7.61557E-13  8.48883E-15  3.03142E+02  4.89587E-10  2.4E-05
  1.250E-04  1.18994E-12  8.48883E-15  3.03142E+02  6.11984E-10  2.4E-05
  1.500E-04  1.71346E-12  8.48883E-15  3.03142E+02  7.34381E-10  2.4E-05
  1.750E-04  2.33225E-12  8.48883E-15  3.03142E+02  8.56778E-10  2.4E-05
  2.000E-04  3.04617E-12  8.48883E-15  3.03142E+02  9.79175E-10  2.4E-05
  2.250E-04  3.85530E-12  8.48883E-15  3.03142E+02  1.10157E-09  2.4E-05
  2.500E-04  4.75964E-12  8.48883E-15  3.03142E+02  1.22397E-09  2.4E-05
  2.750E-04  5.75917E-12  8.48883E-15  3.03141E+02  1.34636E-09  2.4E-05
  3.000E-04  6.85391E-12  8.48883E-15  3.03141E+02  1.46876E-09  2.4E-05
  3.250E-04  8.04379E-12  8.48883E-15  3.03141E+02  1.59116E-09  2.4E-05
  3.500E-04  9.32893E-12  8.48883E-15  3.03141E+02  1.71355E-09  2.4E-05
  3.750E-04  1.07092E-11  8.48882E-15  3.03141E+02  1.83595E-09  2.4E-05
  4.000E-04  1.21847E-11  8.48882E-15  3.03141E+02  1.95835E-09  2.4E-05
  4.250E-04  1.37554E-11  8.48882E-15  3.03141E+02  2.08074E-09  2.4E-05
  4.500E-04  1.54213E-11  8.48882E-15  3.03141E+02  2.20314E-09  2.4E-05
  4.750E-04  1.71823E-11  8.48882E-15  3.03141E+02  2.32554E-09  2.4E-05
  5.000E-04  1.90386E-11  8.48882E-15  3.03141E+02  2.44793E-09  2.4E-05
  5.250E-04  2.09900E-11  8.48882E-15  3.03141E+02  2.57033E-09  2.4E-05
  5.500E-04  2.30367E-11  8.48882E-15  3.03141E+02  2.69273E-09  2.4E-05
  5.750E-04  2.51785E-11  8.48882E-15  3.03141E+02  2.81512E-09  2.4E-05
  6.000E-04  2.74156E-11  8.48882E-15  3.03141E+02  2.93752E-09  2.4E-05
  6.250E-04  2.97478E-11  8.48882E-15  3.03141E+02  3.05992E-09  2.4E-05
  6.500E-04  3.21752E-11  8.48882E-15  3.03141E+02  3.18231E-09  2.4E-05
  6.750E-04  3.46979E-11  8.48882E-15  3.03141E+02  3.30471E-09  2.4E-05
  7.000E-04  3.73157E-11  8.48882E-15  3.03141E+02  3.42710E-09  2.4E-05
  7.250E-04  4.00286E-11  8.48882E-15  3.03141E+02  3.54950E-09  2.4E-05
  7.500E-04  4.28368E-11  8.48882E-15  3.03141E+02  3.67190E-09  2.4E-05
  7.750E-04  4.57402E-11  8.48881E-15  3.03141E+02  3.79429E-09  2.4E-05
  8.000E-04  4.87388E-11  8.48881E-15  3.03141E+02  3.91669E-09  2.4E-05
  8.250E-04  5.18325E-11  8.48881E-15  3.03141E+02  4.03908E-09  2.4E-05
  8.500E-04  5.50215E-11  8.48881E-15  3.03141E+02  4.16148E-09  2.4E-05
  8.750E-04  5.83057E-11  8.48881E-15  3.03141E+02  4.28387E-09  2.4E-05
  9.000E-04  6.16850E-11  8.48881E-15  3.03141E+02  4.40627E-09  2.4E-05
  9.250E-04  6.51595E-11  8.48881E-15  3.03141E+02  4.52866E-09  2.4E-05
  9.500E-04  6.87293E-11  8.48881E-15  3.03141E+02  4.65106E-09  2.4E-05
  9.750E-04  7.23943E-11  8.48881E-15  3.03141E+02  4.77346E-09  2.4E-05
  1.000E-03  7.61544E-11  8.48881E-15  3.03141E+02  4.89585E-09  2.4E-05
  1.250E-03  1.18991E-10  8.48879E-15  3.03140E+02  6.11980E-09  2.4E-05
  1.500E-03  1.71347E-10  8.48878E-15  3.03140E+02  7.34373E-09  2.4E-05
  1.750E-03  2.33223E-10  8.48876E-15  3.03139E+02  8.56765E-09  2.4E-05
  2.000E-03  3.04617E-10  8.48874E-15  3.03138E+02  9.79156E-09  2.4E-05
  2.250E-03  3.85531E-10  8.48871E-15  3.03137E+02  1.10154E-08  2.4E-05
  2.500E-03  4.75965E-10  8.48869E-15  3.03137E+02  1.22393E-08  2.4E-05
  2.750E-03  5.75917E-10  8.48866E-15  3.03135E+02  1.34632E-08  2.4E-05
  3.000E-03  6.85389E-10  8.48862E-15  3.03134E+02  1.46870E-08  2.4E-05
  3.250E-03  8.04380E-10  8.48859E-15  3.03133E+02  1.59108E-08  2.4E-05
  3.500E-03  9.32891E-10  8.48855E-15  3.03132E+02  1.71345E-08  2.4E-05
  3.750E-03  1.07092E-09  8.48851E-15  3.03130E+02  1.83583E-08  2.4E-05
  4.000E-03  1.21847E-09  8.48847E-15  3.03129E+02  1.95820E-08  2.4E-05
  4.250E-03  1.37554E-09  8.48842E-15  3.03127E+02  2.08056E-08  2.4E-05
  4.500E-03  1.54213E-09  8.48837E-15  3.03125E+02  2.20293E-08  2.4E-05
  4.750E-03  1.71823E-09  8.48832E-15  3.03123E+02  2.32528E-08  2.4E-05
  5.000E-03  1.90386E-09  8.48826E-15  3.03121E+02  2.44764E-08  2.4E-05
  5.250E-03  2.09900E-09  8.48820E-15  3.03119E+02  2.56999E-08  2.4E-05
  5.500E-03  2.30367E-09  8.48814E-15  3.03117E+02  2.69233E-08  2.4E-05
  5.750E-03  2.51785E-09  8.48808E-15  3.03115E+02  2.81467E-08  2.4E-05
  6.000E-03  2.74156E-09  8.48801E-15  3.03112E+02  2.93701E-08  2.4E-05
  6.250E-03  2.97478E-09  8.48794E-15  3.03110E+02  3.05934E-08  2.4E-05
  6.500E-03  3.21752E-09  8.48787E-15  3.03107E+02  3.18166E-08  2.4E-05
  6.750E-03  3.46978E-09  8.48780E-15  3.03105E+02  3.30398E-08  2.4E-05
  7.000E-03  3.73156E-09  8.48772E-15  3.03102E+02  3.42629E-08  2.4E-05
  7.250E-03  4.00286E-09  8.48764E-15  3.03099E+02  3.54860E-08  2.4E-05
  7.500E-03  4.28368E-09  8.48756E-15  3.03096E+02  3.67090E-08  2.4E-05
  7.750E-03  4.57402E-09  8.48747E-15  3.03093E+02  3.79319E-08  2.4E-05
  8.000E-03  4.87388E-09  8.48738E-15  3.03090E+02  3.91548E-08  2.4E-05
  8.250E-03  5.18326E-09  8.48729E-15  3.03087E+02  4.03776E-08  2.4E-05
  8.500E-03  5.50215E-09  8.48719E-15  3.03083E+02  4.16003E-08  2.4E-05
  8.750E-03  5.83057E-09  8.48710E-15  3.03080E+02  4.28229E-08  2.4E-05
  9.000E-03  6.16850E-09  8.48700E-15  3.03076E+02  4.40455E-08  2.4E-05
  9.250E-03  6.51596E-09  8.48689E-15  3.03072E+02  4.52680E-08  2.4E-05
  9.500E-03  6.87293E-09  8.48679E-15  3.03069E+02  4.64904E-08  2.4E-05
  9.750E-03  7.23942E-09  8.48668E-15  3.03065E+02  4.77127E-08  2.4E-05
  1.000E-02  7.61544E-09  8.48657E-15  3.03061E+02  4.89349E-08  2.4E-05
  1.250E-02  1.18991E-08  8.48530E-15  3.03015E+02  6.11519E-08  2.4E-05
