 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.00000E+02 eV = 1.10248E+01 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Thomas-Fermi exchange potential
 #
 # Total elastic cross section = 5.30846E-16 cm**2 = 1.89569E+01 a0**2
 # 1st transport cross section = 1.00080E-16 cm**2 = 3.57392E+00 a0**2
 # 2nd transport cross section = 1.60888E-16 cm**2 = 5.74541E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.52069E-15  9.00156E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.52069E-15  9.00156E+01  4.16338E-08  1.0E-07
  1.250E-04  1.18994E-12  2.52069E-15  9.00156E+01  5.20423E-08  1.0E-07
  1.500E-04  1.71346E-12  2.52069E-15  9.00156E+01  6.24508E-08  1.0E-07
  1.750E-04  2.33225E-12  2.52069E-15  9.00156E+01  7.28592E-08  1.0E-07
  2.000E-04  3.04617E-12  2.52069E-15  9.00156E+01  8.32677E-08  1.0E-07
  2.250E-04  3.85530E-12  2.52069E-15  9.00156E+01  9.36761E-08  1.0E-07
  2.500E-04  4.75964E-12  2.52069E-15  9.00156E+01  1.04085E-07  1.0E-07
  2.750E-04  5.75917E-12  2.52069E-15  9.00156E+01  1.14493E-07  1.0E-07
  3.000E-04  6.85391E-12  2.52069E-15  9.00156E+01  1.24902E-07  1.0E-07
  3.250E-04  8.04379E-12  2.52069E-15  9.00156E+01  1.35310E-07  1.0E-07
  3.500E-04  9.32893E-12  2.52069E-15  9.00156E+01  1.45718E-07  1.0E-07
  3.750E-04  1.07092E-11  2.52069E-15  9.00156E+01  1.56127E-07  1.0E-07
  4.000E-04  1.21847E-11  2.52069E-15  9.00156E+01  1.66535E-07  1.0E-07
  4.250E-04  1.37554E-11  2.52069E-15  9.00156E+01  1.76944E-07  1.0E-07
  4.500E-04  1.54213E-11  2.52069E-15  9.00156E+01  1.87352E-07  1.0E-07
  4.750E-04  1.71823E-11  2.52069E-15  9.00156E+01  1.97761E-07  1.0E-07
  5.000E-04  1.90386E-11  2.52069E-15  9.00156E+01  2.08169E-07  1.0E-07
