 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+01 eV = 1.46997E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Thomas-Fermi exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 1.00000E+00
 #
 # Total elastic cross section = 1.14249E-15 cm**2 = 4.07989E+01 a0**2
 # 1st transport cross section = 7.30251E-16 cm**2 = 2.60778E+01 a0**2
 # 2nd transport cross section = 4.71230E-16 cm**2 = 1.68279E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.60421E-15  2.00130E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  5.60421E-15  2.00130E+02  4.93078E-08  1.0E-07
  1.250E-04  1.18994E-12  5.60421E-15  2.00130E+02  6.16347E-08  1.0E-07
  1.500E-04  1.71346E-12  5.60421E-15  2.00130E+02  7.39616E-08  1.0E-07
  1.750E-04  2.33225E-12  5.60421E-15  2.00130E+02  8.62886E-08  1.0E-07
  2.000E-04  3.04617E-12  5.60421E-15  2.00130E+02  9.86155E-08  1.0E-07
  2.250E-04  3.85530E-12  5.60421E-15  2.00130E+02  1.10942E-07  1.0E-07
  2.500E-04  4.75964E-12  5.60421E-15  2.00130E+02  1.23269E-07  1.0E-07
  2.750E-04  5.75917E-12  5.60421E-15  2.00130E+02  1.35596E-07  1.0E-07
  3.000E-04  6.85391E-12  5.60421E-15  2.00130E+02  1.47923E-07  1.0E-07
  3.250E-04  8.04379E-12  5.60421E-15  2.00130E+02  1.60250E-07  1.0E-07
  3.500E-04  9.32893E-12  5.60421E-15  2.00130E+02  1.72577E-07  1.0E-07
  3.750E-04  1.07092E-11  5.60421E-15  2.00130E+02  1.84904E-07  1.0E-07
  4.000E-04  1.21847E-11  5.60421E-15  2.00130E+02  1.97231E-07  1.0E-07
  4.250E-04  1.37554E-11  5.60421E-15  2.00130E+02  2.09558E-07  1.0E-07
  4.500E-04  1.54213E-11  5.60421E-15  2.00130E+02  2.21885E-07  1.0E-07
  4.750E-04  1.71823E-11  5.60421E-15  2.00130E+02  2.34212E-07  1.0E-07
  5.000E-04  1.90386E-11  5.60421E-15  2.00130E+02  2.46539E-07  1.0E-07
  5.250E-04  2.09900E-11  5.60421E-15  2.00130E+02  2.58866E-07  1.0E-07
  5.500E-04  2.30367E-11  5.60421E-15  2.00130E+02  2.71193E-07  1.0E-07
  5.750E-04  2.51785E-11  5.60421E-15  2.00130E+02  2.83520E-07  1.0E-07
  6.000E-04  2.74156E-11  5.60421E-15  2.00130E+02  2.95847E-07  1.0E-07
