 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+02 eV = 1.46997E+01 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Thomas-Fermi exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 4.67707E+00
 #
 # Total elastic cross section = 4.90635E-16 cm**2 = 1.75209E+01 a0**2
 # 1st transport cross section = 1.03631E-16 cm**2 = 3.70074E+00 a0**2
 # 2nd transport cross section = 1.47275E-16 cm**2 = 5.25928E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.07364E-15  2.52604E+02  0.00000E+00  3.1E-07
  1.000E-04  7.61557E-13  7.07364E-15  2.52604E+02  1.61904E-08  3.1E-07
  1.250E-04  1.18994E-12  7.07364E-15  2.52604E+02  2.02380E-08  3.1E-07
  1.500E-04  1.71346E-12  7.07364E-15  2.52604E+02  2.42856E-08  3.1E-07
  1.750E-04  2.33225E-12  7.07364E-15  2.52604E+02  2.83332E-08  3.1E-07
  2.000E-04  3.04617E-12  7.07364E-15  2.52604E+02  3.23808E-08  3.1E-07
  2.250E-04  3.85530E-12  7.07364E-15  2.52604E+02  3.64284E-08  3.1E-07
  2.500E-04  4.75964E-12  7.07364E-15  2.52604E+02  4.04760E-08  3.1E-07
  2.750E-04  5.75917E-12  7.07364E-15  2.52604E+02  4.45236E-08  3.1E-07
  3.000E-04  6.85391E-12  7.07364E-15  2.52604E+02  4.85712E-08  3.1E-07
  3.250E-04  8.04379E-12  7.07364E-15  2.52604E+02  5.26188E-08  3.1E-07
  3.500E-04  9.32893E-12  7.07364E-15  2.52604E+02  5.66664E-08  3.1E-07
  3.750E-04  1.07092E-11  7.07364E-15  2.52604E+02  6.07140E-08  3.1E-07
  4.000E-04  1.21847E-11  7.07364E-15  2.52604E+02  6.47616E-08  3.1E-07
  4.250E-04  1.37554E-11  7.07364E-15  2.52604E+02  6.88092E-08  3.1E-07
  4.500E-04  1.54213E-11  7.07364E-15  2.52604E+02  7.28568E-08  3.1E-07
  4.750E-04  1.71823E-11  7.07364E-15  2.52604E+02  7.69044E-08  3.1E-07
  5.000E-04  1.90386E-11  7.07364E-15  2.52604E+02  8.09520E-08  3.1E-07
  5.250E-04  2.09900E-11  7.07364E-15  2.52604E+02  8.49996E-08  3.1E-07
  5.500E-04  2.30367E-11  7.07364E-15  2.52604E+02  8.90472E-08  3.1E-07
  5.750E-04  2.51785E-11  7.07364E-15  2.52604E+02  9.30948E-08  3.1E-07
  6.000E-04  2.74156E-11  7.07364E-15  2.52604E+02  9.71424E-08  3.1E-07
  6.250E-04  2.97478E-11  7.07364E-15  2.52604E+02  1.01190E-07  3.1E-07
  6.500E-04  3.21752E-11  7.07364E-15  2.52604E+02  1.05238E-07  3.1E-07
  6.750E-04  3.46979E-11  7.07364E-15  2.52604E+02  1.09285E-07  3.1E-07
  7.000E-04  3.73157E-11  7.07364E-15  2.52604E+02  1.13333E-07  3.1E-07
  7.250E-04  4.00286E-11  7.07364E-15  2.52604E+02  1.17380E-07  3.1E-07
  7.500E-04  4.28368E-11  7.07364E-15  2.52604E+02  1.21428E-07  3.1E-07
  7.750E-04  4.57402E-11  7.07364E-15  2.52604E+02  1.25476E-07  3.1E-07
  8.000E-04  4.87388E-11  7.07364E-15  2.52604E+02  1.29523E-07  3.1E-07
  8.250E-04  5.18325E-11  7.07364E-15  2.52604E+02  1.33571E-07  3.1E-07
  8.500E-04  5.50215E-11  7.07364E-15  2.52604E+02  1.37618E-07  3.1E-07
  8.750E-04  5.83057E-11  7.07364E-15  2.52604E+02  1.41666E-07  3.1E-07
  9.000E-04  6.16850E-11  7.07364E-15  2.52604E+02  1.45714E-07  3.1E-07
  9.250E-04  6.51595E-11  7.07364E-15  2.52604E+02  1.49761E-07  3.1E-07
  9.500E-04  6.87293E-11  7.07364E-15  2.52604E+02  1.53809E-07  3.1E-07
  9.750E-04  7.23943E-11  7.07364E-15  2.52604E+02  1.57856E-07  3.1E-07
  1.000E-03  7.61544E-11  7.07364E-15  2.52604E+02  1.61904E-07  3.1E-07
  1.250E-03  1.18991E-10  7.07364E-15  2.52604E+02  2.02380E-07  3.1E-07
  1.500E-03  1.71347E-10  7.07364E-15  2.52604E+02  2.42856E-07  3.1E-07
  1.750E-03  2.33223E-10  7.07363E-15  2.52604E+02  2.83332E-07  3.1E-07
  2.000E-03  3.04617E-10  7.07363E-15  2.52604E+02  3.23808E-07  3.1E-07
  2.250E-03  3.85531E-10  7.07363E-15  2.52604E+02  3.64284E-07  3.1E-07
  2.500E-03  4.75965E-10  7.07363E-15  2.52604E+02  4.04760E-07  3.1E-07
  2.750E-03  5.75917E-10  7.07363E-15  2.52604E+02  4.45236E-07  3.1E-07
  3.000E-03  6.85389E-10  7.07362E-15  2.52604E+02  4.85712E-07  3.1E-07
  3.250E-03  8.04380E-10  7.07362E-15  2.52604E+02  5.26188E-07  3.1E-07
  3.500E-03  9.32891E-10  7.07362E-15  2.52603E+02  5.66665E-07  3.1E-07
  3.750E-03  1.07092E-09  7.07361E-15  2.52603E+02  6.07141E-07  3.1E-07
  4.000E-03  1.21847E-09  7.07361E-15  2.52603E+02  6.47617E-07  3.1E-07
  4.250E-03  1.37554E-09  7.07361E-15  2.52603E+02  6.88093E-07  3.1E-07
  4.500E-03  1.54213E-09  7.07360E-15  2.52603E+02  7.28569E-07  3.1E-07
  4.750E-03  1.71823E-09  7.07360E-15  2.52603E+02  7.69046E-07  3.1E-07
  5.000E-03  1.90386E-09  7.07359E-15  2.52603E+02  8.09522E-07  3.1E-07
  5.250E-03  2.09900E-09  7.07359E-15  2.52602E+02  8.49998E-07  3.1E-07
  5.500E-03  2.30367E-09  7.07358E-15  2.52602E+02  8.90475E-07  3.1E-07
  5.750E-03  2.51785E-09  7.07358E-15  2.52602E+02  9.30951E-07  3.1E-07
