 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.00000E+02 eV = 1.10248E+01 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Thomas-Fermi exchange potential
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 3.95285E+00
 #
 # Total elastic cross section = 5.87727E-16 cm**2 = 2.09881E+01 a0**2
 # 1st transport cross section = 1.01757E-16 cm**2 = 3.63381E+00 a0**2
 # 2nd transport cross section = 1.63575E-16 cm**2 = 5.84139E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.74392E-15  2.40830E+02  0.00000E+00  4.8E-07
  1.000E-04  7.61557E-13  6.74392E-15  2.40830E+02  2.46099E-08  4.8E-07
  1.250E-04  1.18994E-12  6.74392E-15  2.40830E+02  3.07624E-08  4.8E-07
  1.500E-04  1.71346E-12  6.74392E-15  2.40830E+02  3.69148E-08  4.8E-07
  1.750E-04  2.33225E-12  6.74392E-15  2.40830E+02  4.30673E-08  4.8E-07
  2.000E-04  3.04617E-12  6.74392E-15  2.40830E+02  4.92198E-08  4.8E-07
  2.250E-04  3.85530E-12  6.74392E-15  2.40830E+02  5.53723E-08  4.8E-07
  2.500E-04  4.75964E-12  6.74392E-15  2.40830E+02  6.15247E-08  4.8E-07
  2.750E-04  5.75917E-12  6.74392E-15  2.40830E+02  6.76772E-08  4.8E-07
  3.000E-04  6.85391E-12  6.74392E-15  2.40830E+02  7.38297E-08  4.8E-07
  3.250E-04  8.04379E-12  6.74392E-15  2.40830E+02  7.99821E-08  4.8E-07
  3.500E-04  9.32893E-12  6.74392E-15  2.40830E+02  8.61346E-08  4.8E-07
  3.750E-04  1.07092E-11  6.74392E-15  2.40830E+02  9.22871E-08  4.8E-07
  4.000E-04  1.21847E-11  6.74392E-15  2.40830E+02  9.84396E-08  4.8E-07
  4.250E-04  1.37554E-11  6.74392E-15  2.40830E+02  1.04592E-07  4.8E-07
  4.500E-04  1.54213E-11  6.74392E-15  2.40830E+02  1.10745E-07  4.8E-07
  4.750E-04  1.71823E-11  6.74392E-15  2.40830E+02  1.16897E-07  4.8E-07
  5.000E-04  1.90386E-11  6.74392E-15  2.40830E+02  1.23049E-07  4.8E-07
  5.250E-04  2.09900E-11  6.74392E-15  2.40830E+02  1.29202E-07  4.8E-07
  5.500E-04  2.30367E-11  6.74392E-15  2.40830E+02  1.35354E-07  4.8E-07
  5.750E-04  2.51785E-11  6.74392E-15  2.40830E+02  1.41507E-07  4.8E-07
  6.000E-04  2.74156E-11  6.74392E-15  2.40830E+02  1.47659E-07  4.8E-07
  6.250E-04  2.97478E-11  6.74392E-15  2.40830E+02  1.53812E-07  4.8E-07
