 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+03 eV = 1.65372E+02 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Thomas-Fermi exchange potential
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 1.66771E+01
 #
 # Total elastic cross section = 1.28903E-16 cm**2 = 4.60322E+00 a0**2
 # 1st transport cross section = 1.37508E-17 cm**2 = 4.91049E-01 a0**2
 # 2nd transport cross section = 1.67226E-17 cm**2 = 5.97174E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  8.48864E-15  3.03135E+02  0.00000E+00  2.4E-05
  1.000E-04  7.61557E-13  8.48864E-15  3.03135E+02  5.29197E-10  2.4E-05
  1.250E-04  1.18994E-12  8.48864E-15  3.03135E+02  6.61497E-10  2.4E-05
  1.500E-04  1.71346E-12  8.48864E-15  3.03135E+02  7.93796E-10  2.4E-05
  1.750E-04  2.33225E-12  8.48864E-15  3.03135E+02  9.26096E-10  2.4E-05
  2.000E-04  3.04617E-12  8.48864E-15  3.03135E+02  1.05839E-09  2.4E-05
  2.250E-04  3.85530E-12  8.48863E-15  3.03135E+02  1.19069E-09  2.4E-05
  2.500E-04  4.75964E-12  8.48863E-15  3.03135E+02  1.32299E-09  2.4E-05
  2.750E-04  5.75917E-12  8.48863E-15  3.03135E+02  1.45529E-09  2.4E-05
  3.000E-04  6.85391E-12  8.48863E-15  3.03135E+02  1.58759E-09  2.4E-05
  3.250E-04  8.04379E-12  8.48863E-15  3.03135E+02  1.71989E-09  2.4E-05
  3.500E-04  9.32893E-12  8.48863E-15  3.03135E+02  1.85219E-09  2.4E-05
  3.750E-04  1.07092E-11  8.48863E-15  3.03135E+02  1.98449E-09  2.4E-05
  4.000E-04  1.21847E-11  8.48863E-15  3.03135E+02  2.11679E-09  2.4E-05
  4.250E-04  1.37554E-11  8.48863E-15  3.03135E+02  2.24909E-09  2.4E-05
  4.500E-04  1.54213E-11  8.48863E-15  3.03135E+02  2.38139E-09  2.4E-05
  4.750E-04  1.71823E-11  8.48863E-15  3.03135E+02  2.51369E-09  2.4E-05
  5.000E-04  1.90386E-11  8.48863E-15  3.03134E+02  2.64598E-09  2.4E-05
  5.250E-04  2.09900E-11  8.48863E-15  3.03134E+02  2.77828E-09  2.4E-05
  5.500E-04  2.30367E-11  8.48863E-15  3.03134E+02  2.91058E-09  2.4E-05
  5.750E-04  2.51785E-11  8.48863E-15  3.03134E+02  3.04288E-09  2.4E-05
  6.000E-04  2.74156E-11  8.48863E-15  3.03134E+02  3.17518E-09  2.4E-05
  6.250E-04  2.97478E-11  8.48863E-15  3.03134E+02  3.30748E-09  2.4E-05
  6.500E-04  3.21752E-11  8.48863E-15  3.03134E+02  3.43978E-09  2.4E-05
  6.750E-04  3.46979E-11  8.48863E-15  3.03134E+02  3.57208E-09  2.4E-05
  7.000E-04  3.73157E-11  8.48862E-15  3.03134E+02  3.70437E-09  2.4E-05
  7.250E-04  4.00286E-11  8.48862E-15  3.03134E+02  3.83667E-09  2.4E-05
  7.500E-04  4.28368E-11  8.48862E-15  3.03134E+02  3.96897E-09  2.4E-05
  7.750E-04  4.57402E-11  8.48862E-15  3.03134E+02  4.10127E-09  2.4E-05
  8.000E-04  4.87388E-11  8.48862E-15  3.03134E+02  4.23357E-09  2.4E-05
  8.250E-04  5.18325E-11  8.48862E-15  3.03134E+02  4.36587E-09  2.4E-05
  8.500E-04  5.50215E-11  8.48862E-15  3.03134E+02  4.49816E-09  2.4E-05
  8.750E-04  5.83057E-11  8.48862E-15  3.03134E+02  4.63046E-09  2.4E-05
  9.000E-04  6.16850E-11  8.48862E-15  3.03134E+02  4.76276E-09  2.4E-05
  9.250E-04  6.51595E-11  8.48862E-15  3.03134E+02  4.89506E-09  2.4E-05
  9.500E-04  6.87293E-11  8.48862E-15  3.03134E+02  5.02736E-09  2.4E-05
  9.750E-04  7.23943E-11  8.48861E-15  3.03134E+02  5.15965E-09  2.4E-05
  1.000E-03  7.61544E-11  8.48861E-15  3.03134E+02  5.29195E-09  2.4E-05
  1.250E-03  1.18991E-10  8.48860E-15  3.03133E+02  6.61492E-09  2.4E-05
  1.500E-03  1.71347E-10  8.48859E-15  3.03133E+02  7.93788E-09  2.4E-05
  1.750E-03  2.33223E-10  8.48857E-15  3.03132E+02  9.26083E-09  2.4E-05
  2.000E-03  3.04617E-10  8.48855E-15  3.03131E+02  1.05838E-08  2.4E-05
  2.250E-03  3.85531E-10  8.48852E-15  3.03131E+02  1.19067E-08  2.4E-05
  2.500E-03  4.75965E-10  8.48849E-15  3.03130E+02  1.32296E-08  2.4E-05
  2.750E-03  5.75917E-10  8.48846E-15  3.03129E+02  1.45524E-08  2.4E-05
  3.000E-03  6.85389E-10  8.48843E-15  3.03127E+02  1.58753E-08  2.4E-05
  3.250E-03  8.04380E-10  8.48840E-15  3.03126E+02  1.71981E-08  2.4E-05
  3.500E-03  9.32891E-10  8.48836E-15  3.03125E+02  1.85209E-08  2.4E-05
  3.750E-03  1.07092E-09  8.48832E-15  3.03123E+02  1.98437E-08  2.4E-05
  4.000E-03  1.21847E-09  8.48827E-15  3.03122E+02  2.11664E-08  2.4E-05
  4.250E-03  1.37554E-09  8.48823E-15  3.03120E+02  2.24891E-08  2.4E-05
  4.500E-03  1.54213E-09  8.48818E-15  3.03118E+02  2.38118E-08  2.4E-05
  4.750E-03  1.71823E-09  8.48813E-15  3.03116E+02  2.51344E-08  2.4E-05
  5.000E-03  1.90386E-09  8.48807E-15  3.03115E+02  2.64570E-08  2.4E-05
  5.250E-03  2.09900E-09  8.48801E-15  3.03112E+02  2.77795E-08  2.4E-05
