

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -6.50625147E-01      0.00000000E+00
       1      1.01133178E+00      1.32335808E+00
       2      1.07208616E-01      1.97639819E-01
       3     -5.04784274E-01     -4.60371402E-01
       4     -9.42675771E-01     -9.15678130E-01
       5     -1.27107612E+00     -1.25266170E+00
       6     -1.52593490E+00     -1.51247571E+00
       7      1.41258261E+00      1.42289863E+00
       8      1.24696310E+00      1.25516145E+00
       9      1.10908831E+00      1.11578896E+00
      10      9.92378724E-01      9.97970940E-01
      11      8.92360351E-01      8.97097335E-01
      12      8.05917409E-01      8.09971502E-01
      13      7.30778383E-01      7.34273562E-01
      14      6.65191309E-01      6.68221877E-01
      15      6.07735213E-01      6.10376221E-01
      16      5.57218052E-01      5.59531018E-01
      17      5.12623331E-01      5.14659451E-01
      18      4.73080952E-01      4.74883051E-01
      19      4.37848574E-01      4.39452454E-01
      20      4.06296849E-01      4.07732347E-01
      21      3.77895881E-01      3.79187770E-01
      22      3.52202211E-01      3.53370993E-01
      23      3.28846412E-01      3.29909019E-01
      24      3.07521562E-01      3.08491972E-01
      25      2.87972853E-01      2.88862620E-01
      26      2.69988476E-01      2.70807176E-01
      27      2.53391785E-01      2.54147395E-01
      28      2.38034715E-01      2.38733919E-01
      29      2.23792323E-01      2.24440765E-01
      30      2.10558327E-01      2.11160816E-01
      31      1.98241508E-01      1.98802179E-01
      32      1.86762825E-01      1.87285269E-01
      33      1.76053128E-01      1.76540491E-01
      34      1.66051345E-01      1.66506413E-01
      35      1.56703062E-01      1.57128320E-01
      36      1.47959409E-01      1.48357093E-01
      37      1.39776182E-01      1.40148314E-01
      38      1.32113153E-01      1.32461577E-01
      39      1.24933532E-01      1.25259934E-01
      40      1.18203530E-01      1.18509457E-01
      41      1.11892014E-01      1.12178892E-01
      42      1.05970224E-01      1.06239370E-01
      43      1.00411541E-01      1.00664172E-01
      44      9.51912911E-02      9.54285357E-02
      45      9.02865818E-02      9.05094859E-02
      46      8.56761562E-02      8.58856902E-02
      47      8.13402672E-02      8.15373317E-02
      48      7.72605645E-02      7.74459960E-02
      49      7.34199933E-02      7.35945687E-02
      50      6.98027011E-02      6.99671418E-02
      51      6.63939525E-02      6.65489288E-02
      52      6.31800503E-02      6.33261849E-02
      53      6.01482628E-02      6.02861341E-02
      54      5.72867551E-02      5.74169005E-02
      55      5.45845261E-02      5.47074449E-02
      56      5.20313491E-02      5.21475055E-02
      57      4.96177169E-02      4.97275419E-02
      58      4.73347894E-02      4.74386839E-02
      59      4.51743467E-02      4.52726833E-02
      60      4.31287429E-02      4.32218682E-02
      61      4.11908656E-02      4.12791017E-02
      62      3.93540961E-02      3.94377429E-02
      63      3.76122735E-02      3.76916103E-02
      64      3.59596617E-02      3.60349481E-02
      65      3.43909171E-02      3.44623953E-02
      66      3.29010610E-02      3.29689565E-02
      67      3.14854518E-02      3.15499747E-02
      68      3.01397606E-02      3.02011071E-02
      69      2.88599484E-02      2.89183015E-02
      70      2.76422445E-02      2.76977750E-02
      71      2.64831272E-02      2.65359947E-02
      72      2.53793055E-02      2.54296590E-02
      73      2.43277022E-02      2.43756812E-02
      74      2.33254388E-02      2.33711738E-02
      75      2.23698207E-02      2.24134338E-02
      76      2.14583244E-02      2.14999300E-02
      77      2.05885851E-02      2.06282905E-02
      78      1.97583854E-02      1.97962912E-02
      79      1.89656452E-02      1.90018457E-02
      80      1.82084115E-02      1.82429953E-02
      81      1.74848501E-02      1.75179004E-02
      82      1.67932371E-02      1.68248322E-02
      83      1.61319515E-02      1.61621650E-02
      84      1.54994679E-02      1.55283690E-02
      85      1.48943502E-02      1.49220041E-02
      86      1.43152457E-02      1.43417139E-02
      87      1.37608793E-02      1.37862197E-02
      88      1.32300486E-02      1.32543159E-02
      89      1.27216191E-02      1.27448648E-02
      90      1.22345194E-02      1.22567923E-02
      91      1.17677379E-02      1.17890838E-02
      92      1.13203181E-02      1.13407806E-02
      93      1.08913558E-02      1.09109761E-02
      94      1.04799953E-02      1.04988123E-02
      95      1.00854270E-02      1.01034775E-02  i
      96      9.70688377E-03      9.72420270E-03  i
      97      9.34363897E-03      9.36025941E-03  i
      98      8.99500371E-03      9.01095701E-03  i
      99      8.66032469E-03      8.67564060E-03  i
     100      8.33898197E-03      8.35368874E-03  i
