 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.70000E+01 eV = 6.24739E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Riley-Truhlar exchange potential
 #
 # Total elastic cross section = 3.12241E-16 cm**2 = 1.11503E+01 a0**2
 # 1st transport cross section = 3.70488E-16 cm**2 = 1.32304E+01 a0**2
 # 2nd transport cross section = 1.24663E-16 cm**2 = 4.45181E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.17732E-16  7.77537E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.17732E-16  7.77537E+00  5.54292E-08  1.0E-07
  1.250E-04  1.18994E-12  2.17732E-16  7.77537E+00  6.92865E-08  1.0E-07
  1.500E-04  1.71346E-12  2.17732E-16  7.77537E+00  8.31437E-08  1.0E-07
  1.750E-04  2.33225E-12  2.17732E-16  7.77537E+00  9.70010E-08  1.0E-07
  2.000E-04  3.04617E-12  2.17732E-16  7.77537E+00  1.10858E-07  1.0E-07
  2.250E-04  3.85530E-12  2.17732E-16  7.77537E+00  1.24716E-07  1.0E-07
  2.500E-04  4.75964E-12  2.17732E-16  7.77537E+00  1.38573E-07  1.0E-07
  2.750E-04  5.75917E-12  2.17732E-16  7.77537E+00  1.52430E-07  1.0E-07
  3.000E-04  6.85391E-12  2.17732E-16  7.77537E+00  1.66287E-07  1.0E-07
  3.250E-04  8.04379E-12  2.17732E-16  7.77537E+00  1.80145E-07  1.0E-07
