 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.50000E+03 eV = 9.18733E+01 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Riley-Truhlar exchange potential
 #
 # Total elastic cross section = 1.70137E-16 cm**2 = 6.07571E+00 a0**2
 # 1st transport cross section = 2.83135E-17 cm**2 = 1.01109E+00 a0**2
 # 2nd transport cross section = 2.79157E-17 cm**2 = 9.96886E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.34314E-15  1.55096E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  4.34314E-15  1.55096E+02  4.07121E-09  1.0E-07
  1.250E-04  1.18994E-12  4.34314E-15  1.55096E+02  5.08901E-09  1.0E-07
  1.500E-04  1.71346E-12  4.34314E-15  1.55096E+02  6.10681E-09  1.0E-07
  1.750E-04  2.33225E-12  4.34314E-15  1.55096E+02  7.12461E-09  1.0E-07
  2.000E-04  3.04617E-12  4.34314E-15  1.55096E+02  8.14242E-09  1.0E-07
  2.250E-04  3.85530E-12  4.34314E-15  1.55096E+02  9.16022E-09  1.0E-07
  2.500E-04  4.75964E-12  4.34314E-15  1.55096E+02  1.01780E-08  1.0E-07
  2.750E-04  5.75917E-12  4.34314E-15  1.55096E+02  1.11958E-08  1.0E-07
  3.000E-04  6.85391E-12  4.34314E-15  1.55096E+02  1.22136E-08  1.0E-07
  3.250E-04  8.04379E-12  4.34314E-15  1.55096E+02  1.32314E-08  1.0E-07
  3.500E-04  9.32893E-12  4.34314E-15  1.55096E+02  1.42492E-08  1.0E-07
  3.750E-04  1.07092E-11  4.34314E-15  1.55096E+02  1.52670E-08  1.0E-07
  4.000E-04  1.21847E-11  4.34314E-15  1.55096E+02  1.62848E-08  1.0E-07
  4.250E-04  1.37554E-11  4.34314E-15  1.55096E+02  1.73026E-08  1.0E-07
  4.500E-04  1.54213E-11  4.34314E-15  1.55096E+02  1.83204E-08  1.0E-07
  4.750E-04  1.71823E-11  4.34314E-15  1.55096E+02  1.93382E-08  1.0E-07
  5.000E-04  1.90386E-11  4.34314E-15  1.55096E+02  2.03560E-08  1.0E-07
  5.250E-04  2.09900E-11  4.34314E-15  1.55096E+02  2.13738E-08  1.0E-07
  5.500E-04  2.30367E-11  4.34314E-15  1.55096E+02  2.23916E-08  1.0E-07
  5.750E-04  2.51785E-11  4.34314E-15  1.55096E+02  2.34094E-08  1.0E-07
  6.000E-04  2.74156E-11  4.34314E-15  1.55096E+02  2.44272E-08  1.0E-07
  6.250E-04  2.97478E-11  4.34314E-15  1.55096E+02  2.54450E-08  1.0E-07
  6.500E-04  3.21752E-11  4.34314E-15  1.55096E+02  2.64629E-08  1.0E-07
  6.750E-04  3.46979E-11  4.34314E-15  1.55096E+02  2.74807E-08  1.0E-07
  7.000E-04  3.73157E-11  4.34314E-15  1.55096E+02  2.84985E-08  1.0E-07
  7.250E-04  4.00286E-11  4.34314E-15  1.55096E+02  2.95163E-08  1.0E-07
  7.500E-04  4.28368E-11  4.34314E-15  1.55096E+02  3.05341E-08  1.0E-07
  7.750E-04  4.57402E-11  4.34314E-15  1.55096E+02  3.15519E-08  1.0E-07
  8.000E-04  4.87388E-11  4.34314E-15  1.55096E+02  3.25697E-08  1.0E-07
  8.250E-04  5.18325E-11  4.34314E-15  1.55096E+02  3.35875E-08  1.0E-07
  8.500E-04  5.50215E-11  4.34314E-15  1.55096E+02  3.46053E-08  1.0E-07
  8.750E-04  5.83057E-11  4.34314E-15  1.55096E+02  3.56231E-08  1.0E-07
  9.000E-04  6.16850E-11  4.34314E-15  1.55096E+02  3.66409E-08  1.0E-07
  9.250E-04  6.51595E-11  4.34314E-15  1.55096E+02  3.76587E-08  1.0E-07
  9.500E-04  6.87293E-11  4.34314E-15  1.55096E+02  3.86765E-08  1.0E-07
  9.750E-04  7.23943E-11  4.34314E-15  1.55096E+02  3.96943E-08  1.0E-07
  1.000E-03  7.61544E-11  4.34314E-15  1.55096E+02  4.07121E-08  1.0E-07
  1.250E-03  1.18991E-10  4.34314E-15  1.55096E+02  5.08901E-08  1.0E-07
  1.500E-03  1.71347E-10  4.34314E-15  1.55096E+02  6.10681E-08  1.0E-07
  1.750E-03  2.33223E-10  4.34314E-15  1.55096E+02  7.12461E-08  1.0E-07
  2.000E-03  3.04617E-10  4.34314E-15  1.55096E+02  8.14242E-08  1.0E-07
  2.250E-03  3.85531E-10  4.34314E-15  1.55096E+02  9.16022E-08  1.0E-07
  2.500E-03  4.75965E-10  4.34314E-15  1.55096E+02  1.01780E-07  1.0E-07
  2.750E-03  5.75917E-10  4.34314E-15  1.55096E+02  1.11958E-07  1.0E-07
  3.000E-03  6.85389E-10  4.34313E-15  1.55096E+02  1.22136E-07  1.0E-07
  3.250E-03  8.04380E-10  4.34313E-15  1.55096E+02  1.32314E-07  1.0E-07
  3.500E-03  9.32891E-10  4.34313E-15  1.55096E+02  1.42492E-07  1.0E-07
  3.750E-03  1.07092E-09  4.34313E-15  1.55096E+02  1.52670E-07  1.0E-07
  4.000E-03  1.21847E-09  4.34313E-15  1.55096E+02  1.62848E-07  1.0E-07
  4.250E-03  1.37554E-09  4.34313E-15  1.55096E+02  1.73026E-07  1.0E-07
  4.500E-03  1.54213E-09  4.34313E-15  1.55096E+02  1.83204E-07  1.0E-07
  4.750E-03  1.71823E-09  4.34313E-15  1.55096E+02  1.93383E-07  1.0E-07
  5.000E-03  1.90386E-09  4.34313E-15  1.55096E+02  2.03561E-07  1.0E-07
  5.250E-03  2.09900E-09  4.34313E-15  1.55096E+02  2.13739E-07  1.0E-07
  5.500E-03  2.30367E-09  4.34313E-15  1.55096E+02  2.23917E-07  1.0E-07
  5.750E-03  2.51785E-09  4.34313E-15  1.55096E+02  2.34095E-07  1.0E-07
  6.000E-03  2.74156E-09  4.34313E-15  1.55096E+02  2.44273E-07  1.0E-07
  6.250E-03  2.97478E-09  4.34313E-15  1.55096E+02  2.54451E-07  1.0E-07
  6.500E-03  3.21752E-09  4.34313E-15  1.55096E+02  2.64629E-07  1.0E-07
  6.750E-03  3.46978E-09  4.34313E-15  1.55096E+02  2.74807E-07  1.0E-07
  7.000E-03  3.73156E-09  4.34312E-15  1.55096E+02  2.84985E-07  1.0E-07
