 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.00000E+03 eV = 1.10248E+02 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Riley-Truhlar exchange potential
 #
 # Total elastic cross section = 1.55712E-16 cm**2 = 5.56058E+00 a0**2
 # 1st transport cross section = 2.28185E-17 cm**2 = 8.14862E-01 a0**2
 # 2nd transport cross section = 2.39861E-17 cm**2 = 8.56558E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.62095E-15  1.65017E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  4.62095E-15  1.65017E+02  3.34702E-09  1.0E-07
  1.250E-04  1.18994E-12  4.62095E-15  1.65017E+02  4.18378E-09  1.0E-07
  1.500E-04  1.71346E-12  4.62095E-15  1.65017E+02  5.02053E-09  1.0E-07
  1.750E-04  2.33225E-12  4.62095E-15  1.65017E+02  5.85729E-09  1.0E-07
  2.000E-04  3.04617E-12  4.62095E-15  1.65017E+02  6.69404E-09  1.0E-07
  2.250E-04  3.85530E-12  4.62095E-15  1.65017E+02  7.53080E-09  1.0E-07
  2.500E-04  4.75964E-12  4.62095E-15  1.65017E+02  8.36755E-09  1.0E-07
  2.750E-04  5.75917E-12  4.62095E-15  1.65017E+02  9.20431E-09  1.0E-07
  3.000E-04  6.85391E-12  4.62095E-15  1.65017E+02  1.00411E-08  1.0E-07
  3.250E-04  8.04379E-12  4.62095E-15  1.65017E+02  1.08778E-08  1.0E-07
  3.500E-04  9.32893E-12  4.62095E-15  1.65017E+02  1.17146E-08  1.0E-07
  3.750E-04  1.07092E-11  4.62095E-15  1.65017E+02  1.25513E-08  1.0E-07
  4.000E-04  1.21847E-11  4.62095E-15  1.65017E+02  1.33881E-08  1.0E-07
  4.250E-04  1.37554E-11  4.62095E-15  1.65017E+02  1.42248E-08  1.0E-07
  4.500E-04  1.54213E-11  4.62095E-15  1.65017E+02  1.50616E-08  1.0E-07
  4.750E-04  1.71823E-11  4.62095E-15  1.65017E+02  1.58984E-08  1.0E-07
  5.000E-04  1.90386E-11  4.62095E-15  1.65017E+02  1.67351E-08  1.0E-07
  5.250E-04  2.09900E-11  4.62095E-15  1.65017E+02  1.75719E-08  1.0E-07
  5.500E-04  2.30367E-11  4.62095E-15  1.65017E+02  1.84086E-08  1.0E-07
  5.750E-04  2.51785E-11  4.62095E-15  1.65017E+02  1.92454E-08  1.0E-07
  6.000E-04  2.74156E-11  4.62095E-15  1.65017E+02  2.00821E-08  1.0E-07
  6.250E-04  2.97478E-11  4.62095E-15  1.65017E+02  2.09189E-08  1.0E-07
  6.500E-04  3.21752E-11  4.62095E-15  1.65017E+02  2.17556E-08  1.0E-07
  6.750E-04  3.46979E-11  4.62095E-15  1.65017E+02  2.25924E-08  1.0E-07
  7.000E-04  3.73157E-11  4.62095E-15  1.65017E+02  2.34291E-08  1.0E-07
  7.250E-04  4.00286E-11  4.62095E-15  1.65017E+02  2.42659E-08  1.0E-07
  7.500E-04  4.28368E-11  4.62095E-15  1.65017E+02  2.51027E-08  1.0E-07
  7.750E-04  4.57402E-11  4.62095E-15  1.65017E+02  2.59394E-08  1.0E-07
  8.000E-04  4.87388E-11  4.62095E-15  1.65017E+02  2.67762E-08  1.0E-07
  8.250E-04  5.18325E-11  4.62095E-15  1.65017E+02  2.76129E-08  1.0E-07
  8.500E-04  5.50215E-11  4.62095E-15  1.65017E+02  2.84497E-08  1.0E-07
  8.750E-04  5.83057E-11  4.62095E-15  1.65017E+02  2.92864E-08  1.0E-07
  9.000E-04  6.16850E-11  4.62095E-15  1.65017E+02  3.01232E-08  1.0E-07
  9.250E-04  6.51595E-11  4.62095E-15  1.65017E+02  3.09599E-08  1.0E-07
  9.500E-04  6.87293E-11  4.62095E-15  1.65017E+02  3.17967E-08  1.0E-07
  9.750E-04  7.23943E-11  4.62095E-15  1.65017E+02  3.26335E-08  1.0E-07
  1.000E-03  7.61544E-11  4.62095E-15  1.65017E+02  3.34702E-08  1.0E-07
  1.250E-03  1.18991E-10  4.62095E-15  1.65017E+02  4.18378E-08  1.0E-07
  1.500E-03  1.71347E-10  4.62095E-15  1.65017E+02  5.02053E-08  1.0E-07
  1.750E-03  2.33223E-10  4.62095E-15  1.65017E+02  5.85729E-08  1.0E-07
  2.000E-03  3.04617E-10  4.62095E-15  1.65017E+02  6.69404E-08  1.0E-07
  2.250E-03  3.85531E-10  4.62095E-15  1.65017E+02  7.53080E-08  1.0E-07
  2.500E-03  4.75965E-10  4.62095E-15  1.65017E+02  8.36755E-08  1.0E-07
  2.750E-03  5.75917E-10  4.62095E-15  1.65017E+02  9.20431E-08  1.0E-07
  3.000E-03  6.85389E-10  4.62095E-15  1.65017E+02  1.00411E-07  1.0E-07
  3.250E-03  8.04380E-10  4.62095E-15  1.65017E+02  1.08778E-07  1.0E-07
  3.500E-03  9.32891E-10  4.62095E-15  1.65017E+02  1.17146E-07  1.0E-07
  3.750E-03  1.07092E-09  4.62095E-15  1.65017E+02  1.25513E-07  1.0E-07
  4.000E-03  1.21847E-09  4.62095E-15  1.65017E+02  1.33881E-07  1.0E-07
  4.250E-03  1.37554E-09  4.62095E-15  1.65017E+02  1.42248E-07  1.0E-07
  4.500E-03  1.54213E-09  4.62095E-15  1.65017E+02  1.50616E-07  1.0E-07
  4.750E-03  1.71823E-09  4.62095E-15  1.65017E+02  1.58984E-07  1.0E-07
  5.000E-03  1.90386E-09  4.62095E-15  1.65017E+02  1.67351E-07  1.0E-07
  5.250E-03  2.09900E-09  4.62095E-15  1.65017E+02  1.75719E-07  1.0E-07
  5.500E-03  2.30367E-09  4.62094E-15  1.65017E+02  1.84086E-07  1.0E-07
  5.750E-03  2.51785E-09  4.62094E-15  1.65017E+02  1.92454E-07  1.0E-07
  6.000E-03  2.74156E-09  4.62094E-15  1.65017E+02  2.00821E-07  1.0E-07
  6.250E-03  2.97478E-09  4.62094E-15  1.65017E+02  2.09189E-07  1.0E-07
  6.500E-03  3.21752E-09  4.62094E-15  1.65017E+02  2.17557E-07  1.0E-07
  6.750E-03  3.46978E-09  4.62094E-15  1.65017E+02  2.25924E-07  1.0E-07
  7.000E-03  3.73156E-09  4.62094E-15  1.65017E+02  2.34292E-07  1.0E-07
  7.250E-03  4.00286E-09  4.62094E-15  1.65017E+02  2.42659E-07  1.0E-07
  7.500E-03  4.28368E-09  4.62094E-15  1.65017E+02  2.51027E-07  1.0E-07
  7.750E-03  4.57402E-09  4.62094E-15  1.65017E+02  2.59395E-07  1.0E-07
  8.000E-03  4.87388E-09  4.62093E-15  1.65017E+02  2.67762E-07  1.0E-07
  8.250E-03  5.18326E-09  4.62093E-15  1.65017E+02  2.76130E-07  1.0E-07
  8.500E-03  5.50215E-09  4.62093E-15  1.65016E+02  2.84497E-07  1.0E-07
  8.750E-03  5.83057E-09  4.62093E-15  1.65016E+02  2.92865E-07  1.0E-07
  9.000E-03  6.16850E-09  4.62093E-15  1.65016E+02  3.01233E-07  1.0E-07
  9.250E-03  6.51596E-09  4.62093E-15  1.65016E+02  3.09600E-07  1.0E-07
  9.500E-03  6.87293E-09  4.62093E-15  1.65016E+02  3.17968E-07  1.0E-07
  9.750E-03  7.23942E-09  4.62092E-15  1.65016E+02  3.26335E-07  1.0E-07
  1.000E-02  7.61544E-09  4.62092E-15  1.65016E+02  3.34703E-07  1.0E-07
  1.250E-02  1.18991E-08  4.62090E-15  1.65015E+02  4.18379E-07  1.0E-07
  1.500E-02  1.71347E-08  4.62088E-15  1.65015E+02  5.02056E-07  1.0E-07
  1.750E-02  2.33223E-08  4.62086E-15  1.65014E+02  5.85734E-07  1.0E-07
  2.000E-02  3.04617E-08  4.62083E-15  1.65013E+02  6.69412E-07  1.0E-07
  2.250E-02  3.85531E-08  4.62079E-15  1.65012E+02  7.53090E-07  1.0E-07
  2.500E-02  4.75965E-08  4.62075E-15  1.65010E+02  8.36770E-07  1.0E-07
  2.750E-02  5.75917E-08  4.62071E-15  1.65009E+02  9.20450E-07  1.0E-07
  3.000E-02  6.85389E-08  4.62067E-15  1.65007E+02  1.00413E-06  1.0E-07
  3.250E-02  8.04380E-08  4.62062E-15  1.65005E+02  1.08781E-06  1.0E-07
  3.500E-02  9.32891E-08  4.62056E-15  1.65003E+02  1.17150E-06  1.0E-07
  3.750E-02  1.07092E-07  4.62051E-15  1.65001E+02  1.25518E-06  1.0E-07
  4.000E-02  1.21847E-07  4.62044E-15  1.64999E+02  1.33887E-06  1.0E-07
  4.250E-02  1.37554E-07  4.62038E-15  1.64997E+02  1.42256E-06  1.0E-07
  4.500E-02  1.54213E-07  4.62031E-15  1.64994E+02  1.50625E-06  1.0E-07
  4.750E-02  1.71823E-07  4.62023E-15  1.64992E+02  1.58994E-06  1.0E-07
  5.000E-02  1.90386E-07  4.62016E-15  1.64989E+02  1.67363E-06  1.0E-07
  5.250E-02  2.09900E-07  4.62007E-15  1.64986E+02  1.75732E-06  1.0E-07
  5.500E-02  2.30367E-07  4.61999E-15  1.64983E+02  1.84102E-06  1.0E-07
  5.750E-02  2.51785E-07  4.61990E-15  1.64980E+02  1.92472E-06  1.0E-07
  6.000E-02  2.74156E-07  4.61981E-15  1.64976E+02  2.00842E-06  1.0E-07
  6.250E-02  2.97478E-07  4.61971E-15  1.64973E+02  2.09212E-06  1.0E-07
  6.500E-02  3.21752E-07  4.61961E-15  1.64969E+02  2.17582E-06  1.0E-07
  6.750E-02  3.46978E-07  4.61950E-15  1.64965E+02  2.25953E-06  1.0E-07
  7.000E-02  3.73156E-07  4.61939E-15  1.64961E+02  2.34324E-06  1.0E-07
  7.250E-02  4.00286E-07  4.61928E-15  1.64957E+02  2.42695E-06  1.0E-07
  7.500E-02  4.28368E-07  4.61916E-15  1.64953E+02  2.51066E-06  1.0E-07
  7.750E-02  4.57402E-07  4.61904E-15  1.64949E+02  2.59438E-06  1.0E-07
  8.000E-02  4.87388E-07  4.61891E-15  1.64944E+02  2.67810E-06  1.0E-07
  8.250E-02  5.18325E-07  4.61878E-15  1.64940E+02  2.76182E-06  1.0E-07
  8.500E-02  5.50215E-07  4.61865E-15  1.64935E+02  2.84555E-06  1.0E-07
  8.750E-02  5.83057E-07  4.61851E-15  1.64930E+02  2.92927E-06  1.0E-07
  9.000E-02  6.16850E-07  4.61837E-15  1.64925E+02  3.01301E-06  1.0E-07
  9.250E-02  6.51596E-07  4.61822E-15  1.64920E+02  3.09674E-06  1.0E-07
  9.500E-02  6.87293E-07  4.61808E-15  1.64914E+02  3.18048E-06  1.0E-07
  9.750E-02  7.23942E-07  4.61792E-15  1.64909E+02  3.26422E-06  1.0E-07
  1.000E-01  7.61543E-07  4.61776E-15  1.64903E+02  3.34796E-06  1.0E-07
  1.250E-01  1.18991E-06  4.61597E-15  1.64839E+02  4.18562E-06  1.0E-07
  1.500E-01  1.71347E-06  4.61378E-15  1.64761E+02  5.02371E-06  1.0E-07
  1.750E-01  2.33223E-06  4.61120E-15  1.64669E+02  5.86233E-06  1.0E-07
  2.000E-01  3.04617E-06  4.60822E-15  1.64562E+02  6.70158E-06  1.0E-07
  2.250E-01  3.85531E-06  4.60484E-15  1.64442E+02  7.54152E-06  1.0E-07
  2.500E-01  4.75964E-06  4.60107E-15  1.64307E+02  8.38226E-06  1.0E-07
  2.750E-01  5.75916E-06  4.59691E-15  1.64159E+02  9.22389E-06  1.0E-07
  3.000E-01  6.85388E-06  4.59237E-15  1.63996E+02  1.00665E-05  1.0E-07
  3.250E-01  8.04378E-06  4.58743E-15  1.63820E+02  1.09101E-05  1.0E-07
  3.500E-01  9.32888E-06  4.58211E-15  1.63630E+02  1.17549E-05  1.0E-07
  3.750E-01  1.07092E-05  4.57640E-15  1.63426E+02  1.26009E-05  1.0E-07
  4.000E-01  1.21846E-05  4.57031E-15  1.63209E+02  1.34483E-05  1.0E-07
  4.250E-01  1.37553E-05  4.56385E-15  1.62978E+02  1.42970E-05  1.0E-07
  4.500E-01  1.54212E-05  4.55700E-15  1.62734E+02  1.51473E-05  1.0E-07
  4.750E-01  1.71822E-05  4.54979E-15  1.62476E+02  1.59991E-05  1.0E-07
  5.000E-01  1.90385E-05  4.54220E-15  1.62205E+02  1.68526E-05  1.0E-07
  5.250E-01  2.09899E-05  4.53424E-15  1.61921E+02  1.77078E-05  1.0E-07
  5.500E-01  2.30365E-05  4.52592E-15  1.61623E+02  1.85648E-05  1.0E-07
  5.750E-01  2.51783E-05  4.51723E-15  1.61313E+02  1.94238E-05  1.0E-07
  6.000E-01  2.74153E-05  4.50818E-15  1.60990E+02  2.02848E-05  1.0E-07
  6.250E-01  2.97475E-05  4.49878E-15  1.60654E+02  2.11479E-05  1.0E-07
  6.500E-01  3.21749E-05  4.48903E-15  1.60306E+02  2.20132E-05  1.0E-07
  6.750E-01  3.46974E-05  4.47893E-15  1.59945E+02  2.28807E-05  1.0E-07
  7.000E-01  3.73152E-05  4.46848E-15  1.59572E+02  2.37506E-05  1.0E-07
  7.250E-01  4.00281E-05  4.45769E-15  1.59187E+02  2.46228E-05  1.0E-07
  7.500E-01  4.28362E-05  4.44657E-15  1.58790E+02  2.54977E-05  1.0E-07
  7.750E-01  4.57395E-05  4.43511E-15  1.58381E+02  2.63751E-05  1.0E-07
  8.000E-01  4.87380E-05  4.42332E-15  1.57960E+02  2.72551E-05  1.0E-07
  8.250E-01  5.18317E-05  4.41121E-15  1.57527E+02  2.81380E-05  1.0E-07
  8.500E-01  5.50205E-05  4.39878E-15  1.57083E+02  2.90236E-05  1.0E-07
  8.750E-01  5.83045E-05  4.38603E-15  1.56628E+02  2.99122E-05  1.0E-07
  9.000E-01  6.16838E-05  4.37297E-15  1.56162E+02  3.08038E-05  1.0E-07
  9.250E-01  6.51582E-05  4.35961E-15  1.55684E+02  3.16985E-05  1.0E-07
  9.500E-01  6.87277E-05  4.34594E-15  1.55196E+02  3.25964E-05  1.0E-07
  9.750E-01  7.23925E-05  4.33198E-15  1.54698E+02  3.34975E-05  1.0E-07
  1.000E+00  7.61524E-05  4.31772E-15  1.54189E+02  3.44019E-05  1.0E-07
  1.100E+00  9.21439E-05  4.25787E-15  1.52051E+02  3.80543E-05  1.0E-07
  1.200E+00  1.09658E-04  4.19374E-15  1.49761E+02  4.17661E-05  1.0E-07
  1.300E+00  1.28695E-04  4.12568E-15  1.47331E+02  4.55420E-05  1.0E-07
  1.400E+00  1.49255E-04  4.05404E-15  1.44772E+02  4.93867E-05  1.0E-07
  1.500E+00  1.71338E-04  3.97917E-15  1.42099E+02  5.33046E-05  1.0E-07
  1.600E+00  1.94942E-04  3.90142E-15  1.39322E+02  5.73001E-05  1.0E-07
  1.700E+00  2.20070E-04  3.82117E-15  1.36456E+02  6.13771E-05  1.0E-07
  1.800E+00  2.46720E-04  3.73875E-15  1.33513E+02  6.55396E-05  1.0E-07
  1.900E+00  2.74892E-04  3.65451E-15  1.30505E+02  6.97911E-05  1.0E-07
  2.000E+00  3.04586E-04  3.56880E-15  1.27444E+02  7.41351E-05  1.0E-07
  2.100E+00  3.35803E-04  3.48194E-15  1.24342E+02  7.85747E-05  1.0E-07
  2.200E+00  3.68542E-04  3.39424E-15  1.21210E+02  8.31126E-05  1.0E-07
