 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 5.00000E+02 eV = 1.83747E+01 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Riley-Truhlar exchange potential
 #
 # Total elastic cross section = 3.70369E-16 cm**2 = 1.32261E+01 a0**2
 # 1st transport cross section = 9.94958E-17 cm**2 = 3.55306E+00 a0**2
 # 2nd transport cross section = 1.25479E-16 cm**2 = 4.48094E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.59345E-15  9.26137E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.59345E-15  9.26137E+01  6.82700E-09  1.0E-07
  1.250E-04  1.18994E-12  2.59345E-15  9.26137E+01  8.53375E-09  1.0E-07
  1.500E-04  1.71346E-12  2.59345E-15  9.26137E+01  1.02405E-08  1.0E-07
  1.750E-04  2.33225E-12  2.59345E-15  9.26137E+01  1.19472E-08  1.0E-07
  2.000E-04  3.04617E-12  2.59345E-15  9.26137E+01  1.36540E-08  1.0E-07
  2.250E-04  3.85530E-12  2.59345E-15  9.26137E+01  1.53607E-08  1.0E-07
  2.500E-04  4.75964E-12  2.59345E-15  9.26137E+01  1.70675E-08  1.0E-07
  2.750E-04  5.75917E-12  2.59345E-15  9.26137E+01  1.87742E-08  1.0E-07
  3.000E-04  6.85391E-12  2.59345E-15  9.26137E+01  2.04810E-08  1.0E-07
  3.250E-04  8.04379E-12  2.59345E-15  9.26137E+01  2.21877E-08  1.0E-07
  3.500E-04  9.32893E-12  2.59345E-15  9.26137E+01  2.38945E-08  1.0E-07
  3.750E-04  1.07092E-11  2.59345E-15  9.26137E+01  2.56012E-08  1.0E-07
  4.000E-04  1.21847E-11  2.59345E-15  9.26137E+01  2.73080E-08  1.0E-07
  4.250E-04  1.37554E-11  2.59345E-15  9.26137E+01  2.90147E-08  1.0E-07
  4.500E-04  1.54213E-11  2.59345E-15  9.26137E+01  3.07215E-08  1.0E-07
  4.750E-04  1.71823E-11  2.59345E-15  9.26137E+01  3.24282E-08  1.0E-07
  5.000E-04  1.90386E-11  2.59345E-15  9.26137E+01  3.41350E-08  1.0E-07
  5.250E-04  2.09900E-11  2.59345E-15  9.26137E+01  3.58417E-08  1.0E-07
  5.500E-04  2.30367E-11  2.59345E-15  9.26137E+01  3.75485E-08  1.0E-07
  5.750E-04  2.51785E-11  2.59345E-15  9.26137E+01  3.92552E-08  1.0E-07
  6.000E-04  2.74156E-11  2.59345E-15  9.26137E+01  4.09620E-08  1.0E-07
  6.250E-04  2.97478E-11  2.59345E-15  9.26137E+01  4.26687E-08  1.0E-07
