 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+01 eV = 3.30744E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Riley-Truhlar exchange potential
 #
 # Total elastic cross section = 9.39628E-16 cm**2 = 3.35547E+01 a0**2
 # 1st transport cross section = 2.56486E-16 cm**2 = 9.15930E+00 a0**2
 # 2nd transport cross section = 4.20127E-16 cm**2 = 1.50030E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.63466E-15  5.83749E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.63466E-15  5.83749E+01  2.24183E-08  1.0E-07
  1.250E-04  1.18994E-12  1.63466E-15  5.83749E+01  2.80229E-08  1.0E-07
  1.500E-04  1.71346E-12  1.63466E-15  5.83749E+01  3.36274E-08  1.0E-07
  1.750E-04  2.33225E-12  1.63466E-15  5.83749E+01  3.92320E-08  1.0E-07
  2.000E-04  3.04617E-12  1.63466E-15  5.83749E+01  4.48366E-08  1.0E-07
  2.250E-04  3.85530E-12  1.63466E-15  5.83749E+01  5.04411E-08  1.0E-07
  2.500E-04  4.75964E-12  1.63466E-15  5.83749E+01  5.60457E-08  1.0E-07
  2.750E-04  5.75917E-12  1.63466E-15  5.83749E+01  6.16503E-08  1.0E-07
  3.000E-04  6.85391E-12  1.63466E-15  5.83749E+01  6.72548E-08  1.0E-07
  3.250E-04  8.04379E-12  1.63466E-15  5.83749E+01  7.28594E-08  1.0E-07
  3.500E-04  9.32893E-12  1.63466E-15  5.83749E+01  7.84640E-08  1.0E-07
  3.750E-04  1.07092E-11  1.63466E-15  5.83749E+01  8.40686E-08  1.0E-07
  4.000E-04  1.21847E-11  1.63466E-15  5.83749E+01  8.96731E-08  1.0E-07
  4.250E-04  1.37554E-11  1.63466E-15  5.83749E+01  9.52777E-08  1.0E-07
  4.500E-04  1.54213E-11  1.63466E-15  5.83749E+01  1.00882E-07  1.0E-07
  4.750E-04  1.71823E-11  1.63466E-15  5.83749E+01  1.06487E-07  1.0E-07
  5.000E-04  1.90386E-11  1.63466E-15  5.83749E+01  1.12091E-07  1.0E-07
  5.250E-04  2.09900E-11  1.63466E-15  5.83749E+01  1.17696E-07  1.0E-07
  5.500E-04  2.30367E-11  1.63466E-15  5.83749E+01  1.23301E-07  1.0E-07
  5.750E-04  2.51785E-11  1.63466E-15  5.83749E+01  1.28905E-07  1.0E-07
  6.000E-04  2.74156E-11  1.63466E-15  5.83749E+01  1.34510E-07  1.0E-07
  6.250E-04  2.97478E-11  1.63466E-15  5.83749E+01  1.40114E-07  1.0E-07
  6.500E-04  3.21752E-11  1.63466E-15  5.83749E+01  1.45719E-07  1.0E-07
  6.750E-04  3.46979E-11  1.63466E-15  5.83749E+01  1.51323E-07  1.0E-07
  7.000E-04  3.73157E-11  1.63466E-15  5.83749E+01  1.56928E-07  1.0E-07
  7.250E-04  4.00286E-11  1.63466E-15  5.83749E+01  1.62533E-07  1.0E-07
  7.500E-04  4.28368E-11  1.63466E-15  5.83749E+01  1.68137E-07  1.0E-07
  7.750E-04  4.57402E-11  1.63466E-15  5.83749E+01  1.73742E-07  1.0E-07
  8.000E-04  4.87388E-11  1.63466E-15  5.83749E+01  1.79346E-07  1.0E-07
  8.250E-04  5.18325E-11  1.63466E-15  5.83749E+01  1.84951E-07  1.0E-07
  8.500E-04  5.50215E-11  1.63466E-15  5.83749E+01  1.90555E-07  1.0E-07
  8.750E-04  5.83057E-11  1.63466E-15  5.83749E+01  1.96160E-07  1.0E-07
  9.000E-04  6.16850E-11  1.63466E-15  5.83749E+01  2.01765E-07  1.0E-07
  9.250E-04  6.51595E-11  1.63466E-15  5.83749E+01  2.07369E-07  1.0E-07
  9.500E-04  6.87293E-11  1.63466E-15  5.83749E+01  2.12974E-07  1.0E-07
  9.750E-04  7.23943E-11  1.63466E-15  5.83749E+01  2.18578E-07  1.0E-07
  1.000E-03  7.61544E-11  1.63466E-15  5.83749E+01  2.24183E-07  1.0E-07
  1.250E-03  1.18991E-10  1.63466E-15  5.83749E+01  2.80229E-07  1.0E-07
  1.500E-03  1.71347E-10  1.63466E-15  5.83749E+01  3.36274E-07  1.0E-07
  1.750E-03  2.33223E-10  1.63466E-15  5.83749E+01  3.92320E-07  1.0E-07
  2.000E-03  3.04617E-10  1.63466E-15  5.83749E+01  4.48366E-07  1.0E-07
  2.250E-03  3.85531E-10  1.63466E-15  5.83749E+01  5.04411E-07  1.0E-07
  2.500E-03  4.75965E-10  1.63466E-15  5.83749E+01  5.60457E-07  1.0E-07
  2.750E-03  5.75917E-10  1.63466E-15  5.83749E+01  6.16503E-07  1.0E-07
  3.000E-03  6.85389E-10  1.63466E-15  5.83749E+01  6.72549E-07  1.0E-07
  3.250E-03  8.04380E-10  1.63466E-15  5.83749E+01  7.28594E-07  1.0E-07
  3.500E-03  9.32891E-10  1.63466E-15  5.83749E+01  7.84640E-07  1.0E-07
  3.750E-03  1.07092E-09  1.63466E-15  5.83749E+01  8.40686E-07  1.0E-07
  4.000E-03  1.21847E-09  1.63466E-15  5.83749E+01  8.96731E-07  1.0E-07
  4.250E-03  1.37554E-09  1.63466E-15  5.83749E+01  9.52777E-07  1.0E-07
  4.500E-03  1.54213E-09  1.63466E-15  5.83749E+01  1.00882E-06  1.0E-07
  4.750E-03  1.71823E-09  1.63466E-15  5.83749E+01  1.06487E-06  1.0E-07
  5.000E-03  1.90386E-09  1.63466E-15  5.83749E+01  1.12091E-06  1.0E-07
  5.250E-03  2.09900E-09  1.63466E-15  5.83749E+01  1.17696E-06  1.0E-07
  5.500E-03  2.30367E-09  1.63466E-15  5.83749E+01  1.23301E-06  1.0E-07
  5.750E-03  2.51785E-09  1.63466E-15  5.83749E+01  1.28905E-06  1.0E-07
  6.000E-03  2.74156E-09  1.63466E-15  5.83749E+01  1.34510E-06  1.0E-07
  6.250E-03  2.97478E-09  1.63466E-15  5.83749E+01  1.40114E-06  1.0E-07
  6.500E-03  3.21752E-09  1.63466E-15  5.83749E+01  1.45719E-06  1.0E-07
  6.750E-03  3.46978E-09  1.63466E-15  5.83749E+01  1.51323E-06  1.0E-07
  7.000E-03  3.73156E-09  1.63466E-15  5.83749E+01  1.56928E-06  1.0E-07
  7.250E-03  4.00286E-09  1.63466E-15  5.83749E+01  1.62533E-06  1.0E-07
  7.500E-03  4.28368E-09  1.63466E-15  5.83749E+01  1.68137E-06  1.0E-07
  7.750E-03  4.57402E-09  1.63466E-15  5.83749E+01  1.73742E-06  1.0E-07
  8.000E-03  4.87388E-09  1.63466E-15  5.83749E+01  1.79346E-06  1.0E-07
  8.250E-03  5.18326E-09  1.63466E-15  5.83749E+01  1.84951E-06  1.0E-07
  8.500E-03  5.50215E-09  1.63466E-15  5.83749E+01  1.90555E-06  1.0E-07
  8.750E-03  5.83057E-09  1.63466E-15  5.83749E+01  1.96160E-06  1.0E-07
  9.000E-03  6.16850E-09  1.63466E-15  5.83749E+01  2.01765E-06  1.0E-07
  9.250E-03  6.51596E-09  1.63466E-15  5.83749E+01  2.07369E-06  1.0E-07
  9.500E-03  6.87293E-09  1.63466E-15  5.83749E+01  2.12974E-06  1.0E-07
  9.750E-03  7.23942E-09  1.63466E-15  5.83749E+01  2.18578E-06  1.0E-07
  1.000E-02  7.61544E-09  1.63466E-15  5.83749E+01  2.24183E-06  1.0E-07
  1.250E-02  1.18991E-08  1.63466E-15  5.83749E+01  2.80229E-06  1.0E-07
  1.500E-02  1.71347E-08  1.63466E-15  5.83749E+01  3.36275E-06  1.0E-07
  1.750E-02  2.33223E-08  1.63466E-15  5.83749E+01  3.92321E-06  1.0E-07
  2.000E-02  3.04617E-08  1.63466E-15  5.83749E+01  4.48367E-06  1.0E-07
  2.250E-02  3.85531E-08  1.63466E-15  5.83749E+01  5.04413E-06  1.0E-07
  2.500E-02  4.75965E-08  1.63466E-15  5.83748E+01  5.60459E-06  1.0E-07
  2.750E-02  5.75917E-08  1.63466E-15  5.83748E+01  6.16506E-06  1.0E-07
  3.000E-02  6.85389E-08  1.63466E-15  5.83748E+01  6.72552E-06  1.0E-07
  3.250E-02  8.04380E-08  1.63466E-15  5.83748E+01  7.28599E-06  1.0E-07
  3.500E-02  9.32891E-08  1.63466E-15  5.83747E+01  7.84646E-06  1.0E-07
  3.750E-02  1.07092E-07  1.63466E-15  5.83747E+01  8.40693E-06  1.0E-07
  4.000E-02  1.21847E-07  1.63466E-15  5.83747E+01  8.96740E-06  1.0E-07
  4.250E-02  1.37554E-07  1.63466E-15  5.83746E+01  9.52787E-06  1.0E-07
  4.500E-02  1.54213E-07  1.63466E-15  5.83746E+01  1.00884E-05  1.0E-07
  4.750E-02  1.71823E-07  1.63465E-15  5.83746E+01  1.06488E-05  1.0E-07
  5.000E-02  1.90386E-07  1.63465E-15  5.83745E+01  1.12093E-05  1.0E-07
  5.250E-02  2.09900E-07  1.63465E-15  5.83745E+01  1.17698E-05  1.0E-07
  5.500E-02  2.30367E-07  1.63465E-15  5.83744E+01  1.23303E-05  1.0E-07
  5.750E-02  2.51785E-07  1.63465E-15  5.83744E+01  1.28908E-05  1.0E-07
  6.000E-02  2.74156E-07  1.63465E-15  5.83743E+01  1.34513E-05  1.0E-07
  6.250E-02  2.97478E-07  1.63465E-15  5.83743E+01  1.40118E-05  1.0E-07
  6.500E-02  3.21752E-07  1.63464E-15  5.83742E+01  1.45723E-05  1.0E-07
  6.750E-02  3.46978E-07  1.63464E-15  5.83742E+01  1.51328E-05  1.0E-07
  7.000E-02  3.73156E-07  1.63464E-15  5.83741E+01  1.56933E-05  1.0E-07
  7.250E-02  4.00286E-07  1.63464E-15  5.83740E+01  1.62538E-05  1.0E-07
  7.500E-02  4.28368E-07  1.63464E-15  5.83740E+01  1.68143E-05  1.0E-07
  7.750E-02  4.57402E-07  1.63464E-15  5.83739E+01  1.73748E-05  1.0E-07
  8.000E-02  4.87388E-07  1.63463E-15  5.83739E+01  1.79353E-05  1.0E-07
  8.250E-02  5.18325E-07  1.63463E-15  5.83738E+01  1.84958E-05  1.0E-07
  8.500E-02  5.50215E-07  1.63463E-15  5.83737E+01  1.90564E-05  1.0E-07
  8.750E-02  5.83057E-07  1.63463E-15  5.83736E+01  1.96169E-05  1.0E-07
  9.000E-02  6.16850E-07  1.63463E-15  5.83736E+01  2.01774E-05  1.0E-07
  9.250E-02  6.51596E-07  1.63462E-15  5.83735E+01  2.07380E-05  1.0E-07
  9.500E-02  6.87293E-07  1.63462E-15  5.83734E+01  2.12985E-05  1.0E-07
  9.750E-02  7.23942E-07  1.63462E-15  5.83733E+01  2.18591E-05  1.0E-07
  1.000E-01  7.61543E-07  1.63462E-15  5.83732E+01  2.24196E-05  1.0E-07
  1.250E-01  1.18991E-06  1.63459E-15  5.83723E+01  2.80255E-05  1.0E-07
  1.500E-01  1.71347E-06  1.63456E-15  5.83711E+01  3.36320E-05  1.0E-07
  1.750E-01  2.33223E-06  1.63452E-15  5.83697E+01  3.92393E-05  1.0E-07
  2.000E-01  3.04617E-06  1.63447E-15  5.83681E+01  4.48475E-05  1.0E-07
  2.250E-01  3.85531E-06  1.63442E-15  5.83663E+01  5.04567E-05  1.0E-07
  2.500E-01  4.75964E-06  1.63437E-15  5.83643E+01  5.60670E-05  1.0E-07
  2.750E-01  5.75916E-06  1.63430E-15  5.83620E+01  6.16787E-05  1.0E-07
  3.000E-01  6.85388E-06  1.63424E-15  5.83596E+01  6.72917E-05  1.0E-07
  3.250E-01  8.04378E-06  1.63416E-15  5.83569E+01  7.29063E-05  1.0E-07
  3.500E-01  9.32888E-06  1.63408E-15  5.83541E+01  7.85225E-05  1.0E-07
  3.750E-01  1.07092E-05  1.63399E-15  5.83510E+01  8.41405E-05  1.0E-07
  4.000E-01  1.21846E-05  1.63390E-15  5.83477E+01  8.97605E-05  1.0E-07
  4.250E-01  1.37553E-05  1.63380E-15  5.83441E+01  9.53825E-05  1.0E-07
  4.500E-01  1.54212E-05  1.63370E-15  5.83404E+01  1.01007E-04  1.0E-07
  4.750E-01  1.71822E-05  1.63359E-15  5.83365E+01  1.06633E-04  1.0E-07
  5.000E-01  1.90385E-05  1.63347E-15  5.83323E+01  1.12262E-04  1.0E-07
  5.250E-01  2.09899E-05  1.63335E-15  5.83279E+01  1.17893E-04  1.0E-07
  5.500E-01  2.30365E-05  1.63322E-15  5.83234E+01  1.23528E-04  1.0E-07
  5.750E-01  2.51783E-05  1.63309E-15  5.83186E+01  1.29165E-04  1.0E-07
