 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.50000E+02 eV = 5.51240E+00 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Riley-Truhlar exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 2.50000E+00
 #
 # Total elastic cross section = 1.01679E-15 cm**2 = 3.63103E+01 a0**2
 # 1st transport cross section = 1.49548E-16 cm**2 = 5.34046E+00 a0**2
 # 2nd transport cross section = 2.89319E-16 cm**2 = 1.03318E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.79381E-15  2.42611E+02  0.00000E+00  6.8E-07
  1.000E-04  7.61557E-13  6.79381E-15  2.42611E+02  2.94435E-10  6.8E-07
  1.250E-04  1.18994E-12  6.79381E-15  2.42611E+02  3.68044E-10  6.8E-07
  1.500E-04  1.71346E-12  6.79381E-15  2.42611E+02  4.41653E-10  6.8E-07
  1.750E-04  2.33225E-12  6.79381E-15  2.42611E+02  5.15262E-10  6.8E-07
  2.000E-04  3.04617E-12  6.79381E-15  2.42611E+02  5.88871E-10  6.8E-07
  2.250E-04  3.85530E-12  6.79381E-15  2.42611E+02  6.62479E-10  6.8E-07
  2.500E-04  4.75964E-12  6.79381E-15  2.42611E+02  7.36088E-10  6.8E-07
  2.750E-04  5.75917E-12  6.79381E-15  2.42611E+02  8.09697E-10  6.8E-07
  3.000E-04  6.85391E-12  6.79381E-15  2.42611E+02  8.83306E-10  6.8E-07
  3.250E-04  8.04379E-12  6.79381E-15  2.42611E+02  9.56915E-10  6.8E-07
  3.500E-04  9.32893E-12  6.79381E-15  2.42611E+02  1.03052E-09  6.8E-07
  3.750E-04  1.07092E-11  6.79381E-15  2.42611E+02  1.10413E-09  6.8E-07
  4.000E-04  1.21847E-11  6.79381E-15  2.42611E+02  1.17774E-09  6.8E-07
  4.250E-04  1.37554E-11  6.79381E-15  2.42611E+02  1.25135E-09  6.8E-07
  4.500E-04  1.54213E-11  6.79381E-15  2.42611E+02  1.32496E-09  6.8E-07
  4.750E-04  1.71823E-11  6.79381E-15  2.42611E+02  1.39857E-09  6.8E-07
  5.000E-04  1.90386E-11  6.79381E-15  2.42611E+02  1.47218E-09  6.8E-07
  5.250E-04  2.09900E-11  6.79381E-15  2.42611E+02  1.54579E-09  6.8E-07
  5.500E-04  2.30367E-11  6.79381E-15  2.42611E+02  1.61940E-09  6.8E-07
  5.750E-04  2.51785E-11  6.79381E-15  2.42611E+02  1.69301E-09  6.8E-07
  6.000E-04  2.74156E-11  6.79381E-15  2.42611E+02  1.76661E-09  6.8E-07
  6.250E-04  2.97478E-11  6.79381E-15  2.42611E+02  1.84022E-09  6.8E-07
  6.500E-04  3.21752E-11  6.79381E-15  2.42611E+02  1.91383E-09  6.8E-07
  6.750E-04  3.46979E-11  6.79381E-15  2.42611E+02  1.98744E-09  6.8E-07
  7.000E-04  3.73157E-11  6.79381E-15  2.42611E+02  2.06105E-09  6.8E-07
  7.250E-04  4.00286E-11  6.79381E-15  2.42611E+02  2.13466E-09  6.8E-07
  7.500E-04  4.28368E-11  6.79381E-15  2.42611E+02  2.20827E-09  6.8E-07
  7.750E-04  4.57402E-11  6.79381E-15  2.42611E+02  2.28188E-09  6.8E-07
  8.000E-04  4.87388E-11  6.79381E-15  2.42611E+02  2.35549E-09  6.8E-07
