 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.50000E+03 eV = 9.18733E+01 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Riley-Truhlar exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 1.23744E+01
 #
 # Total elastic cross section = 1.74343E-16 cm**2 = 6.22590E+00 a0**2
 # 1st transport cross section = 2.83168E-17 cm**2 = 1.01121E+00 a0**2
 # 2nd transport cross section = 2.79292E-17 cm**2 = 9.97371E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.82710E-15  2.79511E+02  0.00000E+00  3.4E-05
  1.000E-04  7.61557E-13  7.82710E-15  2.79511E+02  2.97910E-09  3.4E-05
  1.250E-04  1.18994E-12  7.82710E-15  2.79511E+02  3.72387E-09  3.4E-05
  1.500E-04  1.71346E-12  7.82710E-15  2.79511E+02  4.46865E-09  3.4E-05
  1.750E-04  2.33225E-12  7.82710E-15  2.79511E+02  5.21342E-09  3.4E-05
  2.000E-04  3.04617E-12  7.82710E-15  2.79511E+02  5.95820E-09  3.4E-05
  2.250E-04  3.85530E-12  7.82710E-15  2.79511E+02  6.70297E-09  3.4E-05
  2.500E-04  4.75964E-12  7.82710E-15  2.79511E+02  7.44775E-09  3.4E-05
  2.750E-04  5.75917E-12  7.82710E-15  2.79511E+02  8.19252E-09  3.4E-05
  3.000E-04  6.85391E-12  7.82710E-15  2.79511E+02  8.93730E-09  3.4E-05
  3.250E-04  8.04379E-12  7.82710E-15  2.79511E+02  9.68207E-09  3.4E-05
  3.500E-04  9.32893E-12  7.82710E-15  2.79511E+02  1.04268E-08  3.4E-05
