 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.50000E+01 eV = 1.28623E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Riley-Truhlar exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 1.00000E+00
 #
 # Total elastic cross section = 1.24882E-15 cm**2 = 4.45961E+01 a0**2
 # 1st transport cross section = 8.18435E-16 cm**2 = 2.92268E+01 a0**2
 # 2nd transport cross section = 5.27692E-16 cm**2 = 1.88442E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.22608E-15  1.86627E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  5.22608E-15  1.86627E+02  5.55820E-08  1.0E-07
  1.250E-04  1.18994E-12  5.22608E-15  1.86627E+02  6.94775E-08  1.0E-07
  1.500E-04  1.71346E-12  5.22608E-15  1.86627E+02  8.33730E-08  1.0E-07
  1.750E-04  2.33225E-12  5.22608E-15  1.86627E+02  9.72685E-08  1.0E-07
  2.000E-04  3.04617E-12  5.22608E-15  1.86627E+02  1.11164E-07  1.0E-07
  2.250E-04  3.85530E-12  5.22608E-15  1.86627E+02  1.25059E-07  1.0E-07
  2.500E-04  4.75964E-12  5.22608E-15  1.86627E+02  1.38955E-07  1.0E-07
  2.750E-04  5.75917E-12  5.22608E-15  1.86627E+02  1.52850E-07  1.0E-07
  3.000E-04  6.85391E-12  5.22608E-15  1.86627E+02  1.66746E-07  1.0E-07
  3.250E-04  8.04379E-12  5.22608E-15  1.86627E+02  1.80641E-07  1.0E-07
  3.500E-04  9.32893E-12  5.22608E-15  1.86627E+02  1.94537E-07  1.0E-07
  3.750E-04  1.07092E-11  5.22608E-15  1.86627E+02  2.08432E-07  1.0E-07
  4.000E-04  1.21847E-11  5.22608E-15  1.86627E+02  2.22328E-07  1.0E-07
  4.250E-04  1.37554E-11  5.22608E-15  1.86627E+02  2.36223E-07  1.0E-07
  4.500E-04  1.54213E-11  5.22608E-15  1.86627E+02  2.50119E-07  1.0E-07
  4.750E-04  1.71823E-11  5.22608E-15  1.86627E+02  2.64014E-07  1.0E-07
  5.000E-04  1.90386E-11  5.22608E-15  1.86627E+02  2.77910E-07  1.0E-07
  5.250E-04  2.09900E-11  5.22608E-15  1.86627E+02  2.91805E-07  1.0E-07
  5.500E-04  2.30367E-11  5.22608E-15  1.86627E+02  3.05701E-07  1.0E-07
  5.750E-04  2.51785E-11  5.22608E-15  1.86627E+02  3.19596E-07  1.0E-07
  6.000E-04  2.74156E-11  5.22608E-15  1.86627E+02  3.33492E-07  1.0E-07
  6.250E-04  2.97478E-11  5.22608E-15  1.86627E+02  3.47387E-07  1.0E-07
  6.500E-04  3.21752E-11  5.22608E-15  1.86627E+02  3.61283E-07  1.0E-07
  6.750E-04  3.46979E-11  5.22608E-15  1.86627E+02  3.75178E-07  1.0E-07
  7.000E-04  3.73157E-11  5.22608E-15  1.86627E+02  3.89074E-07  1.0E-07
  7.250E-04  4.00286E-11  5.22608E-15  1.86627E+02  4.02969E-07  1.0E-07
  7.500E-04  4.28368E-11  5.22608E-15  1.86627E+02  4.16865E-07  1.0E-07
  7.750E-04  4.57402E-11  5.22608E-15  1.86627E+02  4.30760E-07  1.0E-07
  8.000E-04  4.87388E-11  5.22608E-15  1.86627E+02  4.44656E-07  1.0E-07
  8.250E-04  5.18325E-11  5.22608E-15  1.86627E+02  4.58551E-07  1.0E-07
  8.500E-04  5.50215E-11  5.22608E-15  1.86627E+02  4.72447E-07  1.0E-07
  8.750E-04  5.83057E-11  5.22608E-15  1.86627E+02  4.86342E-07  1.0E-07
  9.000E-04  6.16850E-11  5.22608E-15  1.86627E+02  5.00238E-07  1.0E-07
  9.250E-04  6.51595E-11  5.22608E-15  1.86627E+02  5.14133E-07  1.0E-07
  9.500E-04  6.87293E-11  5.22608E-15  1.86627E+02  5.28029E-07  1.0E-07
  9.750E-04  7.23943E-11  5.22608E-15  1.86627E+02  5.41924E-07  1.0E-07
  1.000E-03  7.61544E-11  5.22608E-15  1.86627E+02  5.55820E-07  1.0E-07
  1.250E-03  1.18991E-10  5.22608E-15  1.86627E+02  6.94775E-07  1.0E-07
  1.500E-03  1.71347E-10  5.22608E-15  1.86627E+02  8.33730E-07  1.0E-07
  1.750E-03  2.33223E-10  5.22608E-15  1.86627E+02  9.72685E-07  1.0E-07
  2.000E-03  3.04617E-10  5.22608E-15  1.86627E+02  1.11164E-06  1.0E-07
  2.250E-03  3.85531E-10  5.22608E-15  1.86627E+02  1.25059E-06  1.0E-07
  2.500E-03  4.75965E-10  5.22608E-15  1.86627E+02  1.38955E-06  1.0E-07
  2.750E-03  5.75917E-10  5.22608E-15  1.86627E+02  1.52850E-06  1.0E-07
  3.000E-03  6.85389E-10  5.22608E-15  1.86627E+02  1.66746E-06  1.0E-07
  3.250E-03  8.04380E-10  5.22608E-15  1.86627E+02  1.80641E-06  1.0E-07
  3.500E-03  9.32891E-10  5.22608E-15  1.86627E+02  1.94537E-06  1.0E-07
  3.750E-03  1.07092E-09  5.22608E-15  1.86627E+02  2.08432E-06  1.0E-07
  4.000E-03  1.21847E-09  5.22607E-15  1.86627E+02  2.22328E-06  1.0E-07
  4.250E-03  1.37554E-09  5.22607E-15  1.86627E+02  2.36223E-06  1.0E-07
  4.500E-03  1.54213E-09  5.22607E-15  1.86626E+02  2.50119E-06  1.0E-07
  4.750E-03  1.71823E-09  5.22607E-15  1.86626E+02  2.64014E-06  1.0E-07
  5.000E-03  1.90386E-09  5.22607E-15  1.86626E+02  2.77910E-06  1.0E-07
  5.250E-03  2.09900E-09  5.22607E-15  1.86626E+02  2.91805E-06  1.0E-07
  5.500E-03  2.30367E-09  5.22607E-15  1.86626E+02  3.05701E-06  1.0E-07
  5.750E-03  2.51785E-09  5.22607E-15  1.86626E+02  3.19596E-06  1.0E-07
  6.000E-03  2.74156E-09  5.22607E-15  1.86626E+02  3.33492E-06  1.0E-07
  6.250E-03  2.97478E-09  5.22607E-15  1.86626E+02  3.47388E-06  1.0E-07
  6.500E-03  3.21752E-09  5.22607E-15  1.86626E+02  3.61283E-06  1.0E-07
  6.750E-03  3.46978E-09  5.22607E-15  1.86626E+02  3.75179E-06  1.0E-07
  7.000E-03  3.73156E-09  5.22607E-15  1.86626E+02  3.89074E-06  1.0E-07
  7.250E-03  4.00286E-09  5.22607E-15  1.86626E+02  4.02970E-06  1.0E-07
  7.500E-03  4.28368E-09  5.22607E-15  1.86626E+02  4.16865E-06  1.0E-07
  7.750E-03  4.57402E-09  5.22607E-15  1.86626E+02  4.30761E-06  1.0E-07
  8.000E-03  4.87388E-09  5.22607E-15  1.86626E+02  4.44656E-06  1.0E-07
  8.250E-03  5.18326E-09  5.22606E-15  1.86626E+02  4.58552E-06  1.0E-07
  8.500E-03  5.50215E-09  5.22606E-15  1.86626E+02  4.72447E-06  1.0E-07
  8.750E-03  5.83057E-09  5.22606E-15  1.86626E+02  4.86343E-06  1.0E-07
  9.000E-03  6.16850E-09  5.22606E-15  1.86626E+02  5.00238E-06  1.0E-07
  9.250E-03  6.51596E-09  5.22606E-15  1.86626E+02  5.14134E-06  1.0E-07
  9.500E-03  6.87293E-09  5.22606E-15  1.86626E+02  5.28029E-06  1.0E-07
  9.750E-03  7.23942E-09  5.22606E-15  1.86626E+02  5.41925E-06  1.0E-07
  1.000E-02  7.61544E-09  5.22606E-15  1.86626E+02  5.55821E-06  1.0E-07
  1.250E-02  1.18991E-08  5.22605E-15  1.86626E+02  6.94776E-06  1.0E-07
  1.500E-02  1.71347E-08  5.22603E-15  1.86625E+02  8.33732E-06  1.0E-07
  1.750E-02  2.33223E-08  5.22602E-15  1.86624E+02  9.72689E-06  1.0E-07
  2.000E-02  3.04617E-08  5.22600E-15  1.86624E+02  1.11165E-05  1.0E-07
  2.250E-02  3.85531E-08  5.22598E-15  1.86623E+02  1.25060E-05  1.0E-07
  2.500E-02  4.75965E-08  5.22595E-15  1.86622E+02  1.38956E-05  1.0E-07
  2.750E-02  5.75917E-08  5.22592E-15  1.86621E+02  1.52852E-05  1.0E-07
  3.000E-02  6.85389E-08  5.22590E-15  1.86620E+02  1.66748E-05  1.0E-07
  3.250E-02  8.04380E-08  5.22586E-15  1.86619E+02  1.80644E-05  1.0E-07
  3.500E-02  9.32891E-08  5.22583E-15  1.86618E+02  1.94540E-05  1.0E-07
  3.750E-02  1.07092E-07  5.22579E-15  1.86616E+02  2.08437E-05  1.0E-07
  4.000E-02  1.21847E-07  5.22575E-15  1.86615E+02  2.22333E-05  1.0E-07
  4.250E-02  1.37554E-07  5.22571E-15  1.86614E+02  2.36229E-05  1.0E-07
  4.500E-02  1.54213E-07  5.22567E-15  1.86612E+02  2.50126E-05  1.0E-07
  4.750E-02  1.71823E-07  5.22562E-15  1.86610E+02  2.64023E-05  1.0E-07
  5.000E-02  1.90386E-07  5.22557E-15  1.86608E+02  2.77920E-05  1.0E-07
  5.250E-02  2.09900E-07  5.22552E-15  1.86607E+02  2.91817E-05  1.0E-07
  5.500E-02  2.30367E-07  5.22546E-15  1.86605E+02  3.05714E-05  1.0E-07
  5.750E-02  2.51785E-07  5.22541E-15  1.86603E+02  3.19611E-05  1.0E-07
  6.000E-02  2.74156E-07  5.22535E-15  1.86600E+02  3.33509E-05  1.0E-07
  6.250E-02  2.97478E-07  5.22528E-15  1.86598E+02  3.47406E-05  1.0E-07
  6.500E-02  3.21752E-07  5.22522E-15  1.86596E+02  3.61304E-05  1.0E-07
  6.750E-02  3.46978E-07  5.22515E-15  1.86594E+02  3.75202E-05  1.0E-07
  7.000E-02  3.73156E-07  5.22508E-15  1.86591E+02  3.89101E-05  1.0E-07
  7.250E-02  4.00286E-07  5.22501E-15  1.86588E+02  4.02999E-05  1.0E-07
  7.500E-02  4.28368E-07  5.22493E-15  1.86586E+02  4.16898E-05  1.0E-07
  7.750E-02  4.57402E-07  5.22486E-15  1.86583E+02  4.30797E-05  1.0E-07
  8.000E-02  4.87388E-07  5.22478E-15  1.86580E+02  4.44696E-05  1.0E-07
  8.250E-02  5.18325E-07  5.22469E-15  1.86577E+02  4.58595E-05  1.0E-07
  8.500E-02  5.50215E-07  5.22461E-15  1.86574E+02  4.72495E-05  1.0E-07
  8.750E-02  5.83057E-07  5.22452E-15  1.86571E+02  4.86395E-05  1.0E-07
  9.000E-02  6.16850E-07  5.22443E-15  1.86568E+02  5.00295E-05  1.0E-07
  9.250E-02  6.51596E-07  5.22434E-15  1.86565E+02  5.14195E-05  1.0E-07
  9.500E-02  6.87293E-07  5.22424E-15  1.86561E+02  5.28096E-05  1.0E-07
  9.750E-02  7.23942E-07  5.22415E-15  1.86558E+02  5.41997E-05  1.0E-07
  1.000E-01  7.61543E-07  5.22405E-15  1.86554E+02  5.55898E-05  1.0E-07
  1.250E-01  1.18991E-06  5.22290E-15  1.86513E+02  6.94927E-05  1.0E-07
  1.500E-01  1.71347E-06  5.22151E-15  1.86463E+02  8.33993E-05  1.0E-07
  1.750E-01  2.33223E-06  5.21986E-15  1.86405E+02  9.73103E-05  1.0E-07
  2.000E-01  3.04617E-06  5.21796E-15  1.86337E+02  1.11226E-04  1.0E-07
  2.250E-01  3.85531E-06  5.21582E-15  1.86260E+02  1.25148E-04  1.0E-07
  2.500E-01  4.75964E-06  5.21342E-15  1.86175E+02  1.39077E-04  1.0E-07
  2.750E-01  5.75916E-06  5.21078E-15  1.86080E+02  1.53012E-04  1.0E-07
  3.000E-01  6.85388E-06  5.20789E-15  1.85977E+02  1.66956E-04  1.0E-07
  3.250E-01  8.04378E-06  5.20475E-15  1.85865E+02  1.80908E-04  1.0E-07
  3.500E-01  9.32888E-06  5.20138E-15  1.85745E+02  1.94870E-04  1.0E-07
  3.750E-01  1.07092E-05  5.19776E-15  1.85615E+02  2.08842E-04  1.0E-07
  4.000E-01  1.21846E-05  5.19390E-15  1.85478E+02  2.22824E-04  1.0E-07
  4.250E-01  1.37553E-05  5.18981E-15  1.85331E+02  2.36818E-04  1.0E-07
  4.500E-01  1.54212E-05  5.18548E-15  1.85177E+02  2.50824E-04  1.0E-07
  4.750E-01  1.71822E-05  5.18092E-15  1.85014E+02  2.64843E-04  1.0E-07
  5.000E-01  1.90385E-05  5.17613E-15  1.84843E+02  2.78875E-04  1.0E-07
  5.250E-01  2.09899E-05  5.17111E-15  1.84664E+02  2.92921E-04  1.0E-07
  5.500E-01  2.30365E-05  5.16587E-15  1.84477E+02  3.06982E-04  1.0E-07
  5.750E-01  2.51783E-05  5.16041E-15  1.84281E+02  3.21058E-04  1.0E-07
  6.000E-01  2.74153E-05  5.15472E-15  1.84078E+02  3.35150E-04  1.0E-07
  6.250E-01  2.97475E-05  5.14882E-15  1.83868E+02  3.49258E-04  1.0E-07
  6.500E-01  3.21749E-05  5.14271E-15  1.83649E+02  3.63384E-04  1.0E-07
  6.750E-01  3.46974E-05  5.13638E-15  1.83424E+02  3.77527E-04  1.0E-07
  7.000E-01  3.73152E-05  5.12985E-15  1.83190E+02  3.91688E-04  1.0E-07
  7.250E-01  4.00281E-05  5.12312E-15  1.82950E+02  4.05869E-04  1.0E-07
  7.500E-01  4.28362E-05  5.11618E-15  1.82702E+02  4.20068E-04  1.0E-07
  7.750E-01  4.57395E-05  5.10905E-15  1.82448E+02  4.34288E-04  1.0E-07
  8.000E-01  4.87380E-05  5.10173E-15  1.82186E+02  4.48528E-04  1.0E-07
  8.250E-01  5.18317E-05  5.09421E-15  1.81918E+02  4.62789E-04  1.0E-07
