 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.50000E+03 eV = 1.28623E+02 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Riley-Truhlar exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 1.46842E+01
 #
 # Total elastic cross section = 1.46847E-16 cm**2 = 5.24400E+00 a0**2
 # 1st transport cross section = 1.88875E-17 cm**2 = 6.74486E-01 a0**2
 # 2nd transport cross section = 2.10140E-17 cm**2 = 7.50424E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  8.18964E-15  2.92457E+02  0.00000E+00  2.3E-05
  1.000E-04  7.61557E-13  8.18964E-15  2.92457E+02  1.98793E-09  2.3E-05
  1.250E-04  1.18994E-12  8.18964E-15  2.92457E+02  2.48491E-09  2.3E-05
  1.500E-04  1.71346E-12  8.18964E-15  2.92457E+02  2.98190E-09  2.3E-05
  1.750E-04  2.33225E-12  8.18964E-15  2.92457E+02  3.47888E-09  2.3E-05
  2.000E-04  3.04617E-12  8.18964E-15  2.92457E+02  3.97586E-09  2.3E-05
  2.250E-04  3.85530E-12  8.18964E-15  2.92457E+02  4.47284E-09  2.3E-05
  2.500E-04  4.75964E-12  8.18964E-15  2.92457E+02  4.96983E-09  2.3E-05
  2.750E-04  5.75917E-12  8.18964E-15  2.92457E+02  5.46681E-09  2.3E-05
  3.000E-04  6.85391E-12  8.18964E-15  2.92457E+02  5.96379E-09  2.3E-05
  3.250E-04  8.04379E-12  8.18964E-15  2.92457E+02  6.46077E-09  2.3E-05
  3.500E-04  9.32893E-12  8.18964E-15  2.92457E+02  6.95776E-09  2.3E-05
  3.750E-04  1.07092E-11  8.18964E-15  2.92457E+02  7.45474E-09  2.3E-05
  4.000E-04  1.21847E-11  8.18964E-15  2.92457E+02  7.95172E-09  2.3E-05
  4.250E-04  1.37554E-11  8.18964E-15  2.92457E+02  8.44870E-09  2.3E-05
  4.500E-04  1.54213E-11  8.18964E-15  2.92457E+02  8.94569E-09  2.3E-05
  4.750E-04  1.71823E-11  8.18964E-15  2.92457E+02  9.44267E-09  2.3E-05
  5.000E-04  1.90386E-11  8.18964E-15  2.92457E+02  9.93965E-09  2.3E-05
  5.250E-04  2.09900E-11  8.18963E-15  2.92457E+02  1.04366E-08  2.3E-05
  5.500E-04  2.30367E-11  8.18963E-15  2.92457E+02  1.09336E-08  2.3E-05
  5.750E-04  2.51785E-11  8.18963E-15  2.92457E+02  1.14306E-08  2.3E-05
  6.000E-04  2.74156E-11  8.18963E-15  2.92457E+02  1.19276E-08  2.3E-05
  6.250E-04  2.97478E-11  8.18963E-15  2.92457E+02  1.24246E-08  2.3E-05
  6.500E-04  3.21752E-11  8.18963E-15  2.92457E+02  1.29215E-08  2.3E-05
