 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.90000E+01 eV = 6.98237E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Riley-Truhlar exchange potential
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 1.00000E+00
 #
 # Total elastic cross section = 8.24447E-16 cm**2 = 2.94415E+01 a0**2
 # 1st transport cross section = 4.60015E-16 cm**2 = 1.64274E+01 a0**2
 # 2nd transport cross section = 2.14300E-16 cm**2 = 7.65278E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.78294E-15  1.35091E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  3.78294E-15  1.35091E+02  5.32704E-08  1.0E-07
  1.250E-04  1.18994E-12  3.78294E-15  1.35091E+02  6.65880E-08  1.0E-07
  1.500E-04  1.71346E-12  3.78294E-15  1.35091E+02  7.99055E-08  1.0E-07
  1.750E-04  2.33225E-12  3.78294E-15  1.35091E+02  9.32231E-08  1.0E-07
  2.000E-04  3.04617E-12  3.78294E-15  1.35091E+02  1.06541E-07  1.0E-07
  2.250E-04  3.85530E-12  3.78294E-15  1.35091E+02  1.19858E-07  1.0E-07
  2.500E-04  4.75964E-12  3.78294E-15  1.35091E+02  1.33176E-07  1.0E-07
  2.750E-04  5.75917E-12  3.78294E-15  1.35091E+02  1.46494E-07  1.0E-07
  3.000E-04  6.85391E-12  3.78294E-15  1.35091E+02  1.59811E-07  1.0E-07
  3.250E-04  8.04379E-12  3.78294E-15  1.35091E+02  1.73129E-07  1.0E-07
  3.500E-04  9.32893E-12  3.78294E-15  1.35091E+02  1.86446E-07  1.0E-07
  3.750E-04  1.07092E-11  3.78294E-15  1.35091E+02  1.99764E-07  1.0E-07
  4.000E-04  1.21847E-11  3.78294E-15  1.35091E+02  2.13081E-07  1.0E-07
  4.250E-04  1.37554E-11  3.78294E-15  1.35091E+02  2.26399E-07  1.0E-07
  4.500E-04  1.54213E-11  3.78294E-15  1.35091E+02  2.39717E-07  1.0E-07
  4.750E-04  1.71823E-11  3.78294E-15  1.35091E+02  2.53034E-07  1.0E-07
  5.000E-04  1.90386E-11  3.78294E-15  1.35091E+02  2.66352E-07  1.0E-07
  5.250E-04  2.09900E-11  3.78294E-15  1.35091E+02  2.79669E-07  1.0E-07
  5.500E-04  2.30367E-11  3.78294E-15  1.35091E+02  2.92987E-07  1.0E-07
  5.750E-04  2.51785E-11  3.78294E-15  1.35091E+02  3.06305E-07  1.0E-07
  6.000E-04  2.74156E-11  3.78294E-15  1.35091E+02  3.19622E-07  1.0E-07
  6.250E-04  2.97478E-11  3.78294E-15  1.35091E+02  3.32940E-07  1.0E-07
  6.500E-04  3.21752E-11  3.78294E-15  1.35091E+02  3.46257E-07  1.0E-07
  6.750E-04  3.46979E-11  3.78294E-15  1.35091E+02  3.59575E-07  1.0E-07
  7.000E-04  3.73157E-11  3.78294E-15  1.35091E+02  3.72893E-07  1.0E-07
  7.250E-04  4.00286E-11  3.78294E-15  1.35091E+02  3.86210E-07  1.0E-07
  7.500E-04  4.28368E-11  3.78294E-15  1.35091E+02  3.99528E-07  1.0E-07
  7.750E-04  4.57402E-11  3.78294E-15  1.35091E+02  4.12845E-07  1.0E-07
  8.000E-04  4.87388E-11  3.78294E-15  1.35091E+02  4.26163E-07  1.0E-07
  8.250E-04  5.18325E-11  3.78294E-15  1.35091E+02  4.39481E-07  1.0E-07
  8.500E-04  5.50215E-11  3.78294E-15  1.35091E+02  4.52798E-07  1.0E-07
  8.750E-04  5.83057E-11  3.78294E-15  1.35091E+02  4.66116E-07  1.0E-07
  9.000E-04  6.16850E-11  3.78294E-15  1.35091E+02  4.79433E-07  1.0E-07
  9.250E-04  6.51595E-11  3.78294E-15  1.35091E+02  4.92751E-07  1.0E-07
  9.500E-04  6.87293E-11  3.78294E-15  1.35091E+02  5.06068E-07  1.0E-07
  9.750E-04  7.23943E-11  3.78294E-15  1.35091E+02  5.19386E-07  1.0E-07
  1.000E-03  7.61544E-11  3.78294E-15  1.35091E+02  5.32704E-07  1.0E-07
  1.250E-03  1.18991E-10  3.78294E-15  1.35091E+02  6.65880E-07  1.0E-07
  1.500E-03  1.71347E-10  3.78294E-15  1.35091E+02  7.99055E-07  1.0E-07
  1.750E-03  2.33223E-10  3.78294E-15  1.35091E+02  9.32231E-07  1.0E-07
  2.000E-03  3.04617E-10  3.78294E-15  1.35091E+02  1.06541E-06  1.0E-07
