 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.00000E+02 eV = 1.10248E+01 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Riley-Truhlar exchange potential
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 3.95285E+00
 #
 # Total elastic cross section = 5.86599E-16 cm**2 = 2.09478E+01 a0**2
 # 1st transport cross section = 1.02092E-16 cm**2 = 3.64577E+00 a0**2
 # 2nd transport cross section = 1.61627E-16 cm**2 = 5.77179E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.82709E-15  2.43800E+02  0.00000E+00  4.8E-07
  1.000E-04  7.61557E-13  6.82709E-15  2.43800E+02  2.47698E-08  4.8E-07
  1.250E-04  1.18994E-12  6.82709E-15  2.43800E+02  3.09623E-08  4.8E-07
  1.500E-04  1.71346E-12  6.82709E-15  2.43800E+02  3.71547E-08  4.8E-07
  1.750E-04  2.33225E-12  6.82709E-15  2.43800E+02  4.33472E-08  4.8E-07
  2.000E-04  3.04617E-12  6.82709E-15  2.43800E+02  4.95397E-08  4.8E-07
  2.250E-04  3.85530E-12  6.82709E-15  2.43800E+02  5.57321E-08  4.8E-07
  2.500E-04  4.75964E-12  6.82709E-15  2.43800E+02  6.19246E-08  4.8E-07
  2.750E-04  5.75917E-12  6.82709E-15  2.43800E+02  6.81170E-08  4.8E-07
  3.000E-04  6.85391E-12  6.82709E-15  2.43800E+02  7.43095E-08  4.8E-07
  3.250E-04  8.04379E-12  6.82709E-15  2.43800E+02  8.05019E-08  4.8E-07
  3.500E-04  9.32893E-12  6.82709E-15  2.43800E+02  8.66944E-08  4.8E-07
  3.750E-04  1.07092E-11  6.82709E-15  2.43800E+02  9.28869E-08  4.8E-07
  4.000E-04  1.21847E-11  6.82709E-15  2.43800E+02  9.90793E-08  4.8E-07
  4.250E-04  1.37554E-11  6.82709E-15  2.43800E+02  1.05272E-07  4.8E-07
  4.500E-04  1.54213E-11  6.82709E-15  2.43800E+02  1.11464E-07  4.8E-07
  4.750E-04  1.71823E-11  6.82709E-15  2.43800E+02  1.17657E-07  4.8E-07
  5.000E-04  1.90386E-11  6.82709E-15  2.43800E+02  1.23849E-07  4.8E-07
  5.250E-04  2.09900E-11  6.82709E-15  2.43800E+02  1.30042E-07  4.8E-07
  5.500E-04  2.30367E-11  6.82709E-15  2.43800E+02  1.36234E-07  4.8E-07
  5.750E-04  2.51785E-11  6.82709E-15  2.43800E+02  1.42427E-07  4.8E-07
  6.000E-04  2.74156E-11  6.82709E-15  2.43800E+02  1.48619E-07  4.8E-07
  6.250E-04  2.97478E-11  6.82709E-15  2.43800E+02  1.54811E-07  4.8E-07
  6.500E-04  3.21752E-11  6.82709E-15  2.43800E+02  1.61004E-07  4.8E-07
  6.750E-04  3.46979E-11  6.82709E-15  2.43800E+02  1.67196E-07  4.8E-07
  7.000E-04  3.73157E-11  6.82709E-15  2.43800E+02  1.73389E-07  4.8E-07
  7.250E-04  4.00286E-11  6.82709E-15  2.43800E+02  1.79581E-07  4.8E-07
  7.500E-04  4.28368E-11  6.82709E-15  2.43800E+02  1.85774E-07  4.8E-07
  7.750E-04  4.57402E-11  6.82709E-15  2.43800E+02  1.91966E-07  4.8E-07
  8.000E-04  4.87388E-11  6.82709E-15  2.43800E+02  1.98159E-07  4.8E-07
  8.250E-04  5.18325E-11  6.82709E-15  2.43800E+02  2.04351E-07  4.8E-07
  8.500E-04  5.50215E-11  6.82709E-15  2.43800E+02  2.10544E-07  4.8E-07
  8.750E-04  5.83057E-11  6.82709E-15  2.43800E+02  2.16736E-07  4.8E-07
  9.000E-04  6.16850E-11  6.82709E-15  2.43800E+02  2.22928E-07  4.8E-07
  9.250E-04  6.51595E-11  6.82709E-15  2.43800E+02  2.29121E-07  4.8E-07
  9.500E-04  6.87293E-11  6.82709E-15  2.43800E+02  2.35313E-07  4.8E-07
  9.750E-04  7.23943E-11  6.82709E-15  2.43800E+02  2.41506E-07  4.8E-07
  1.000E-03  7.61544E-11  6.82709E-15  2.43800E+02  2.47698E-07  4.8E-07
  1.250E-03  1.18991E-10  6.82709E-15  2.43800E+02  3.09623E-07  4.8E-07
  1.500E-03  1.71347E-10  6.82709E-15  2.43800E+02  3.71548E-07  4.8E-07
  1.750E-03  2.33223E-10  6.82709E-15  2.43800E+02  4.33472E-07  4.8E-07
  2.000E-03  3.04617E-10  6.82709E-15  2.43800E+02  4.95397E-07  4.8E-07
  2.250E-03  3.85531E-10  6.82709E-15  2.43800E+02  5.57321E-07  4.8E-07
  2.500E-03  4.75965E-10  6.82709E-15  2.43800E+02  6.19246E-07  4.8E-07
  2.750E-03  5.75917E-10  6.82708E-15  2.43800E+02  6.81171E-07  4.8E-07
  3.000E-03  6.85389E-10  6.82708E-15  2.43800E+02  7.43096E-07  4.8E-07
  3.250E-03  8.04380E-10  6.82708E-15  2.43799E+02  8.05020E-07  4.8E-07
  3.500E-03  9.32891E-10  6.82708E-15  2.43799E+02  8.66945E-07  4.8E-07
