 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+03 eV = 1.46997E+02 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file z_080.den   
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Riley-Truhlar exchange potential
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 1.57123E+01
 #
 # Total elastic cross section = 1.37065E-16 cm**2 = 4.89466E+00 a0**2
 # 1st transport cross section = 1.59625E-17 cm**2 = 5.70031E-01 a0**2
 # 2nd transport cross section = 1.86500E-17 cm**2 = 6.66005E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  8.34539E-15  2.98019E+02  0.00000E+00  2.0E-05
  1.000E-04  7.61557E-13  8.34539E-15  2.98019E+02  1.19372E-09  2.0E-05
  1.250E-04  1.18994E-12  8.34539E-15  2.98019E+02  1.49215E-09  2.0E-05
  1.500E-04  1.71346E-12  8.34539E-15  2.98019E+02  1.79058E-09  2.0E-05
  1.750E-04  2.33225E-12  8.34539E-15  2.98019E+02  2.08901E-09  2.0E-05
  2.000E-04  3.04617E-12  8.34539E-15  2.98019E+02  2.38743E-09  2.0E-05
  2.250E-04  3.85530E-12  8.34539E-15  2.98019E+02  2.68586E-09  2.0E-05
  2.500E-04  4.75964E-12  8.34539E-15  2.98019E+02  2.98429E-09  2.0E-05
  2.750E-04  5.75917E-12  8.34539E-15  2.98019E+02  3.28272E-09  2.0E-05
  3.000E-04  6.85391E-12  8.34539E-15  2.98019E+02  3.58115E-09  2.0E-05
  3.250E-04  8.04379E-12  8.34539E-15  2.98019E+02  3.87958E-09  2.0E-05
  3.500E-04  9.32893E-12  8.34539E-15  2.98019E+02  4.17801E-09  2.0E-05
  3.750E-04  1.07092E-11  8.34539E-15  2.98019E+02  4.47644E-09  2.0E-05
  4.000E-04  1.21847E-11  8.34539E-15  2.98019E+02  4.77487E-09  2.0E-05
  4.250E-04  1.37554E-11  8.34539E-15  2.98019E+02  5.07330E-09  2.0E-05
  4.500E-04  1.54213E-11  8.34539E-15  2.98019E+02  5.37173E-09  2.0E-05
  4.750E-04  1.71823E-11  8.34539E-15  2.98019E+02  5.67016E-09  2.0E-05
  5.000E-04  1.90386E-11  8.34539E-15  2.98019E+02  5.96859E-09  2.0E-05
  5.250E-04  2.09900E-11  8.34539E-15  2.98019E+02  6.26701E-09  2.0E-05
  5.500E-04  2.30367E-11  8.34539E-15  2.98019E+02  6.56544E-09  2.0E-05
