 #  Total cross section table (last run of 'elscata').
 #
 #  Z =  80,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+01  1.85717E-15  6.13070E-16  6.75266E-16  0.00000E+00  1.0E-07
   1.10000E+01  1.59918E-15  5.41008E-16  5.16806E-16  0.00000E+00  1.0E-07
   1.20000E+01  1.39598E-15  4.93667E-16  4.02694E-16  0.00000E+00  1.0E-07
   1.30000E+01  1.23668E-15  4.63855E-16  3.22248E-16  0.00000E+00  1.0E-07
   1.40000E+01  1.11264E-15  4.46659E-16  2.67487E-16  0.00000E+00  1.0E-07
   1.50000E+01  1.01698E-15  4.38683E-16  2.32440E-16  0.00000E+00  1.0E-07
   1.60000E+01  9.44259E-16  4.37539E-16  2.12623E-16  0.00000E+00  1.0E-07
   1.70000E+01  8.90140E-16  4.41511E-16  2.04635E-16  0.00000E+00  1.0E-07
   1.80000E+01  8.51142E-16  4.49328E-16  2.05871E-16  0.00000E+00  1.0E-07
   1.90000E+01  8.24447E-16  4.60015E-16  2.14300E-16  0.00000E+00  1.0E-07
   2.00000E+01  8.07748E-16  4.72798E-16  2.28308E-16  0.00000E+00  1.0E-07
   2.50000E+01  8.17395E-16  5.48539E-16  3.43263E-16  0.00000E+00  1.0E-07
   3.00000E+01  8.91136E-16  6.09939E-16  4.69740E-16  0.00000E+00  1.0E-07
   3.50000E+01  9.66476E-16  6.35311E-16  5.63911E-16  0.00000E+00  1.0E-07
   4.00000E+01  1.02399E-15  6.26452E-16  6.16683E-16  0.00000E+00  1.0E-07
   4.50000E+01  1.06216E-15  5.94776E-16  6.35360E-16  0.00000E+00  1.0E-07
   5.00000E+01  1.08468E-15  5.51414E-16  6.30898E-16  0.00000E+00  1.0E-07
   6.00000E+01  1.09935E-15  4.57778E-16  5.87662E-16  0.00000E+00  1.0E-07
   7.00000E+01  1.09306E-15  3.75686E-16  5.32008E-16  0.00000E+00  1.0E-07
   8.00000E+01  1.07807E-15  3.10866E-16  4.79333E-16  0.00000E+00  1.0E-07
   9.00000E+01  1.05947E-15  2.61135E-16  4.32589E-16  0.00000E+00  2.0E-07
