 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.50000E+04 eV = 9.18733E+02 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical TFM model
 #                   A1 =  1.00000D-01 ,   ALPHA1 = 1.63337D+01
 #                   A2 =  5.50000D-01 ,   ALPHA2 = 3.26673D+00
 #                   A3 =  3.50000D-01 ,   ALPHA3 = 8.16684D-01
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.24750E-17 cm**2 = 4.45489E-01 a0**2
 # 1st transport cross section = 6.21994E-20 cm**2 = 2.22118E-03 a0**2
 # 2nd transport cross section = 1.54604E-19 cm**2 = 5.52102E-03 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.84594E-15  2.80184E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  7.84594E-15  2.80184E+02  1.10117E-10  1.0E-07
  1.250E-04  1.18994E-12  7.84594E-15  2.80184E+02  1.37646E-10  1.0E-07
  1.500E-04  1.71346E-12  7.84594E-15  2.80184E+02  1.65175E-10  1.0E-07
  1.750E-04  2.33225E-12  7.84594E-15  2.80184E+02  1.92705E-10  1.0E-07
  2.000E-04  3.04617E-12  7.84594E-15  2.80184E+02  2.20234E-10  1.0E-07
  2.250E-04  3.85530E-12  7.84594E-15  2.80184E+02  2.47763E-10  1.0E-07
  2.500E-04  4.75964E-12  7.84594E-15  2.80184E+02  2.75292E-10  1.0E-07
  2.750E-04  5.75917E-12  7.84594E-15  2.80184E+02  3.02822E-10  1.0E-07
  3.000E-04  6.85391E-12  7.84594E-15  2.80184E+02  3.30351E-10  1.0E-07
  3.250E-04  8.04379E-12  7.84594E-15  2.80184E+02  3.57880E-10  1.0E-07
  3.500E-04  9.32893E-12  7.84594E-15  2.80184E+02  3.85410E-10  1.0E-07
  3.750E-04  1.07092E-11  7.84594E-15  2.80184E+02  4.12939E-10  1.0E-07
  4.000E-04  1.21847E-11  7.84594E-15  2.80184E+02  4.40468E-10  1.0E-07
  4.250E-04  1.37554E-11  7.84594E-15  2.80184E+02  4.67997E-10  1.0E-07
  4.500E-04  1.54213E-11  7.84594E-15  2.80184E+02  4.95527E-10  1.0E-07
  4.750E-04  1.71823E-11  7.84594E-15  2.80184E+02  5.23056E-10  1.0E-07
  5.000E-04  1.90386E-11  7.84594E-15  2.80184E+02  5.50585E-10  1.0E-07
  5.250E-04  2.09900E-11  7.84594E-15  2.80184E+02  5.78114E-10  1.0E-07
  5.500E-04  2.30367E-11  7.84594E-15  2.80184E+02  6.05644E-10  1.0E-07
  5.750E-04  2.51785E-11  7.84594E-15  2.80184E+02  6.33173E-10  1.0E-07
  6.000E-04  2.74156E-11  7.84594E-15  2.80184E+02  6.60702E-10  1.0E-07
  6.250E-04  2.97478E-11  7.84594E-15  2.80184E+02  6.88231E-10  1.0E-07
  6.500E-04  3.21752E-11  7.84594E-15  2.80184E+02  7.15761E-10  1.0E-07
  6.750E-04  3.46979E-11  7.84594E-15  2.80184E+02  7.43290E-10  1.0E-07
  7.000E-04  3.73157E-11  7.84594E-15  2.80184E+02  7.70819E-10  1.0E-07
  7.250E-04  4.00286E-11  7.84594E-15  2.80184E+02  7.98348E-10  1.0E-07
  7.500E-04  4.28368E-11  7.84594E-15  2.80184E+02  8.25878E-10  1.0E-07
  7.750E-04  4.57402E-11  7.84594E-15  2.80183E+02  8.53407E-10  1.0E-07
  8.000E-04  4.87388E-11  7.84594E-15  2.80183E+02  8.80936E-10  1.0E-07
  8.250E-04  5.18325E-11  7.84594E-15  2.80183E+02  9.08466E-10  1.0E-07
  8.500E-04  5.50215E-11  7.84594E-15  2.80183E+02  9.35995E-10  1.0E-07
  8.750E-04  5.83057E-11  7.84593E-15  2.80183E+02  9.63524E-10  1.0E-07
  9.000E-04  6.16850E-11  7.84593E-15  2.80183E+02  9.91053E-10  1.0E-07
  9.250E-04  6.51595E-11  7.84593E-15  2.80183E+02  1.01858E-09  1.0E-07
  9.500E-04  6.87293E-11  7.84593E-15  2.80183E+02  1.04611E-09  1.0E-07
  9.750E-04  7.23943E-11  7.84593E-15  2.80183E+02  1.07364E-09  1.0E-07
  1.000E-03  7.61544E-11  7.84593E-15  2.80183E+02  1.10117E-09  1.0E-07
  1.250E-03  1.18991E-10  7.84592E-15  2.80183E+02  1.37646E-09  1.0E-07
  1.500E-03  1.71347E-10  7.84592E-15  2.80183E+02  1.65176E-09  1.0E-07
  1.750E-03  2.33223E-10  7.84591E-15  2.80182E+02  1.92705E-09  1.0E-07
  2.000E-03  3.04617E-10  7.84589E-15  2.80182E+02  2.20235E-09  1.0E-07
  2.250E-03  3.85531E-10  7.84588E-15  2.80182E+02  2.47764E-09  1.0E-07
  2.500E-03  4.75965E-10  7.84587E-15  2.80181E+02  2.75294E-09  1.0E-07
  2.750E-03  5.75917E-10  7.84585E-15  2.80180E+02  3.02823E-09  1.0E-07
  3.000E-03  6.85389E-10  7.84583E-15  2.80180E+02  3.30353E-09  1.0E-07
  3.250E-03  8.04380E-10  7.84581E-15  2.80179E+02  3.57883E-09  1.0E-07
  3.500E-03  9.32891E-10  7.84579E-15  2.80178E+02  3.85413E-09  1.0E-07
  3.750E-03  1.07092E-09  7.84577E-15  2.80177E+02  4.12943E-09  1.0E-07
  4.000E-03  1.21847E-09  7.84574E-15  2.80177E+02  4.40473E-09  1.0E-07
  4.250E-03  1.37554E-09  7.84572E-15  2.80176E+02  4.68003E-09  1.0E-07
  4.500E-03  1.54213E-09  7.84569E-15  2.80175E+02  4.95533E-09  1.0E-07
  4.750E-03  1.71823E-09  7.84566E-15  2.80174E+02  5.23064E-09  1.0E-07
  5.000E-03  1.90386E-09  7.84563E-15  2.80173E+02  5.50594E-09  1.0E-07
  5.250E-03  2.09900E-09  7.84560E-15  2.80171E+02  5.78125E-09  1.0E-07
  5.500E-03  2.30367E-09  7.84557E-15  2.80170E+02  6.05656E-09  1.0E-07
  5.750E-03  2.51785E-09  7.84553E-15  2.80169E+02  6.33187E-09  1.0E-07
  6.000E-03  2.74156E-09  7.84550E-15  2.80168E+02  6.60718E-09  1.0E-07
  6.250E-03  2.97478E-09  7.84546E-15  2.80166E+02  6.88250E-09  1.0E-07
  6.500E-03  3.21752E-09  7.84542E-15  2.80165E+02  7.15781E-09  1.0E-07
  6.750E-03  3.46978E-09  7.84538E-15  2.80163E+02  7.43313E-09  1.0E-07
  7.000E-03  3.73156E-09  7.84533E-15  2.80162E+02  7.70845E-09  1.0E-07
  7.250E-03  4.00286E-09  7.84529E-15  2.80160E+02  7.98377E-09  1.0E-07
  7.500E-03  4.28368E-09  7.84524E-15  2.80159E+02  8.25909E-09  1.0E-07
  7.750E-03  4.57402E-09  7.84520E-15  2.80157E+02  8.53442E-09  1.0E-07
  8.000E-03  4.87388E-09  7.84515E-15  2.80155E+02  8.80974E-09  1.0E-07
  8.250E-03  5.18326E-09  7.84510E-15  2.80153E+02  9.08507E-09  1.0E-07
  8.500E-03  5.50215E-09  7.84504E-15  2.80152E+02  9.36041E-09  1.0E-07
  8.750E-03  5.83057E-09  7.84499E-15  2.80150E+02  9.63574E-09  1.0E-07
  9.000E-03  6.16850E-09  7.84494E-15  2.80148E+02  9.91108E-09  1.0E-07
  9.250E-03  6.51596E-09  7.84488E-15  2.80146E+02  1.01864E-08  1.0E-07
  9.500E-03  6.87293E-09  7.84482E-15  2.80144E+02  1.04618E-08  1.0E-07
  9.750E-03  7.23942E-09  7.84476E-15  2.80141E+02  1.07371E-08  1.0E-07
  1.000E-02  7.61544E-09  7.84470E-15  2.80139E+02  1.10125E-08  1.0E-07
  1.250E-02  1.18991E-08  7.84400E-15  2.80114E+02  1.37661E-08  1.0E-07
  1.500E-02  1.71347E-08  7.84314E-15  2.80084E+02  1.65201E-08  1.0E-07
  1.750E-02  2.33223E-08  7.84213E-15  2.80048E+02  1.92745E-08  1.0E-07
  2.000E-02  3.04617E-08  7.84096E-15  2.80006E+02  2.20294E-08  1.0E-07
  2.250E-02  3.85531E-08  7.83964E-15  2.79959E+02  2.47849E-08  1.0E-07
  2.500E-02  4.75965E-08  7.83816E-15  2.79906E+02  2.75410E-08  1.0E-07
  2.750E-02  5.75917E-08  7.83653E-15  2.79848E+02  3.02978E-08  1.0E-07
  3.000E-02  6.85389E-08  7.83475E-15  2.79784E+02  3.30554E-08  1.0E-07
  3.250E-02  8.04380E-08  7.83280E-15  2.79715E+02  3.58138E-08  1.0E-07
  3.500E-02  9.32891E-08  7.83071E-15  2.79640E+02  3.85732E-08  1.0E-07
  3.750E-02  1.07092E-07  7.82846E-15  2.79559E+02  4.13335E-08  1.0E-07
  4.000E-02  1.21847E-07  7.82605E-15  2.79473E+02  4.40949E-08  1.0E-07
  4.250E-02  1.37554E-07  7.82349E-15  2.79382E+02  4.68574E-08  1.0E-07
  4.500E-02  1.54213E-07  7.82078E-15  2.79285E+02  4.96211E-08  1.0E-07
  4.750E-02  1.71823E-07  7.81792E-15  2.79183E+02  5.23861E-08  1.0E-07
  5.000E-02  1.90386E-07  7.81490E-15  2.79075E+02  5.51525E-08  1.0E-07
  5.250E-02  2.09900E-07  7.81173E-15  2.78962E+02  5.79202E-08  1.0E-07
  5.500E-02  2.30367E-07  7.80840E-15  2.78843E+02  6.06894E-08  1.0E-07
  5.750E-02  2.51785E-07  7.80493E-15  2.78719E+02  6.34602E-08  1.0E-07
  6.000E-02  2.74156E-07  7.80130E-15  2.78590E+02  6.62325E-08  1.0E-07
  6.250E-02  2.97478E-07  7.79752E-15  2.78455E+02  6.90066E-08  1.0E-07
  6.500E-02  3.21752E-07  7.79359E-15  2.78314E+02  7.17824E-08  1.0E-07
  6.750E-02  3.46978E-07  7.78951E-15  2.78168E+02  7.45601E-08  1.0E-07
  7.000E-02  3.73156E-07  7.78528E-15  2.78017E+02  7.73396E-08  1.0E-07
  7.250E-02  4.00286E-07  7.78090E-15  2.77861E+02  8.01212E-08  1.0E-07
  7.500E-02  4.28368E-07  7.77636E-15  2.77699E+02  8.29047E-08  1.0E-07
  7.750E-02  4.57402E-07  7.77168E-15  2.77532E+02  8.56904E-08  1.0E-07
  8.000E-02  4.87388E-07  7.76685E-15  2.77359E+02  8.84782E-08  1.0E-07
  8.250E-02  5.18325E-07  7.76188E-15  2.77182E+02  9.12683E-08  1.0E-07
  8.500E-02  5.50215E-07  7.75675E-15  2.76999E+02  9.40607E-08  1.0E-07
  8.750E-02  5.83057E-07  7.75148E-15  2.76810E+02  9.68556E-08  1.0E-07
  9.000E-02  6.16850E-07  7.74606E-15  2.76617E+02  9.96528E-08  1.0E-07
  9.250E-02  6.51596E-07  7.74049E-15  2.76418E+02  1.02453E-07  1.0E-07
  9.500E-02  6.87293E-07  7.73478E-15  2.76214E+02  1.05255E-07  1.0E-07
  9.750E-02  7.23942E-07  7.72892E-15  2.76005E+02  1.08060E-07  1.0E-07
  1.000E-01  7.61543E-07  7.72292E-15  2.75790E+02  1.10868E-07  1.0E-07
  1.250E-01  1.18991E-06  7.65505E-15  2.73367E+02  1.39112E-07  1.0E-07
  1.500E-01  1.71347E-06  7.57337E-15  2.70450E+02  1.67705E-07  1.0E-07
  1.750E-01  2.33223E-06  7.47861E-15  2.67066E+02  1.96716E-07  1.0E-07
  2.000E-01  3.04617E-06  7.37157E-15  2.63244E+02  2.26214E-07  1.0E-07
  2.250E-01  3.85531E-06  7.25316E-15  2.59015E+02  2.56264E-07  1.0E-07
  2.500E-01  4.75964E-06  7.12435E-15  2.54415E+02  2.86931E-07  1.0E-07
  2.750E-01  5.75916E-06  6.98614E-15  2.49480E+02  3.18281E-07  1.0E-07
  3.000E-01  6.85388E-06  6.83959E-15  2.44246E+02  3.50376E-07  1.0E-07
  3.250E-01  8.04378E-06  6.68573E-15  2.38752E+02  3.83277E-07  1.0E-07
  3.500E-01  9.32888E-06  6.52565E-15  2.33035E+02  4.17043E-07  1.0E-07
  3.750E-01  1.07092E-05  6.36038E-15  2.27133E+02  4.51733E-07  1.0E-07
  4.000E-01  1.21846E-05  6.19094E-15  2.21083E+02  4.87402E-07  1.0E-07
  4.250E-01  1.37553E-05  6.01832E-15  2.14918E+02  5.24104E-07  1.0E-07
  4.500E-01  1.54212E-05  5.84345E-15  2.08674E+02  5.61890E-07  1.0E-07
  4.750E-01  1.71822E-05  5.66722E-15  2.02380E+02  6.00812E-07  1.0E-07
  5.000E-01  1.90385E-05  5.49046E-15  1.96068E+02  6.40915E-07  1.0E-07
  5.250E-01  2.09899E-05  5.31392E-15  1.89763E+02  6.82246E-07  1.0E-07
  5.500E-01  2.30365E-05  5.13830E-15  1.83492E+02  7.24849E-07  1.0E-07
  5.750E-01  2.51783E-05  4.96422E-15  1.77276E+02  7.68764E-07  1.0E-07
  6.000E-01  2.74153E-05  4.79226E-15  1.71135E+02  8.14030E-07  1.0E-07
  6.250E-01  2.97475E-05  4.62291E-15  1.65087E+02  8.60686E-07  1.0E-07
  6.500E-01  3.21749E-05  4.45660E-15  1.59148E+02  9.08764E-07  1.0E-07
  6.750E-01  3.46974E-05  4.29370E-15  1.53331E+02  9.58298E-07  1.0E-07
  7.000E-01  3.73152E-05  4.13452E-15  1.47646E+02  1.00932E-06  1.0E-07
  7.250E-01  4.00281E-05  3.97932E-15  1.42104E+02  1.06185E-06  1.0E-07
  7.500E-01  4.28362E-05  3.82830E-15  1.36711E+02  1.11592E-06  1.0E-07
  7.750E-01  4.57395E-05  3.68164E-15  1.31474E+02  1.17155E-06  1.0E-07
  8.000E-01  4.87380E-05  3.53944E-15  1.26396E+02  1.22877E-06  1.0E-07
  8.250E-01  5.18317E-05  3.40179E-15  1.21480E+02  1.28759E-06  1.0E-07
  8.500E-01  5.50205E-05  3.26873E-15  1.16728E+02  1.34802E-06  1.0E-07
  8.750E-01  5.83045E-05  3.14027E-15  1.12141E+02  1.41009E-06  1.0E-07
  9.000E-01  6.16838E-05  3.01641E-15  1.07718E+02  1.47380E-06  1.0E-07
  9.250E-01  6.51582E-05  2.89711E-15  1.03458E+02  1.53916E-06  1.0E-07
  9.500E-01  6.87277E-05  2.78231E-15  9.93581E+01  1.60619E-06  1.0E-07
  9.750E-01  7.23925E-05  2.67195E-15  9.54169E+01  1.67489E-06  1.0E-07
  1.000E+00  7.61524E-05  2.56593E-15  9.16309E+01  1.74527E-06  1.0E-07
  1.100E+00  9.21439E-05  2.18321E-15  7.79638E+01  2.04360E-06  1.0E-07
  1.200E+00  1.09658E-04  1.86089E-15  6.64536E+01  2.36878E-06  1.0E-07
  1.300E+00  1.28695E-04  1.59078E-15  5.68079E+01  2.72047E-06  1.0E-07
  1.400E+00  1.49255E-04  1.36491E-15  4.87418E+01  3.09806E-06  1.0E-07
  1.500E+00  1.71338E-04  1.17604E-15  4.19970E+01  3.50076E-06  1.0E-07
  1.600E+00  1.94942E-04  1.01786E-15  3.63485E+01  3.92766E-06  1.0E-07
  1.700E+00  2.20070E-04  8.85048E-16  3.16056E+01  4.37777E-06  1.0E-07
  1.800E+00  2.46720E-04  7.73149E-16  2.76097E+01  4.85003E-06  1.0E-07
  1.900E+00  2.74892E-04  6.78500E-16  2.42297E+01  5.34343E-06  1.0E-07
  2.000E+00  3.04586E-04  5.98098E-16  2.13585E+01  5.85695E-06  1.0E-07
  2.100E+00  3.35803E-04  5.29492E-16  1.89085E+01  6.38959E-06  1.0E-07
  2.200E+00  3.68542E-04  4.70686E-16  1.68085E+01  6.94041E-06  1.0E-07
  2.300E+00  4.02802E-04  4.20049E-16  1.50002E+01  7.50851E-06  1.0E-07
  2.400E+00  4.38585E-04  3.76250E-16  1.34361E+01  8.09301E-06  1.0E-07
  2.500E+00  4.75889E-04  3.38198E-16  1.20773E+01  8.69311E-06  1.0E-07
  2.600E+00  5.14715E-04  3.04997E-16  1.08916E+01  9.30802E-06  1.0E-07
  2.700E+00  5.55063E-04  2.75910E-16  9.85293E+00  9.93696E-06  1.0E-07
  2.800E+00  5.96931E-04  2.50326E-16  8.93931E+00  1.05792E-05  1.0E-07
  2.900E+00  6.40321E-04  2.27738E-16  8.13268E+00  1.12341E-05  1.0E-07
  3.000E+00  6.85233E-04  2.07723E-16  7.41793E+00  1.19008E-05  1.0E-07
  3.100E+00  7.31665E-04  1.89927E-16  6.78243E+00  1.25787E-05  1.0E-07
  3.200E+00  7.79618E-04  1.74053E-16  6.21553E+00  1.32671E-05  1.0E-07
  3.300E+00  8.29092E-04  1.59848E-16  5.70828E+00  1.39653E-05  1.0E-07
  3.400E+00  8.80086E-04  1.47101E-16  5.25306E+00  1.46726E-05  1.0E-07
  3.500E+00  9.32601E-04  1.35629E-16  4.84340E+00  1.53883E-05  1.0E-07
  3.600E+00  9.86636E-04  1.25279E-16  4.47378E+00  1.61117E-05  1.0E-07
  3.700E+00  1.04219E-03  1.15916E-16  4.13945E+00  1.68420E-05  1.0E-07
  3.800E+00  1.09927E-03  1.07428E-16  3.83632E+00  1.75786E-05  1.0E-07
  3.900E+00  1.15786E-03  9.97147E-17  3.56088E+00  1.83206E-05  1.0E-07
  4.000E+00  1.21797E-03  9.26909E-17  3.31005E+00  1.90673E-05  1.0E-07
  4.100E+00  1.27961E-03  8.62822E-17  3.08119E+00  1.98179E-05  1.0E-07
  4.200E+00  1.34276E-03  8.04235E-17  2.87198E+00  2.05717E-05  1.0E-07
  4.300E+00  1.40743E-03  7.50580E-17  2.68037E+00  2.13278E-05  1.0E-07
  4.400E+00  1.47362E-03  7.01355E-17  2.50459E+00  2.20855E-05  1.0E-07
  4.500E+00  1.54133E-03  6.56122E-17  2.34306E+00  2.28439E-05  1.0E-07
  4.600E+00  1.61056E-03  6.14492E-17  2.19439E+00  2.36023E-05  1.0E-07
  4.700E+00  1.68131E-03  5.76121E-17  2.05737E+00  2.43597E-05  1.0E-07
  4.800E+00  1.75357E-03  5.40703E-17  1.93088E+00  2.51153E-05  1.0E-07
  4.900E+00  1.82735E-03  5.07966E-17  1.81398E+00  2.58684E-05  1.0E-07
  5.000E+00  1.90265E-03  4.77668E-17  1.70578E+00  2.66179E-05  1.0E-07
  5.100E+00  1.97947E-03  4.49592E-17  1.60552E+00  2.73632E-05  1.0E-07
