 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 7.00000E+03 eV = 2.57245E+02 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical TFM model
 #                   A1 =  1.00000D-01 ,   ALPHA1 = 1.63337D+01
 #                   A2 =  5.50000D-01 ,   ALPHA2 = 3.26673D+00
 #                   A3 =  3.50000D-01 ,   ALPHA3 = 8.16684D-01
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 2.08417E+01
 #
 # Total elastic cross section = 3.96302E-17 cm**2 = 1.41522E+00 a0**2
 # 1st transport cross section = 5.89794E-19 cm**2 = 2.10619E-02 a0**2
 # 2nd transport cross section = 1.36037E-18 cm**2 = 4.85798E-02 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.00649E-14  3.59425E+02  0.00000E+00  2.7E-04
  1.000E-04  7.61557E-13  1.00649E-14  3.59425E+02  1.80574E-10  2.7E-04
  1.250E-04  1.18994E-12  1.00649E-14  3.59425E+02  2.25717E-10  2.7E-04
  1.500E-04  1.71346E-12  1.00649E-14  3.59425E+02  2.70860E-10  2.7E-04
  1.750E-04  2.33225E-12  1.00649E-14  3.59425E+02  3.16004E-10  2.7E-04
  2.000E-04  3.04617E-12  1.00649E-14  3.59425E+02  3.61147E-10  2.7E-04
  2.250E-04  3.85530E-12  1.00649E-14  3.59425E+02  4.06291E-10  2.7E-04
  2.500E-04  4.75964E-12  1.00649E-14  3.59425E+02  4.51434E-10  2.7E-04
  2.750E-04  5.75917E-12  1.00649E-14  3.59425E+02  4.96577E-10  2.7E-04
  3.000E-04  6.85391E-12  1.00649E-14  3.59425E+02  5.41721E-10  2.7E-04
  3.250E-04  8.04379E-12  1.00649E-14  3.59425E+02  5.86864E-10  2.7E-04
  3.500E-04  9.32893E-12  1.00649E-14  3.59425E+02  6.32007E-10  2.7E-04
  3.750E-04  1.07092E-11  1.00649E-14  3.59425E+02  6.77150E-10  2.7E-04
  4.000E-04  1.21847E-11  1.00649E-14  3.59425E+02  7.22294E-10  2.7E-04
  4.250E-04  1.37554E-11  1.00649E-14  3.59425E+02  7.67437E-10  2.7E-04
