 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.90000E+04 eV = 6.98237E+02 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical TFD model
 #                   A1 =  5.06491D-02 ,   ALPHA1 = 2.52626D+01
 #                   A2 =  4.01742D-01 ,   ALPHA2 = 4.82409D+00
 #                   A3 =  5.47609D-01 ,   ALPHA3 = 1.41708D+00
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.02574E-17 cm**2 = 3.66299E-01 a0**2
 # 1st transport cross section = 9.90129E-20 cm**2 = 3.53582E-03 a0**2
 # 2nd transport cross section = 2.41614E-19 cm**2 = 8.62818E-03 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.91139E-15  6.82570E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.91139E-15  6.82570E+01  2.03053E-10  1.0E-07
  1.250E-04  1.18994E-12  1.91139E-15  6.82570E+01  2.53816E-10  1.0E-07
  1.500E-04  1.71346E-12  1.91139E-15  6.82570E+01  3.04579E-10  1.0E-07
  1.750E-04  2.33225E-12  1.91139E-15  6.82570E+01  3.55342E-10  1.0E-07
  2.000E-04  3.04617E-12  1.91139E-15  6.82570E+01  4.06106E-10  1.0E-07
  2.250E-04  3.85530E-12  1.91139E-15  6.82570E+01  4.56869E-10  1.0E-07
  2.500E-04  4.75964E-12  1.91139E-15  6.82570E+01  5.07632E-10  1.0E-07
  2.750E-04  5.75917E-12  1.91139E-15  6.82570E+01  5.58395E-10  1.0E-07
  3.000E-04  6.85391E-12  1.91139E-15  6.82570E+01  6.09158E-10  1.0E-07
  3.250E-04  8.04379E-12  1.91139E-15  6.82570E+01  6.59922E-10  1.0E-07
  3.500E-04  9.32893E-12  1.91139E-15  6.82570E+01  7.10685E-10  1.0E-07
  3.750E-04  1.07092E-11  1.91139E-15  6.82570E+01  7.61448E-10  1.0E-07
  4.000E-04  1.21847E-11  1.91139E-15  6.82570E+01  8.12211E-10  1.0E-07
  4.250E-04  1.37554E-11  1.91139E-15  6.82570E+01  8.62974E-10  1.0E-07
  4.500E-04  1.54213E-11  1.91139E-15  6.82570E+01  9.13738E-10  1.0E-07
  4.750E-04  1.71823E-11  1.91139E-15  6.82570E+01  9.64501E-10  1.0E-07
  5.000E-04  1.90386E-11  1.91139E-15  6.82570E+01  1.01526E-09  1.0E-07
  5.250E-04  2.09900E-11  1.91139E-15  6.82570E+01  1.06603E-09  1.0E-07
  5.500E-04  2.30367E-11  1.91139E-15  6.82570E+01  1.11679E-09  1.0E-07
  5.750E-04  2.51785E-11  1.91139E-15  6.82570E+01  1.16755E-09  1.0E-07
  6.000E-04  2.74156E-11  1.91139E-15  6.82570E+01  1.21832E-09  1.0E-07
  6.250E-04  2.97478E-11  1.91139E-15  6.82570E+01  1.26908E-09  1.0E-07
  6.500E-04  3.21752E-11  1.91139E-15  6.82570E+01  1.31984E-09  1.0E-07
  6.750E-04  3.46979E-11  1.91139E-15  6.82570E+01  1.37061E-09  1.0E-07
  7.000E-04  3.73157E-11  1.91139E-15  6.82570E+01  1.42137E-09  1.0E-07
  7.250E-04  4.00286E-11  1.91139E-15  6.82570E+01  1.47213E-09  1.0E-07
  7.500E-04  4.28368E-11  1.91139E-15  6.82570E+01  1.52290E-09  1.0E-07
  7.750E-04  4.57402E-11  1.91139E-15  6.82570E+01  1.57366E-09  1.0E-07
  8.000E-04  4.87388E-11  1.91139E-15  6.82570E+01  1.62442E-09  1.0E-07
  8.250E-04  5.18325E-11  1.91139E-15  6.82570E+01  1.67519E-09  1.0E-07
  8.500E-04  5.50215E-11  1.91139E-15  6.82570E+01  1.72595E-09  1.0E-07
  8.750E-04  5.83057E-11  1.91139E-15  6.82570E+01  1.77671E-09  1.0E-07
  9.000E-04  6.16850E-11  1.91139E-15  6.82570E+01  1.82748E-09  1.0E-07
  9.250E-04  6.51595E-11  1.91139E-15  6.82570E+01  1.87824E-09  1.0E-07
  9.500E-04  6.87293E-11  1.91139E-15  6.82570E+01  1.92900E-09  1.0E-07
  9.750E-04  7.23943E-11  1.91139E-15  6.82570E+01  1.97977E-09  1.0E-07
  1.000E-03  7.61544E-11  1.91139E-15  6.82570E+01  2.03053E-09  1.0E-07
  1.250E-03  1.18991E-10  1.91139E-15  6.82569E+01  2.53816E-09  1.0E-07
