 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+01 eV = 2.93995E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical TFD model
 #                   A1 =  5.06491D-02 ,   ALPHA1 = 2.52626D+01
 #                   A2 =  4.01742D-01 ,   ALPHA2 = 4.82409D+00
 #                   A3 =  5.47609D-01 ,   ALPHA3 = 1.41708D+00
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 1.36931E+00
 #
 # Total elastic cross section = 9.93894E-16 cm**2 = 3.54926E+01 a0**2
 # 1st transport cross section = 3.57470E-16 cm**2 = 1.27655E+01 a0**2
 # 2nd transport cross section = 3.14841E-16 cm**2 = 1.12432E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.27466E-15  2.24072E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  6.27466E-15  2.24072E+02  5.47652E-10  1.0E-07
  1.250E-04  1.18994E-12  6.27466E-15  2.24072E+02  6.84565E-10  1.0E-07
  1.500E-04  1.71346E-12  6.27466E-15  2.24072E+02  8.21478E-10  1.0E-07
  1.750E-04  2.33225E-12  6.27466E-15  2.24072E+02  9.58391E-10  1.0E-07
  2.000E-04  3.04617E-12  6.27466E-15  2.24072E+02  1.09530E-09  1.0E-07
  2.250E-04  3.85530E-12  6.27466E-15  2.24072E+02  1.23222E-09  1.0E-07
  2.500E-04  4.75964E-12  6.27466E-15  2.24072E+02  1.36913E-09  1.0E-07
  2.750E-04  5.75917E-12  6.27466E-15  2.24072E+02  1.50604E-09  1.0E-07
  3.000E-04  6.85391E-12  6.27466E-15  2.24072E+02  1.64296E-09  1.0E-07
  3.250E-04  8.04379E-12  6.27466E-15  2.24072E+02  1.77987E-09  1.0E-07
  3.500E-04  9.32893E-12  6.27466E-15  2.24072E+02  1.91678E-09  1.0E-07
  3.750E-04  1.07092E-11  6.27466E-15  2.24072E+02  2.05370E-09  1.0E-07
  4.000E-04  1.21847E-11  6.27466E-15  2.24072E+02  2.19061E-09  1.0E-07
  4.250E-04  1.37554E-11  6.27466E-15  2.24072E+02  2.32752E-09  1.0E-07
  4.500E-04  1.54213E-11  6.27466E-15  2.24072E+02  2.46443E-09  1.0E-07
  4.750E-04  1.71823E-11  6.27466E-15  2.24072E+02  2.60135E-09  1.0E-07
  5.000E-04  1.90386E-11  6.27466E-15  2.24072E+02  2.73826E-09  1.0E-07
  5.250E-04  2.09900E-11  6.27466E-15  2.24072E+02  2.87517E-09  1.0E-07
  5.500E-04  2.30367E-11  6.27466E-15  2.24072E+02  3.01209E-09  1.0E-07
  5.750E-04  2.51785E-11  6.27466E-15  2.24072E+02  3.14900E-09  1.0E-07
  6.000E-04  2.74156E-11  6.27466E-15  2.24072E+02  3.28591E-09  1.0E-07
  6.250E-04  2.97478E-11  6.27466E-15  2.24072E+02  3.42283E-09  1.0E-07
  6.500E-04  3.21752E-11  6.27466E-15  2.24072E+02  3.55974E-09  1.0E-07
  6.750E-04  3.46979E-11  6.27466E-15  2.24072E+02  3.69665E-09  1.0E-07
  7.000E-04  3.73157E-11  6.27466E-15  2.24072E+02  3.83357E-09  1.0E-07
  7.250E-04  4.00286E-11  6.27466E-15  2.24072E+02  3.97048E-09  1.0E-07
  7.500E-04  4.28368E-11  6.27466E-15  2.24072E+02  4.10739E-09  1.0E-07
  7.750E-04  4.57402E-11  6.27466E-15  2.24072E+02  4.24430E-09  1.0E-07
  8.000E-04  4.87388E-11  6.27466E-15  2.24072E+02  4.38122E-09  1.0E-07
  8.250E-04  5.18325E-11  6.27466E-15  2.24072E+02  4.51813E-09  1.0E-07
