 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+02 eV = 2.93995E+01 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical TFD model
 #                   A1 =  5.06491D-02 ,   ALPHA1 = 2.52626D+01
 #                   A2 =  4.01742D-01 ,   ALPHA2 = 4.82409D+00
 #                   A3 =  5.47609D-01 ,   ALPHA3 = 1.41708D+00
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 6.84653E+00
 #
 # Total elastic cross section = 1.40455E-16 cm**2 = 5.01575E+00 a0**2
 # 1st transport cross section = 1.86677E-17 cm**2 = 6.66636E-01 a0**2
 # 2nd transport cross section = 2.92699E-17 cm**2 = 1.04525E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.13205E-15  1.47558E+02  0.00000E+00  1.3E-07
  1.000E-04  7.61557E-13  4.13205E-15  1.47558E+02  6.38542E-12  1.3E-07
  1.250E-04  1.18994E-12  4.13205E-15  1.47558E+02  7.98177E-12  1.3E-07
  1.500E-04  1.71346E-12  4.13205E-15  1.47558E+02  9.57812E-12  1.3E-07
  1.750E-04  2.33225E-12  4.13205E-15  1.47558E+02  1.11745E-11  1.3E-07
  2.000E-04  3.04617E-12  4.13205E-15  1.47558E+02  1.27708E-11  1.3E-07
  2.250E-04  3.85530E-12  4.13205E-15  1.47558E+02  1.43672E-11  1.3E-07
  2.500E-04  4.75964E-12  4.13205E-15  1.47558E+02  1.59635E-11  1.3E-07
  2.750E-04  5.75917E-12  4.13205E-15  1.47558E+02  1.75599E-11  1.3E-07
  3.000E-04  6.85391E-12  4.13205E-15  1.47558E+02  1.91562E-11  1.3E-07
  3.250E-04  8.04379E-12  4.13205E-15  1.47558E+02  2.07526E-11  1.3E-07
  3.500E-04  9.32893E-12  4.13205E-15  1.47558E+02  2.23489E-11  1.3E-07
  3.750E-04  1.07092E-11  4.13205E-15  1.47558E+02  2.39453E-11  1.3E-07
  4.000E-04  1.21847E-11  4.13205E-15  1.47558E+02  2.55416E-11  1.3E-07
  4.250E-04  1.37554E-11  4.13205E-15  1.47558E+02  2.71380E-11  1.3E-07
  4.500E-04  1.54213E-11  4.13205E-15  1.47558E+02  2.87343E-11  1.3E-07
  4.750E-04  1.71823E-11  4.13205E-15  1.47558E+02  3.03307E-11  1.3E-07
  5.000E-04  1.90386E-11  4.13205E-15  1.47558E+02  3.19270E-11  1.3E-07
  5.250E-04  2.09900E-11  4.13205E-15  1.47558E+02  3.35234E-11  1.3E-07
  5.500E-04  2.30367E-11  4.13205E-15  1.47558E+02  3.51197E-11  1.3E-07
  5.750E-04  2.51785E-11  4.13205E-15  1.47558E+02  3.67161E-11  1.3E-07
  6.000E-04  2.74156E-11  4.13205E-15  1.47558E+02  3.83124E-11  1.3E-07
  6.250E-04  2.97478E-11  4.13205E-15  1.47558E+02  3.99088E-11  1.3E-07
  6.500E-04  3.21752E-11  4.13205E-15  1.47558E+02  4.15051E-11  1.3E-07
  6.750E-04  3.46979E-11  4.13205E-15  1.47558E+02  4.31014E-11  1.3E-07
  7.000E-04  3.73157E-11  4.13205E-15  1.47558E+02  4.46978E-11  1.3E-07
  7.250E-04  4.00286E-11  4.13205E-15  1.47558E+02  4.62941E-11  1.3E-07
  7.500E-04  4.28368E-11  4.13205E-15  1.47558E+02  4.78904E-11  1.3E-07
  7.750E-04  4.57402E-11  4.13205E-15  1.47558E+02  4.94868E-11  1.3E-07
  8.000E-04  4.87388E-11  4.13205E-15  1.47558E+02  5.10831E-11  1.3E-07
  8.250E-04  5.18325E-11  4.13205E-15  1.47558E+02  5.26794E-11  1.3E-07
  8.500E-04  5.50215E-11  4.13205E-15  1.47558E+02  5.42758E-11  1.3E-07
  8.750E-04  5.83057E-11  4.13205E-15  1.47558E+02  5.58721E-11  1.3E-07
  9.000E-04  6.16850E-11  4.13205E-15  1.47558E+02  5.74684E-11  1.3E-07
  9.250E-04  6.51595E-11  4.13205E-15  1.47558E+02  5.90648E-11  1.3E-07
  9.500E-04  6.87293E-11  4.13205E-15  1.47558E+02  6.06611E-11  1.3E-07
  9.750E-04  7.23943E-11  4.13205E-15  1.47558E+02  6.22574E-11  1.3E-07
  1.000E-03  7.61544E-11  4.13205E-15  1.47558E+02  6.38537E-11  1.3E-07
  1.250E-03  1.18991E-10  4.13205E-15  1.47558E+02  7.98169E-11  1.3E-07
  1.500E-03  1.71347E-10  4.13204E-15  1.47558E+02  9.57798E-11  1.3E-07
  1.750E-03  2.33223E-10  4.13204E-15  1.47558E+02  1.11742E-10  1.3E-07
  2.000E-03  3.04617E-10  4.13204E-15  1.47558E+02  1.27705E-10  1.3E-07
  2.250E-03  3.85531E-10  4.13204E-15  1.47558E+02  1.43667E-10  1.3E-07
  2.500E-03  4.75965E-10  4.13203E-15  1.47558E+02  1.59629E-10  1.3E-07
  2.750E-03  5.75917E-10  4.13203E-15  1.47557E+02  1.75590E-10  1.3E-07
  3.000E-03  6.85389E-10  4.13202E-15  1.47557E+02  1.91551E-10  1.3E-07
  3.250E-03  8.04380E-10  4.13202E-15  1.47557E+02  2.07511E-10  1.3E-07
  3.500E-03  9.32891E-10  4.13201E-15  1.47557E+02  2.23471E-10  1.3E-07
  3.750E-03  1.07092E-09  4.13201E-15  1.47557E+02  2.39430E-10  1.3E-07
  4.000E-03  1.21847E-09  4.13200E-15  1.47556E+02  2.55388E-10  1.3E-07
  4.250E-03  1.37554E-09  4.13199E-15  1.47556E+02  2.71346E-10  1.3E-07
  4.500E-03  1.54213E-09  4.13198E-15  1.47556E+02  2.87303E-10  1.3E-07
  4.750E-03  1.71823E-09  4.13198E-15  1.47556E+02  3.03260E-10  1.3E-07
  5.000E-03  1.90386E-09  4.13197E-15  1.47555E+02  3.19215E-10  1.3E-07
  5.250E-03  2.09900E-09  4.13196E-15  1.47555E+02  3.35170E-10  1.3E-07
  5.500E-03  2.30367E-09  4.13195E-15  1.47555E+02  3.51124E-10  1.3E-07
  5.750E-03  2.51785E-09  4.13194E-15  1.47554E+02  3.67077E-10  1.3E-07
  6.000E-03  2.74156E-09  4.13193E-15  1.47554E+02  3.83029E-10  1.3E-07
  6.250E-03  2.97478E-09  4.13192E-15  1.47554E+02  3.98980E-10  1.3E-07
  6.500E-03  3.21752E-09  4.13191E-15  1.47553E+02  4.14930E-10  1.3E-07
  6.750E-03  3.46978E-09  4.13190E-15  1.47553E+02  4.30879E-10  1.3E-07
  7.000E-03  3.73156E-09  4.13189E-15  1.47552E+02  4.46827E-10  1.3E-07
  7.250E-03  4.00286E-09  4.13188E-15  1.47552E+02  4.62774E-10  1.3E-07
  7.500E-03  4.28368E-09  4.13187E-15  1.47552E+02  4.78719E-10  1.3E-07
  7.750E-03  4.57402E-09  4.13185E-15  1.47551E+02  4.94664E-10  1.3E-07
  8.000E-03  4.87388E-09  4.13184E-15  1.47551E+02  5.10607E-10  1.3E-07
  8.250E-03  5.18326E-09  4.13183E-15  1.47550E+02  5.26548E-10  1.3E-07
  8.500E-03  5.50215E-09  4.13181E-15  1.47550E+02  5.42488E-10  1.3E-07
  8.750E-03  5.83057E-09  4.13180E-15  1.47549E+02  5.58427E-10  1.3E-07
  9.000E-03  6.16850E-09  4.13178E-15  1.47549E+02  5.74365E-10  1.3E-07
  9.250E-03  6.51596E-09  4.13177E-15  1.47548E+02  5.90300E-10  1.3E-07
  9.500E-03  6.87293E-09  4.13175E-15  1.47548E+02  6.06235E-10  1.3E-07
  9.750E-03  7.23942E-09  4.13174E-15  1.47547E+02  6.22168E-10  1.3E-07
  1.000E-02  7.61544E-09  4.13172E-15  1.47546E+02  6.38099E-10  1.3E-07
  1.250E-02  1.18991E-08  4.13153E-15  1.47540E+02  7.97312E-10  1.3E-07
  1.500E-02  1.71347E-08  4.13130E-15  1.47532E+02  9.56317E-10  1.3E-07
  1.750E-02  2.33223E-08  4.13103E-15  1.47522E+02  1.11507E-09  1.3E-07
  2.000E-02  3.04617E-08  4.13072E-15  1.47511E+02  1.27354E-09  1.3E-07
  2.250E-02  3.85531E-08  4.13037E-15  1.47498E+02  1.43168E-09  1.3E-07
  2.500E-02  4.75965E-08  4.12997E-15  1.47484E+02  1.58944E-09  1.3E-07
  2.750E-02  5.75917E-08  4.12954E-15  1.47468E+02  1.74678E-09  1.3E-07
  3.000E-02  6.85389E-08  4.12906E-15  1.47451E+02  1.90368E-09  1.3E-07
  3.250E-02  8.04380E-08  4.12854E-15  1.47433E+02  2.06007E-09  1.3E-07
  3.500E-02  9.32891E-08  4.12798E-15  1.47413E+02  2.21593E-09  1.3E-07
  3.750E-02  1.07092E-07  4.12738E-15  1.47391E+02  2.37121E-09  1.3E-07
  4.000E-02  1.21847E-07  4.12673E-15  1.47368E+02  2.52587E-09  1.3E-07
  4.250E-02  1.37554E-07  4.12605E-15  1.47344E+02  2.67988E-09  1.3E-07
  4.500E-02  1.54213E-07  4.12532E-15  1.47318E+02  2.83318E-09  1.3E-07
  4.750E-02  1.71823E-07  4.12456E-15  1.47291E+02  2.98574E-09  1.3E-07
  5.000E-02  1.90386E-07  4.12375E-15  1.47262E+02  3.13753E-09  1.3E-07
  5.250E-02  2.09900E-07  4.12290E-15  1.47232E+02  3.28849E-09  1.3E-07
  5.500E-02  2.30367E-07  4.12201E-15  1.47200E+02  3.43859E-09  1.3E-07
  5.750E-02  2.51785E-07  4.12109E-15  1.47167E+02  3.58780E-09  1.3E-07
  6.000E-02  2.74156E-07  4.12012E-15  1.47132E+02  3.73606E-09  1.3E-07
  6.250E-02  2.97478E-07  4.11910E-15  1.47096E+02  3.88334E-09  1.3E-07
  6.500E-02  3.21752E-07  4.11805E-15  1.47058E+02  4.02961E-09  1.3E-07
  6.750E-02  3.46978E-07  4.11696E-15  1.47019E+02  4.17482E-09  1.3E-07
  7.000E-02  3.73156E-07  4.11583E-15  1.46979E+02  4.31893E-09  1.2E-07
  7.250E-02  4.00286E-07  4.11466E-15  1.46937E+02  4.46192E-09  1.2E-07
  7.500E-02  4.28368E-07  4.11345E-15  1.46894E+02  4.60372E-09  1.2E-07
  7.750E-02  4.57402E-07  4.11220E-15  1.46849E+02  4.74432E-09  1.2E-07
  8.000E-02  4.87388E-07  4.11091E-15  1.46803E+02  4.88367E-09  1.2E-07
  8.250E-02  5.18325E-07  4.10958E-15  1.46756E+02  5.02173E-09  1.2E-07
  8.500E-02  5.50215E-07  4.10821E-15  1.46707E+02  5.15847E-09  1.2E-07
  8.750E-02  5.83057E-07  4.10680E-15  1.46656E+02  5.29385E-09  1.2E-07
  9.000E-02  6.16850E-07  4.10535E-15  1.46605E+02  5.42783E-09  1.2E-07
  9.250E-02  6.51596E-07  4.10386E-15  1.46551E+02  5.56038E-09  1.2E-07
