 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+03 eV = 3.30744E+02 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical TFD model
 #                   A1 =  5.06491D-02 ,   ALPHA1 = 2.52626D+01
 #                   A2 =  4.01742D-01 ,   ALPHA2 = 4.82409D+00
 #                   A3 =  5.47609D-01 ,   ALPHA3 = 1.41708D+00
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 2.36511E+01
 #
 # Total elastic cross section = 2.01930E-17 cm**2 = 7.21105E-01 a0**2
 # 1st transport cross section = 3.70550E-19 cm**2 = 1.32326E-02 a0**2
 # 2nd transport cross section = 8.63835E-19 cm**2 = 3.08481E-02 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.30632E-15  1.18071E+02  0.00000E+00  3.1E-04
  1.000E-04  7.61557E-13  3.30632E-15  1.18071E+02  2.91793E-10  3.1E-04
  1.250E-04  1.18994E-12  3.30632E-15  1.18071E+02  3.64741E-10  3.1E-04
  1.500E-04  1.71346E-12  3.30632E-15  1.18071E+02  4.37689E-10  3.1E-04
  1.750E-04  2.33225E-12  3.30632E-15  1.18071E+02  5.10637E-10  3.1E-04
  2.000E-04  3.04617E-12  3.30632E-15  1.18071E+02  5.83585E-10  3.1E-04
  2.250E-04  3.85530E-12  3.30632E-15  1.18071E+02  6.56533E-10  3.1E-04
  2.500E-04  4.75964E-12  3.30632E-15  1.18071E+02  7.29481E-10  3.1E-04
  2.750E-04  5.75917E-12  3.30631E-15  1.18071E+02  8.02429E-10  3.1E-04
  3.000E-04  6.85391E-12  3.30631E-15  1.18071E+02  8.75377E-10  3.1E-04
  3.250E-04  8.04379E-12  3.30631E-15  1.18071E+02  9.48325E-10  3.1E-04
  3.500E-04  9.32893E-12  3.30631E-15  1.18071E+02  1.02127E-09  3.1E-04
  3.750E-04  1.07092E-11  3.30631E-15  1.18071E+02  1.09422E-09  3.1E-04
  4.000E-04  1.21847E-11  3.30631E-15  1.18071E+02  1.16717E-09  3.1E-04
