

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      1.19041023E+00      0.00000000E+00
       1      8.58478837E-01      8.74421514E-01
       2      6.94050052E-01      7.01554459E-01
       3      5.87943941E-01      5.92729440E-01
       4      5.11166425E-01      5.14615877E-01
       5      4.51939663E-01      4.54597160E-01
       6      4.04351539E-01      4.06486175E-01
       7      3.65023724E-01      3.66788088E-01
       8      3.31846835E-01      3.33335796E-01
       9      3.03415712E-01      3.04692311E-01
      10      2.78747020E-01      2.79855304E-01
      11      2.57125544E-01      2.58097518E-01
      12      2.38014802E-01      2.38874455E-01
      13      2.21002170E-01      2.21767943E-01
      14      2.05763669E-01      2.06450037E-01
      15      1.92040496E-01      1.92659017E-01
      16      1.79622874E-01      1.80182917E-01
      17      1.68338629E-01      1.68847883E-01
      18      1.58044914E-01      1.58509760E-01
      19      1.48622091E-01      1.49047870E-01
      20      1.39969116E-01      1.40360343E-01
      21      1.32000017E-01      1.32360532E-01
      22      1.24641151E-01      1.24974246E-01
      23      1.17829059E-01      1.18137571E-01
      24      1.11508752E-01      1.11795140E-01
      25      1.05632341E-01      1.05898748E-01
      26      1.00157925E-01      1.00406225E-01
      27      9.50486813E-02      9.52805251E-02
      28      9.02721244E-02      9.04889666E-02
      29      8.57994826E-02      8.60026126E-02
      30      8.16051846E-02      8.17957493E-02
      31      7.76664275E-02      7.78454498E-02
      32      7.39628123E-02      7.41312080E-02
      33      7.04760361E-02      7.06346272E-02
      34      6.71896295E-02      6.73391561E-02
      35      6.40887328E-02      6.42298631E-02
      36      6.11599037E-02      6.12932423E-02
      37      5.83909520E-02      5.85170476E-02
      38      5.57707965E-02      5.58901481E-02
      39      5.32893414E-02      5.34024039E-02
      40      5.09373683E-02      5.10445572E-02
      41      4.87064424E-02      4.88081381E-02
      42      4.65888304E-02      4.66853819E-02
      43      4.45774281E-02      4.46691562E-02
      44      4.26656976E-02      4.27528976E-02
      45      4.08476109E-02      4.09305551E-02
      46      3.91176007E-02      3.91965409E-02
      47      3.74705169E-02      3.75456861E-02
      48      3.59015877E-02      3.59732017E-02
      49      3.44063847E-02      3.44746441E-02
      50      3.29807927E-02      3.30458837E-02
      51      3.16209817E-02      3.16830781E-02
      52      3.03233828E-02      3.03826461E-02
      53      2.90846655E-02      2.91412469E-02
      54      2.79017185E-02      2.79557591E-02
      55      2.67716314E-02      2.68232633E-02
      56      2.56916787E-02      2.57410255E-02
      57      2.46593053E-02      2.47064831E-02
      58      2.36721134E-02      2.37172312E-02
      59      2.27278504E-02      2.27710104E-02
      60      2.18243980E-02      2.18656966E-02
      61      2.09597628E-02      2.09992905E-02
      62      2.01320666E-02      2.01699089E-02
      63      1.93395387E-02      1.93757762E-02
      64      1.85805085E-02      1.86152171E-02
      65      1.78533980E-02      1.78866496E-02
      66      1.71567164E-02      1.71885788E-02
      67      1.64890534E-02      1.65195908E-02
      68      1.58490747E-02      1.58783479E-02
      69      1.52355166E-02      1.52635832E-02
      70      1.46471818E-02      1.46740963E-02
      71      1.40829349E-02      1.41087491E-02
      72      1.35416991E-02      1.35664620E-02
      73      1.30224519E-02      1.30462102E-02
      74      1.25242227E-02      1.25470206E-02
      75      1.20460890E-02      1.20679685E-02
      76      1.15871739E-02      1.16081751E-02
      77      1.11466435E-02      1.11668043E-02
      78      1.07237041E-02      1.07430609E-02
      79      1.03176006E-02      1.03361877E-02
      80      9.92761371E-03      9.94546400E-03
      81      9.55305811E-03      9.57020286E-03
      82      9.19328088E-03      9.20974990E-03
      83      8.84765949E-03      8.86348119E-03
      84      8.51560022E-03      8.53080171E-03
      85      8.19653675E-03      8.21114389E-03
      86      7.88992855E-03      7.90396603E-03
      87      7.59525971E-03      7.60875108E-03
      88      7.31203758E-03      7.32500535E-03
      89      7.03979161E-03      7.05225728E-03
      90      6.77807223E-03      6.79005633E-03
      91      6.52644985E-03      6.53797201E-03
      92      6.28451376E-03      6.29559275E-03
      93      6.05187133E-03      6.06252508E-03
      94      5.82814705E-03      5.83839273E-03
      95      5.61298170E-03      5.62283573E-03  i
      96      5.40603161E-03      5.41550969E-03  i
      97      5.20696789E-03      5.21608506E-03  i
      98      5.01547572E-03      5.02424637E-03  i
      99      4.83125371E-03      4.83969162E-03  i
     100      4.65401329E-03      4.66213166E-03  i
     105      3.86325723E-03      3.86995716E-03  i
     110      3.21015046E-03      3.21568825E-03  i
     115      2.66995071E-03      2.67453423E-03  i
     120      2.22255686E-03      2.22635524E-03  i
     125      1.85158800E-03      1.85473928E-03  i
     130      1.54365893E-03      1.54627602E-03  i
     135      1.28780638E-03      1.28998189E-03  i
     140      1.07503175E-03      1.07684175E-03  i
     145      8.97935153E-04      8.99442243E-04  i
     150      7.50420939E-04      7.51676745E-04  i
     155      6.27460163E-04      6.28507301E-04  i
     160      5.24898088E-04      5.25771788E-04  i
     165      4.39297811E-04      4.40027235E-04  i
     170      3.67812943E-04      3.68422255E-04  i
     175      3.08083580E-04      3.08592826E-04  i
     180      2.58151218E-04      2.58577041E-04  i
     185      2.16388995E-04      2.16745226E-04  i
     190      1.81444365E-04      1.81742507E-04  i
     195      1.52191953E-04      1.52441582E-04  i
     200      1.27694708E-04      1.27903799E-04  i
     205      1.07171852E-04      1.07347053E-04  i
     210      8.99723934E-05      9.01192487E-05  i
     215      7.55532212E-05      7.56763580E-05  i
     220      6.34609714E-05      6.35642533E-05  i
     225      5.33169935E-05      5.34036480E-05  i
     230      4.48048773E-05      4.48776022E-05  i
     235      3.76600959E-05      3.77211472E-05  i
     240      3.16613977E-05      3.17126626E-05  i
     245      2.66236477E-05      2.66667058E-05  i
     250      2.23918691E-05      2.24280428E-05  i
     255      1.88362806E-05      1.88666777E-05  i
     260      1.58481606E-05      1.58737092E-05  i
     265      1.33363982E-05      1.33578762E-05  i
     270      1.12246148E-05      1.12426744E-05  i
     275      9.44876207E-06      9.46395040E-06  i
     280      7.95511521E-06      7.96789113E-06  i
     285      6.69859575E-06      6.70934439E-06  i
     290      5.64136974E-06      5.65041435E-06  i
     295      4.75167512E-06      4.75928715E-06  i
     300      4.00284044E-06      4.00924782E-06  i
     310      2.84172397E-06      2.84626592E-06  i
     320      2.01841754E-06      2.02163907E-06  i
     330      1.43430872E-06      1.43659494E-06  i
     340      1.01968246E-06      1.02130575E-06  i
     350      7.25215496E-07      7.26368660E-07  i
     360      5.15987275E-07      5.16806818E-07  i
     370      3.67258208E-07      3.67840900E-07  i
     380      2.61490642E-07      2.61905103E-07  i
     390      1.86245199E-07      1.86540127E-07  i
     400      1.32693891E-07      1.32903835E-07  i
     410      9.45685549E-08      9.47180338E-08  i
     420      6.74164612E-08      6.75229451E-08  i
     430      4.80735810E-08      4.81494519E-08  i
