 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.30000E+04 eV = 4.77741E+02 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical DHFS model
 #                   A1 =  5.15971D-01 ,   ALPHA1 = 5.84918D+00
 #                   A2 =  4.84029D-01 ,   ALPHA2 = 1.17314D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.58744E-17 cm**2 = 5.66886E-01 a0**2
 # 1st transport cross section = 1.91700E-19 cm**2 = 6.84575E-03 a0**2
 # 2nd transport cross section = 4.55540E-19 cm**2 = 1.62676E-02 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.96959E-15  1.06046E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.96959E-15  1.06046E+02  1.88516E-10  1.0E-07
  1.250E-04  1.18994E-12  2.96959E-15  1.06046E+02  2.35645E-10  1.0E-07
  1.500E-04  1.71346E-12  2.96959E-15  1.06046E+02  2.82773E-10  1.0E-07
  1.750E-04  2.33225E-12  2.96959E-15  1.06046E+02  3.29902E-10  1.0E-07
  2.000E-04  3.04617E-12  2.96959E-15  1.06046E+02  3.77031E-10  1.0E-07
  2.250E-04  3.85530E-12  2.96959E-15  1.06046E+02  4.24160E-10  1.0E-07
  2.500E-04  4.75964E-12  2.96959E-15  1.06046E+02  4.71289E-10  1.0E-07
  2.750E-04  5.75917E-12  2.96959E-15  1.06046E+02  5.18418E-10  1.0E-07
  3.000E-04  6.85391E-12  2.96959E-15  1.06046E+02  5.65547E-10  1.0E-07
  3.250E-04  8.04379E-12  2.96959E-15  1.06046E+02  6.12676E-10  1.0E-07
  3.500E-04  9.32893E-12  2.96959E-15  1.06046E+02  6.59805E-10  1.0E-07
  3.750E-04  1.07092E-11  2.96959E-15  1.06046E+02  7.06934E-10  1.0E-07
  4.000E-04  1.21847E-11  2.96959E-15  1.06046E+02  7.54063E-10  1.0E-07
  4.250E-04  1.37554E-11  2.96959E-15  1.06046E+02  8.01192E-10  1.0E-07
