 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.50000E+02 eV = 5.51240E+00 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical DHFS model
 #                   A1 =  5.15971D-01 ,   ALPHA1 = 5.84918D+00
 #                   A2 =  4.84029D-01 ,   ALPHA2 = 1.17314D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 2.50000E+00
 #
 # Total elastic cross section = 6.22494E-16 cm**2 = 2.22297E+01 a0**2
 # 1st transport cross section = 1.62480E-16 cm**2 = 5.80225E+00 a0**2
 # 2nd transport cross section = 1.57714E-16 cm**2 = 5.63208E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.71043E-15  2.39634E+02  0.00000E+00  9.9E-07
  1.000E-04  7.61557E-13  6.71043E-15  2.39634E+02  1.34150E-11  9.9E-07
  1.250E-04  1.18994E-12  6.71043E-15  2.39634E+02  1.67688E-11  9.9E-07
  1.500E-04  1.71346E-12  6.71043E-15  2.39634E+02  2.01225E-11  9.9E-07
  1.750E-04  2.33225E-12  6.71043E-15  2.39634E+02  2.34763E-11  9.9E-07
  2.000E-04  3.04617E-12  6.71043E-15  2.39634E+02  2.68300E-11  9.9E-07
  2.250E-04  3.85530E-12  6.71043E-15  2.39634E+02  3.01838E-11  9.9E-07
  2.500E-04  4.75964E-12  6.71043E-15  2.39634E+02  3.35376E-11  9.9E-07
  2.750E-04  5.75917E-12  6.71043E-15  2.39634E+02  3.68913E-11  9.9E-07
  3.000E-04  6.85391E-12  6.71043E-15  2.39634E+02  4.02451E-11  9.9E-07
  3.250E-04  8.04379E-12  6.71043E-15  2.39634E+02  4.35988E-11  9.9E-07
  3.500E-04  9.32893E-12  6.71043E-15  2.39634E+02  4.69526E-11  9.9E-07
  3.750E-04  1.07092E-11  6.71043E-15  2.39634E+02  5.03063E-11  9.9E-07
  4.000E-04  1.21847E-11  6.71043E-15  2.39634E+02  5.36601E-11  9.9E-07
