 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.00000E+03 eV = 1.10248E+02 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical DHFS model
 #                   A1 =  5.15971D-01 ,   ALPHA1 = 5.84918D+00
 #                   A2 =  4.84029D-01 ,   ALPHA2 = 1.17314D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 1.35785E+01
 #
 # Total elastic cross section = 5.80589E-17 cm**2 = 2.07332E+00 a0**2
 # 1st transport cross section = 2.35436E-18 cm**2 = 8.40756E-02 a0**2
 # 2nd transport cross section = 4.84244E-18 cm**2 = 1.72927E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.09250E-15  1.81856E+02  0.00000E+00  3.7E-05
  1.000E-04  7.61557E-13  5.09250E-15  1.81856E+02  2.15601E-10  3.7E-05
  1.250E-04  1.18994E-12  5.09250E-15  1.81856E+02  2.69501E-10  3.7E-05
  1.500E-04  1.71346E-12  5.09250E-15  1.81856E+02  3.23401E-10  3.7E-05
  1.750E-04  2.33225E-12  5.09250E-15  1.81856E+02  3.77301E-10  3.7E-05
  2.000E-04  3.04617E-12  5.09250E-15  1.81856E+02  4.31201E-10  3.7E-05
  2.250E-04  3.85530E-12  5.09250E-15  1.81856E+02  4.85101E-10  3.7E-05
  2.500E-04  4.75964E-12  5.09249E-15  1.81856E+02  5.39001E-10  3.7E-05
  2.750E-04  5.75917E-12  5.09249E-15  1.81856E+02  5.92902E-10  3.7E-05
  3.000E-04  6.85391E-12  5.09249E-15  1.81856E+02  6.46802E-10  3.7E-05
  3.250E-04  8.04379E-12  5.09249E-15  1.81856E+02  7.00702E-10  3.7E-05
  3.500E-04  9.32893E-12  5.09249E-15  1.81856E+02  7.54602E-10  3.7E-05
  3.750E-04  1.07092E-11  5.09249E-15  1.81856E+02  8.08502E-10  3.7E-05
  4.000E-04  1.21847E-11  5.09249E-15  1.81856E+02  8.62402E-10  3.7E-05
