 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+02 eV = 2.93995E+01 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical DHFS model
 #                   A1 =  5.15971D-01 ,   ALPHA1 = 5.84918D+00
 #                   A2 =  4.84029D-01 ,   ALPHA2 = 1.17314D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 6.84653E+00
 #
 # Total elastic cross section = 1.65453E-16 cm**2 = 5.90845E+00 a0**2
 # 1st transport cross section = 1.81052E-17 cm**2 = 6.46550E-01 a0**2
 # 2nd transport cross section = 2.80960E-17 cm**2 = 1.00333E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.62132E-15  2.00741E+02  0.00000E+00  6.2E-07
  1.000E-04  7.61557E-13  5.62132E-15  2.00741E+02  4.65316E-12  6.2E-07
  1.250E-04  1.18994E-12  5.62132E-15  2.00741E+02  5.81645E-12  6.2E-07
  1.500E-04  1.71346E-12  5.62132E-15  2.00741E+02  6.97974E-12  6.2E-07
  1.750E-04  2.33225E-12  5.62132E-15  2.00741E+02  8.14303E-12  6.2E-07
  2.000E-04  3.04617E-12  5.62132E-15  2.00741E+02  9.30632E-12  6.2E-07
  2.250E-04  3.85530E-12  5.62132E-15  2.00741E+02  1.04696E-11  6.2E-07
  2.500E-04  4.75964E-12  5.62132E-15  2.00741E+02  1.16329E-11  6.2E-07
  2.750E-04  5.75917E-12  5.62132E-15  2.00741E+02  1.27962E-11  6.2E-07
  3.000E-04  6.85391E-12  5.62132E-15  2.00741E+02  1.39595E-11  6.2E-07
  3.250E-04  8.04379E-12  5.62132E-15  2.00741E+02  1.51228E-11  6.2E-07
  3.500E-04  9.32893E-12  5.62132E-15  2.00741E+02  1.62860E-11  6.2E-07
  3.750E-04  1.07092E-11  5.62132E-15  2.00741E+02  1.74493E-11  6.2E-07
  4.000E-04  1.21847E-11  5.62132E-15  2.00741E+02  1.86126E-11  6.2E-07
  4.250E-04  1.37554E-11  5.62132E-15  2.00741E+02  1.97759E-11  6.2E-07
  4.500E-04  1.54213E-11  5.62132E-15  2.00741E+02  2.09392E-11  6.2E-07
  4.750E-04  1.71823E-11  5.62132E-15  2.00741E+02  2.21025E-11  6.2E-07
  5.000E-04  1.90386E-11  5.62132E-15  2.00741E+02  2.32658E-11  6.2E-07
  5.250E-04  2.09900E-11  5.62132E-15  2.00741E+02  2.44290E-11  6.2E-07
  5.500E-04  2.30367E-11  5.62132E-15  2.00741E+02  2.55923E-11  6.2E-07
  5.750E-04  2.51785E-11  5.62132E-15  2.00741E+02  2.67556E-11  6.2E-07
  6.000E-04  2.74156E-11  5.62132E-15  2.00741E+02  2.79189E-11  6.2E-07
  6.250E-04  2.97478E-11  5.62132E-15  2.00741E+02  2.90822E-11  6.2E-07
  6.500E-04  3.21752E-11  5.62132E-15  2.00741E+02  3.02454E-11  6.2E-07
  6.750E-04  3.46979E-11  5.62132E-15  2.00741E+02  3.14087E-11  6.2E-07
  7.000E-04  3.73157E-11  5.62132E-15  2.00741E+02  3.25720E-11  6.2E-07
  7.250E-04  4.00286E-11  5.62132E-15  2.00741E+02  3.37353E-11  6.2E-07
  7.500E-04  4.28368E-11  5.62132E-15  2.00741E+02  3.48985E-11  6.2E-07
  7.750E-04  4.57402E-11  5.62131E-15  2.00741E+02  3.60618E-11  6.2E-07
  8.000E-04  4.87388E-11  5.62131E-15  2.00741E+02  3.72251E-11  6.2E-07
  8.250E-04  5.18325E-11  5.62131E-15  2.00741E+02  3.83884E-11  6.2E-07
