 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical DHFS model
 #                   A1 =  5.15971D-01 ,   ALPHA1 = 5.84918D+00
 #                   A2 =  4.84029D-01 ,   ALPHA2 = 1.17314D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 2.22907E+01
 #
 # Total elastic cross section = 2.48433E-17 cm**2 = 8.87169E-01 a0**2
 # 1st transport cross section = 4.48570E-19 cm**2 = 1.60187E-02 a0**2
 # 2nd transport cross section = 1.02890E-18 cm**2 = 3.67427E-02 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.77347E-15  1.70464E+02  0.00000E+00  3.0E-04
  1.000E-04  7.61557E-13  4.77347E-15  1.70464E+02  2.39388E-10  3.0E-04
  1.250E-04  1.18994E-12  4.77347E-15  1.70464E+02  2.99235E-10  3.0E-04
  1.500E-04  1.71346E-12  4.77347E-15  1.70464E+02  3.59082E-10  3.0E-04
  1.750E-04  2.33225E-12  4.77347E-15  1.70464E+02  4.18929E-10  3.0E-04
  2.000E-04  3.04617E-12  4.77347E-15  1.70464E+02  4.78775E-10  3.0E-04
  2.250E-04  3.85530E-12  4.77347E-15  1.70464E+02  5.38622E-10  3.0E-04
  2.500E-04  4.75964E-12  4.77347E-15  1.70464E+02  5.98469E-10  3.0E-04
  2.750E-04  5.75917E-12  4.77347E-15  1.70464E+02  6.58316E-10  3.0E-04
  3.000E-04  6.85391E-12  4.77347E-15  1.70464E+02  7.18163E-10  3.0E-04
  3.250E-04  8.04379E-12  4.77347E-15  1.70464E+02  7.78010E-10  3.0E-04
  3.500E-04  9.32893E-12  4.77346E-15  1.70464E+02  8.37856E-10  3.0E-04
  3.750E-04  1.07092E-11  4.77346E-15  1.70463E+02  8.97703E-10  3.0E-04
  4.000E-04  1.21847E-11  4.77346E-15  1.70463E+02  9.57550E-10  3.0E-04
  4.250E-04  1.37554E-11  4.77346E-15  1.70463E+02  1.01740E-09  3.0E-04
  4.500E-04  1.54213E-11  4.77346E-15  1.70463E+02  1.07724E-09  3.0E-04
  4.750E-04  1.71823E-11  4.77346E-15  1.70463E+02  1.13709E-09  3.0E-04
  5.000E-04  1.90386E-11  4.77346E-15  1.70463E+02  1.19694E-09  3.0E-04
  5.250E-04  2.09900E-11  4.77346E-15  1.70463E+02  1.25678E-09  3.0E-04
  5.500E-04  2.30367E-11  4.77346E-15  1.70463E+02  1.31663E-09  3.0E-04
  5.750E-04  2.51785E-11  4.77346E-15  1.70463E+02  1.37648E-09  3.0E-04
  6.000E-04  2.74156E-11  4.77346E-15  1.70463E+02  1.43632E-09  3.0E-04
  6.250E-04  2.97478E-11  4.77346E-15  1.70463E+02  1.49617E-09  3.0E-04
  6.500E-04  3.21752E-11  4.77346E-15  1.70463E+02  1.55601E-09  3.0E-04
  6.750E-04  3.46979E-11  4.77345E-15  1.70463E+02  1.61586E-09  3.0E-04
  7.000E-04  3.73157E-11  4.77345E-15  1.70463E+02  1.67571E-09  3.0E-04
  7.250E-04  4.00286E-11  4.77345E-15  1.70463E+02  1.73555E-09  3.0E-04
  7.500E-04  4.28368E-11  4.77345E-15  1.70463E+02  1.79540E-09  3.0E-04
  7.750E-04  4.57402E-11  4.77345E-15  1.70463E+02  1.85525E-09  3.0E-04
  8.000E-04  4.87388E-11  4.77345E-15  1.70463E+02  1.91509E-09  3.0E-04
  8.250E-04  5.18325E-11  4.77345E-15  1.70463E+02  1.97494E-09  3.0E-04
  8.500E-04  5.50215E-11  4.77345E-15  1.70463E+02  2.03478E-09  3.0E-04
  8.750E-04  5.83057E-11  4.77345E-15  1.70463E+02  2.09463E-09  3.0E-04
  9.000E-04  6.16850E-11  4.77344E-15  1.70463E+02  2.15447E-09  3.0E-04
  9.250E-04  6.51595E-11  4.77344E-15  1.70463E+02  2.21432E-09  3.0E-04
