 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+02 eV = 3.67493E+00 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file z_014.den   
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 1.76777E+00
 #
 # Total elastic cross section = 9.70902E-16 cm**2 = 3.46716E+01 a0**2
 # 1st transport cross section = 2.70421E-16 cm**2 = 9.65691E+00 a0**2
 # 2nd transport cross section = 2.66790E-16 cm**2 = 9.52724E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.44193E-15  2.65756E+02  0.00000E+00  4.6E-06
  1.000E-04  7.61557E-13  7.44193E-15  2.65756E+02  3.78597E-10  4.6E-06
  1.250E-04  1.18994E-12  7.44193E-15  2.65756E+02  4.73246E-10  4.6E-06
  1.500E-04  1.71346E-12  7.44193E-15  2.65756E+02  5.67895E-10  4.6E-06
  1.750E-04  2.33225E-12  7.44193E-15  2.65756E+02  6.62544E-10  4.6E-06
  2.000E-04  3.04617E-12  7.44193E-15  2.65756E+02  7.57193E-10  4.6E-06
  2.250E-04  3.85530E-12  7.44193E-15  2.65756E+02  8.51842E-10  4.6E-06
  2.500E-04  4.75964E-12  7.44193E-15  2.65756E+02  9.46492E-10  4.6E-06
  2.750E-04  5.75917E-12  7.44193E-15  2.65756E+02  1.04114E-09  4.6E-06
  3.000E-04  6.85391E-12  7.44193E-15  2.65756E+02  1.13579E-09  4.6E-06
  3.250E-04  8.04379E-12  7.44193E-15  2.65756E+02  1.23044E-09  4.6E-06
  3.500E-04  9.32893E-12  7.44193E-15  2.65756E+02  1.32509E-09  4.6E-06
  3.750E-04  1.07092E-11  7.44193E-15  2.65756E+02  1.41974E-09  4.6E-06
  4.000E-04  1.21847E-11  7.44193E-15  2.65756E+02  1.51439E-09  4.6E-06
  4.250E-04  1.37554E-11  7.44193E-15  2.65756E+02  1.60904E-09  4.6E-06
  4.500E-04  1.54213E-11  7.44193E-15  2.65756E+02  1.70368E-09  4.6E-06
  4.750E-04  1.71823E-11  7.44193E-15  2.65756E+02  1.79833E-09  4.6E-06
  5.000E-04  1.90386E-11  7.44193E-15  2.65756E+02  1.89298E-09  4.6E-06
  5.250E-04  2.09900E-11  7.44193E-15  2.65756E+02  1.98763E-09  4.6E-06
  5.500E-04  2.30367E-11  7.44193E-15  2.65756E+02  2.08228E-09  4.6E-06
  5.750E-04  2.51785E-11  7.44193E-15  2.65756E+02  2.17693E-09  4.6E-06
  6.000E-04  2.74156E-11  7.44193E-15  2.65756E+02  2.27158E-09  4.6E-06
  6.250E-04  2.97478E-11  7.44193E-15  2.65756E+02  2.36623E-09  4.6E-06
  6.500E-04  3.21752E-11  7.44193E-15  2.65756E+02  2.46088E-09  4.6E-06
  6.750E-04  3.46979E-11  7.44193E-15  2.65756E+02  2.55553E-09  4.6E-06
  7.000E-04  3.73157E-11  7.44193E-15  2.65756E+02  2.65018E-09  4.6E-06
  7.250E-04  4.00286E-11  7.44193E-15  2.65756E+02  2.74483E-09  4.6E-06
  7.500E-04  4.28368E-11  7.44193E-15  2.65756E+02  2.83947E-09  4.6E-06
  7.750E-04  4.57402E-11  7.44193E-15  2.65756E+02  2.93412E-09  4.6E-06
  8.000E-04  4.87388E-11  7.44193E-15  2.65756E+02  3.02877E-09  4.6E-06
  8.250E-04  5.18325E-11  7.44193E-15  2.65756E+02  3.12342E-09  4.6E-06
  8.500E-04  5.50215E-11  7.44193E-15  2.65756E+02  3.21807E-09  4.6E-06
  8.750E-04  5.83057E-11  7.44193E-15  2.65756E+02  3.31272E-09  4.6E-06
  9.000E-04  6.16850E-11  7.44193E-15  2.65756E+02  3.40737E-09  4.6E-06
  9.250E-04  6.51595E-11  7.44193E-15  2.65756E+02  3.50202E-09  4.6E-06
  9.500E-04  6.87293E-11  7.44193E-15  2.65756E+02  3.59667E-09  4.6E-06
  9.750E-04  7.23943E-11  7.44193E-15  2.65756E+02  3.69132E-09  4.6E-06
  1.000E-03  7.61544E-11  7.44193E-15  2.65756E+02  3.78597E-09  4.6E-06
  1.250E-03  1.18991E-10  7.44193E-15  2.65756E+02  4.73246E-09  4.6E-06
  1.500E-03  1.71347E-10  7.44193E-15  2.65756E+02  5.67895E-09  4.6E-06
  1.750E-03  2.33223E-10  7.44193E-15  2.65756E+02  6.62544E-09  4.6E-06
  2.000E-03  3.04617E-10  7.44193E-15  2.65756E+02  7.57193E-09  4.6E-06
  2.250E-03  3.85531E-10  7.44193E-15  2.65756E+02  8.51842E-09  4.6E-06
  2.500E-03  4.75965E-10  7.44193E-15  2.65756E+02  9.46492E-09  4.6E-06
  2.750E-03  5.75917E-10  7.44193E-15  2.65756E+02  1.04114E-08  4.6E-06
  3.000E-03  6.85389E-10  7.44193E-15  2.65756E+02  1.13579E-08  4.6E-06
  3.250E-03  8.04380E-10  7.44193E-15  2.65756E+02  1.23044E-08  4.6E-06
  3.500E-03  9.32891E-10  7.44192E-15  2.65756E+02  1.32509E-08  4.6E-06
  3.750E-03  1.07092E-09  7.44192E-15  2.65756E+02  1.41974E-08  4.6E-06
  4.000E-03  1.21847E-09  7.44192E-15  2.65756E+02  1.51439E-08  4.6E-06
  4.250E-03  1.37554E-09  7.44192E-15  2.65756E+02  1.60904E-08  4.6E-06
  4.500E-03  1.54213E-09  7.44192E-15  2.65756E+02  1.70369E-08  4.6E-06
  4.750E-03  1.71823E-09  7.44192E-15  2.65756E+02  1.79833E-08  4.6E-06
  5.000E-03  1.90386E-09  7.44192E-15  2.65756E+02  1.89298E-08  4.6E-06
  5.250E-03  2.09900E-09  7.44191E-15  2.65756E+02  1.98763E-08  4.6E-06
  5.500E-03  2.30367E-09  7.44191E-15  2.65756E+02  2.08228E-08  4.6E-06
  5.750E-03  2.51785E-09  7.44191E-15  2.65755E+02  2.17693E-08  4.6E-06
  6.000E-03  2.74156E-09  7.44191E-15  2.65755E+02  2.27158E-08  4.6E-06
  6.250E-03  2.97478E-09  7.44191E-15  2.65755E+02  2.36623E-08  4.6E-06
  6.500E-03  3.21752E-09  7.44191E-15  2.65755E+02  2.46088E-08  4.6E-06
  6.750E-03  3.46978E-09  7.44190E-15  2.65755E+02  2.55553E-08  4.6E-06
  7.000E-03  3.73156E-09  7.44190E-15  2.65755E+02  2.65018E-08  4.6E-06
  7.250E-03  4.00286E-09  7.44190E-15  2.65755E+02  2.74483E-08  4.6E-06
  7.500E-03  4.28368E-09  7.44190E-15  2.65755E+02  2.83948E-08  4.6E-06
  7.750E-03  4.57402E-09  7.44190E-15  2.65755E+02  2.93413E-08  4.6E-06
  8.000E-03  4.87388E-09  7.44189E-15  2.65755E+02  3.02878E-08  4.6E-06
  8.250E-03  5.18326E-09  7.44189E-15  2.65755E+02  3.12343E-08  4.6E-06
  8.500E-03  5.50215E-09  7.44189E-15  2.65755E+02  3.21808E-08  4.6E-06
  8.750E-03  5.83057E-09  7.44189E-15  2.65755E+02  3.31273E-08  4.6E-06
  9.000E-03  6.16850E-09  7.44188E-15  2.65754E+02  3.40738E-08  4.6E-06
  9.250E-03  6.51596E-09  7.44188E-15  2.65754E+02  3.50203E-08  4.6E-06
  9.500E-03  6.87293E-09  7.44188E-15  2.65754E+02  3.59668E-08  4.6E-06
  9.750E-03  7.23942E-09  7.44187E-15  2.65754E+02  3.69133E-08  4.6E-06
  1.000E-02  7.61544E-09  7.44187E-15  2.65754E+02  3.78598E-08  4.6E-06
  1.250E-02  1.18991E-08  7.44184E-15  2.65753E+02  4.73248E-08  4.6E-06
  1.500E-02  1.71347E-08  7.44180E-15  2.65751E+02  5.67898E-08  4.5E-06
  1.750E-02  2.33223E-08  7.44175E-15  2.65750E+02  6.62549E-08  4.5E-06
  2.000E-02  3.04617E-08  7.44169E-15  2.65748E+02  7.57201E-08  4.5E-06
  2.250E-02  3.85531E-08  7.44163E-15  2.65745E+02  8.51853E-08  4.5E-06
  2.500E-02  4.75965E-08  7.44156E-15  2.65743E+02  9.46506E-08  4.5E-06
  2.750E-02  5.75917E-08  7.44148E-15  2.65740E+02  1.04116E-07  4.5E-06
  3.000E-02  6.85389E-08  7.44139E-15  2.65737E+02  1.13581E-07  4.5E-06
  3.250E-02  8.04380E-08  7.44130E-15  2.65734E+02  1.23047E-07  4.5E-06
  3.500E-02  9.32891E-08  7.44120E-15  2.65730E+02  1.32513E-07  4.5E-06
  3.750E-02  1.07092E-07  7.44109E-15  2.65726E+02  1.41979E-07  4.5E-06
  4.000E-02  1.21847E-07  7.44097E-15  2.65722E+02  1.51445E-07  4.5E-06
  4.250E-02  1.37554E-07  7.44085E-15  2.65718E+02  1.60911E-07  4.5E-06
  4.500E-02  1.54213E-07  7.44072E-15  2.65713E+02  1.70377E-07  4.5E-06
  4.750E-02  1.71823E-07  7.44058E-15  2.65708E+02  1.79843E-07  4.5E-06
  5.000E-02  1.90386E-07  7.44043E-15  2.65703E+02  1.89310E-07  4.5E-06
  5.250E-02  2.09900E-07  7.44028E-15  2.65697E+02  1.98777E-07  4.5E-06
  5.500E-02  2.30367E-07  7.44012E-15  2.65692E+02  2.08243E-07  4.5E-06
  5.750E-02  2.51785E-07  7.43995E-15  2.65686E+02  2.17711E-07  4.5E-06
  6.000E-02  2.74156E-07  7.43978E-15  2.65679E+02  2.27178E-07  4.5E-06
  6.250E-02  2.97478E-07  7.43959E-15  2.65673E+02  2.36645E-07  4.5E-06
  6.500E-02  3.21752E-07  7.43940E-15  2.65666E+02  2.46113E-07  4.5E-06
  6.750E-02  3.46978E-07  7.43920E-15  2.65659E+02  2.55581E-07  4.5E-06
  7.000E-02  3.73156E-07  7.43900E-15  2.65651E+02  2.65049E-07  4.5E-06
  7.250E-02  4.00286E-07  7.43879E-15  2.65644E+02  2.74518E-07  4.5E-06
  7.500E-02  4.28368E-07  7.43856E-15  2.65636E+02  2.83986E-07  4.5E-06
  7.750E-02  4.57402E-07  7.43834E-15  2.65628E+02  2.93455E-07  4.5E-06
  8.000E-02  4.87388E-07  7.43810E-15  2.65619E+02  3.02924E-07  4.5E-06
  8.250E-02  5.18325E-07  7.43786E-15  2.65611E+02  3.12394E-07  4.5E-06
  8.500E-02  5.50215E-07  7.43761E-15  2.65602E+02  3.21864E-07  4.5E-06
  8.750E-02  5.83057E-07  7.43735E-15  2.65593E+02  3.31334E-07  4.5E-06
  9.000E-02  6.16850E-07  7.43709E-15  2.65583E+02  3.40804E-07  4.5E-06
  9.250E-02  6.51596E-07  7.43681E-15  2.65573E+02  3.50275E-07  4.5E-06
  9.500E-02  6.87293E-07  7.43653E-15  2.65563E+02  3.59746E-07  4.5E-06
  9.750E-02  7.23942E-07  7.43624E-15  2.65553E+02  3.69217E-07  4.5E-06
  1.000E-01  7.61543E-07  7.43595E-15  2.65543E+02  3.78689E-07  4.5E-06
  1.250E-01  1.18991E-06  7.43259E-15  2.65423E+02  4.73426E-07  4.4E-06
  1.500E-01  1.71347E-06  7.42850E-15  2.65277E+02  5.68205E-07  4.4E-06
  1.750E-01  2.33223E-06  7.42367E-15  2.65104E+02  6.63037E-07  4.3E-06
  2.000E-01  3.04617E-06  7.41812E-15  2.64906E+02  7.57928E-07  4.2E-06
  2.250E-01  3.85531E-06  7.41184E-15  2.64682E+02  8.52887E-07  4.1E-06
  2.500E-01  4.75964E-06  7.40485E-15  2.64432E+02  9.47923E-07  4.0E-06
  2.750E-01  5.75916E-06  7.39716E-15  2.64157E+02  1.04304E-06  3.9E-06
  3.000E-01  6.85388E-06  7.38877E-15  2.63858E+02  1.13826E-06  3.8E-06
  3.250E-01  8.04378E-06  7.37969E-15  2.63534E+02  1.23357E-06  3.7E-06
  3.500E-01  9.32888E-06  7.36994E-15  2.63185E+02  1.32899E-06  3.5E-06
  3.750E-01  1.07092E-05  7.35952E-15  2.62813E+02  1.42453E-06  3.4E-06
  4.000E-01  1.21846E-05  7.34844E-15  2.62418E+02  1.52019E-06  3.2E-06
  4.250E-01  1.37553E-05  7.33673E-15  2.61999E+02  1.61598E-06  3.1E-06
  4.500E-01  1.54212E-05  7.32438E-15  2.61558E+02  1.71190E-06  2.9E-06
