 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.40000E+04 eV = 8.81984E+02 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file z_014.den   
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 9.80025E-18 cm**2 = 3.49973E-01 a0**2
 # 1st transport cross section = 6.54192E-20 cm**2 = 2.33616E-03 a0**2
 # 2nd transport cross section = 1.61464E-19 cm**2 = 5.76598E-03 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.55829E-15  1.27069E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  3.55829E-15  1.27069E+02  1.42817E-10  1.0E-07
  1.250E-04  1.18994E-12  3.55829E-15  1.27069E+02  1.78522E-10  1.0E-07
  1.500E-04  1.71346E-12  3.55829E-15  1.27069E+02  2.14226E-10  1.0E-07
  1.750E-04  2.33225E-12  3.55829E-15  1.27069E+02  2.49930E-10  1.0E-07
  2.000E-04  3.04617E-12  3.55829E-15  1.27069E+02  2.85635E-10  1.0E-07
  2.250E-04  3.85530E-12  3.55829E-15  1.27069E+02  3.21339E-10  1.0E-07
  2.500E-04  4.75964E-12  3.55829E-15  1.27069E+02  3.57044E-10  1.0E-07
  2.750E-04  5.75917E-12  3.55829E-15  1.27069E+02  3.92748E-10  1.0E-07
  3.000E-04  6.85391E-12  3.55829E-15  1.27069E+02  4.28452E-10  1.0E-07
  3.250E-04  8.04379E-12  3.55829E-15  1.27069E+02  4.64157E-10  1.0E-07
  3.500E-04  9.32893E-12  3.55829E-15  1.27069E+02  4.99861E-10  1.0E-07
  3.750E-04  1.07092E-11  3.55829E-15  1.27069E+02  5.35565E-10  1.0E-07
  4.000E-04  1.21847E-11  3.55829E-15  1.27069E+02  5.71270E-10  1.0E-07
  4.250E-04  1.37554E-11  3.55829E-15  1.27069E+02  6.06974E-10  1.0E-07
  4.500E-04  1.54213E-11  3.55829E-15  1.27069E+02  6.42678E-10  1.0E-07
  4.750E-04  1.71823E-11  3.55829E-15  1.27069E+02  6.78383E-10  1.0E-07
  5.000E-04  1.90386E-11  3.55829E-15  1.27069E+02  7.14087E-10  1.0E-07
  5.250E-04  2.09900E-11  3.55829E-15  1.27069E+02  7.49792E-10  1.0E-07
  5.500E-04  2.30367E-11  3.55829E-15  1.27069E+02  7.85496E-10  1.0E-07
  5.750E-04  2.51785E-11  3.55829E-15  1.27069E+02  8.21200E-10  1.0E-07
  6.000E-04  2.74156E-11  3.55829E-15  1.27069E+02  8.56905E-10  1.0E-07
  6.250E-04  2.97478E-11  3.55829E-15  1.27069E+02  8.92609E-10  1.0E-07
  6.500E-04  3.21752E-11  3.55829E-15  1.27069E+02  9.28313E-10  1.0E-07
  6.750E-04  3.46979E-11  3.55829E-15  1.27069E+02  9.64018E-10  1.0E-07
  7.000E-04  3.73157E-11  3.55829E-15  1.27069E+02  9.99722E-10  1.0E-07
  7.250E-04  4.00286E-11  3.55829E-15  1.27069E+02  1.03543E-09  1.0E-07
  7.500E-04  4.28368E-11  3.55829E-15  1.27069E+02  1.07113E-09  1.0E-07
  7.750E-04  4.57402E-11  3.55829E-15  1.27069E+02  1.10684E-09  1.0E-07
  8.000E-04  4.87388E-11  3.55829E-15  1.27069E+02  1.14254E-09  1.0E-07
  8.250E-04  5.18325E-11  3.55829E-15  1.27069E+02  1.17824E-09  1.0E-07
  8.500E-04  5.50215E-11  3.55829E-15  1.27069E+02  1.21395E-09  1.0E-07
  8.750E-04  5.83057E-11  3.55829E-15  1.27069E+02  1.24965E-09  1.0E-07
  9.000E-04  6.16850E-11  3.55829E-15  1.27069E+02  1.28536E-09  1.0E-07
