 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+03 eV = 1.65372E+02 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file z_014.den   
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 1.66771E+01
 #
 # Total elastic cross section = 4.40692E-17 cm**2 = 1.57374E+00 a0**2
 # 1st transport cross section = 1.22236E-18 cm**2 = 4.36512E-02 a0**2
 # 2nd transport cross section = 2.67573E-18 cm**2 = 9.55520E-02 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.45862E-15  1.94931E+02  0.00000E+00  3.7E-04
  1.000E-04  7.61557E-13  5.45862E-15  1.94931E+02  2.25440E-10  3.7E-04
  1.250E-04  1.18994E-12  5.45862E-15  1.94931E+02  2.81800E-10  3.7E-04
  1.500E-04  1.71346E-12  5.45862E-15  1.94931E+02  3.38161E-10  3.7E-04
  1.750E-04  2.33225E-12  5.45862E-15  1.94931E+02  3.94521E-10  3.7E-04
  2.000E-04  3.04617E-12  5.45862E-15  1.94931E+02  4.50881E-10  3.7E-04
  2.250E-04  3.85530E-12  5.45862E-15  1.94931E+02  5.07241E-10  3.7E-04
  2.500E-04  4.75964E-12  5.45862E-15  1.94931E+02  5.63601E-10  3.7E-04
  2.750E-04  5.75917E-12  5.45862E-15  1.94931E+02  6.19961E-10  3.7E-04
  3.000E-04  6.85391E-12  5.45862E-15  1.94931E+02  6.76321E-10  3.7E-04
  3.250E-04  8.04379E-12  5.45862E-15  1.94931E+02  7.32681E-10  3.7E-04
  3.500E-04  9.32893E-12  5.45862E-15  1.94931E+02  7.89041E-10  3.7E-04
  3.750E-04  1.07092E-11  5.45862E-15  1.94931E+02  8.45401E-10  3.7E-04
  4.000E-04  1.21847E-11  5.45862E-15  1.94931E+02  9.01761E-10  3.7E-04
  4.250E-04  1.37554E-11  5.45862E-15  1.94931E+02  9.58121E-10  3.7E-04
  4.500E-04  1.54213E-11  5.45862E-15  1.94931E+02  1.01448E-09  3.7E-04
  4.750E-04  1.71823E-11  5.45862E-15  1.94931E+02  1.07084E-09  3.7E-04
  5.000E-04  1.90386E-11  5.45862E-15  1.94931E+02  1.12720E-09  3.7E-04
  5.250E-04  2.09900E-11  5.45862E-15  1.94931E+02  1.18356E-09  3.7E-04
  5.500E-04  2.30367E-11  5.45862E-15  1.94931E+02  1.23992E-09  3.7E-04
  5.750E-04  2.51785E-11  5.45862E-15  1.94931E+02  1.29628E-09  3.7E-04
  6.000E-04  2.74156E-11  5.45862E-15  1.94931E+02  1.35264E-09  3.7E-04
  6.250E-04  2.97478E-11  5.45861E-15  1.94931E+02  1.40900E-09  3.7E-04
  6.500E-04  3.21752E-11  5.45861E-15  1.94931E+02  1.46536E-09  3.7E-04
  6.750E-04  3.46979E-11  5.45861E-15  1.94931E+02  1.52172E-09  3.7E-04
  7.000E-04  3.73157E-11  5.45861E-15  1.94931E+02  1.57808E-09  3.7E-04
  7.250E-04  4.00286E-11  5.45861E-15  1.94931E+02  1.63444E-09  3.7E-04
  7.500E-04  4.28368E-11  5.45861E-15  1.94931E+02  1.69080E-09  3.7E-04
  7.750E-04  4.57402E-11  5.45861E-15  1.94931E+02  1.74716E-09  3.7E-04
  8.000E-04  4.87388E-11  5.45861E-15  1.94930E+02  1.80352E-09  3.7E-04
  8.250E-04  5.18325E-11  5.45861E-15  1.94930E+02  1.85988E-09  3.7E-04
  8.500E-04  5.50215E-11  5.45861E-15  1.94930E+02  1.91624E-09  3.7E-04
  8.750E-04  5.83057E-11  5.45861E-15  1.94930E+02  1.97260E-09  3.7E-04
  9.000E-04  6.16850E-11  5.45861E-15  1.94930E+02  2.02896E-09  3.7E-04
  9.250E-04  6.51595E-11  5.45860E-15  1.94930E+02  2.08532E-09  3.7E-04
  9.500E-04  6.87293E-11  5.45860E-15  1.94930E+02  2.14168E-09  3.7E-04
  9.750E-04  7.23943E-11  5.45860E-15  1.94930E+02  2.19804E-09  3.7E-04
  1.000E-03  7.61544E-11  5.45860E-15  1.94930E+02  2.25440E-09  3.7E-04
  1.250E-03  1.18991E-10  5.45859E-15  1.94930E+02  2.81799E-09  3.7E-04
  1.500E-03  1.71347E-10  5.45858E-15  1.94929E+02  3.38158E-09  3.7E-04
  1.750E-03  2.33223E-10  5.45856E-15  1.94929E+02  3.94517E-09  3.7E-04
  2.000E-03  3.04617E-10  5.45854E-15  1.94928E+02  4.50875E-09  3.7E-04
  2.250E-03  3.85531E-10  5.45852E-15  1.94927E+02  5.07232E-09  3.7E-04
  2.500E-03  4.75965E-10  5.45849E-15  1.94926E+02  5.63589E-09  3.7E-04
  2.750E-03  5.75917E-10  5.45846E-15  1.94925E+02  6.19945E-09  3.7E-04
  3.000E-03  6.85389E-10  5.45843E-15  1.94924E+02  6.76301E-09  3.7E-04
  3.250E-03  8.04380E-10  5.45840E-15  1.94923E+02  7.32655E-09  3.7E-04
  3.500E-03  9.32891E-10  5.45836E-15  1.94922E+02  7.89009E-09  3.7E-04
  3.750E-03  1.07092E-09  5.45832E-15  1.94920E+02  8.45362E-09  3.7E-04
  4.000E-03  1.21847E-09  5.45828E-15  1.94919E+02  9.01713E-09  3.7E-04
  4.250E-03  1.37554E-09  5.45824E-15  1.94917E+02  9.58064E-09  3.7E-04
  4.500E-03  1.54213E-09  5.45819E-15  1.94916E+02  1.01441E-08  3.7E-04
  4.750E-03  1.71823E-09  5.45814E-15  1.94914E+02  1.07076E-08  3.7E-04
  5.000E-03  1.90386E-09  5.45809E-15  1.94912E+02  1.12711E-08  3.7E-04
  5.250E-03  2.09900E-09  5.45803E-15  1.94910E+02  1.18345E-08  3.7E-04
  5.500E-03  2.30367E-09  5.45798E-15  1.94908E+02  1.23980E-08  3.7E-04
  5.750E-03  2.51785E-09  5.45792E-15  1.94906E+02  1.29614E-08  3.7E-04
  6.000E-03  2.74156E-09  5.45786E-15  1.94904E+02  1.35248E-08  3.7E-04
  6.250E-03  2.97478E-09  5.45779E-15  1.94901E+02  1.40882E-08  3.7E-04
  6.500E-03  3.21752E-09  5.45772E-15  1.94899E+02  1.46516E-08  3.7E-04
  6.750E-03  3.46978E-09  5.45765E-15  1.94896E+02  1.52149E-08  3.7E-04
  7.000E-03  3.73156E-09  5.45758E-15  1.94894E+02  1.57782E-08  3.7E-04
  7.250E-03  4.00286E-09  5.45750E-15  1.94891E+02  1.63416E-08  3.7E-04
  7.500E-03  4.28368E-09  5.45742E-15  1.94888E+02  1.69049E-08  3.7E-04
  7.750E-03  4.57402E-09  5.45734E-15  1.94885E+02  1.74681E-08  3.7E-04
  8.000E-03  4.87388E-09  5.45726E-15  1.94882E+02  1.80314E-08  3.7E-04
  8.250E-03  5.18326E-09  5.45717E-15  1.94879E+02  1.85946E-08  3.7E-04
  8.500E-03  5.50215E-09  5.45708E-15  1.94876E+02  1.91578E-08  3.7E-04
  8.750E-03  5.83057E-09  5.45699E-15  1.94873E+02  1.97210E-08  3.7E-04
  9.000E-03  6.16850E-09  5.45690E-15  1.94869E+02  2.02842E-08  3.7E-04
  9.250E-03  6.51596E-09  5.45680E-15  1.94866E+02  2.08473E-08  3.7E-04
  9.500E-03  6.87293E-09  5.45670E-15  1.94862E+02  2.14104E-08  3.7E-04
  9.750E-03  7.23942E-09  5.45660E-15  1.94859E+02  2.19735E-08  3.7E-04
  1.000E-02  7.61544E-09  5.45649E-15  1.94855E+02  2.25365E-08  3.7E-04
  1.250E-02  1.18991E-08  5.45529E-15  1.94812E+02  2.81654E-08  3.7E-04
  1.500E-02  1.71347E-08  5.45383E-15  1.94760E+02  3.37907E-08  3.6E-04
  1.750E-02  2.33223E-08  5.45210E-15  1.94698E+02  3.94119E-08  3.6E-04
  2.000E-02  3.04617E-08  5.45011E-15  1.94627E+02  4.50281E-08  3.6E-04
  2.250E-02  3.85531E-08  5.44786E-15  1.94547E+02  5.06388E-08  3.6E-04
  2.500E-02  4.75965E-08  5.44535E-15  1.94457E+02  5.62433E-08  3.5E-04
  2.750E-02  5.75917E-08  5.44258E-15  1.94358E+02  6.18408E-08  3.5E-04
  3.000E-02  6.85389E-08  5.43955E-15  1.94250E+02  6.74308E-08  3.4E-04
  3.250E-02  8.04380E-08  5.43627E-15  1.94133E+02  7.30126E-08  3.4E-04
  3.500E-02  9.32891E-08  5.43273E-15  1.94006E+02  7.85856E-08  3.4E-04
  3.750E-02  1.07092E-07  5.42894E-15  1.93871E+02  8.41491E-08  3.3E-04
  4.000E-02  1.21847E-07  5.42490E-15  1.93727E+02  8.97025E-08  3.2E-04
  4.250E-02  1.37554E-07  5.42061E-15  1.93574E+02  9.52453E-08  3.2E-04
  4.500E-02  1.54213E-07  5.41608E-15  1.93412E+02  1.00777E-07  3.1E-04
  4.750E-02  1.71823E-07  5.41131E-15  1.93241E+02  1.06296E-07  3.1E-04
  5.000E-02  1.90386E-07  5.40630E-15  1.93062E+02  1.11804E-07  3.0E-04
  5.250E-02  2.09900E-07  5.40105E-15  1.92875E+02  1.17298E-07  2.9E-04
  5.500E-02  2.30367E-07  5.39557E-15  1.92679E+02  1.22779E-07  2.9E-04
  5.750E-02  2.51785E-07  5.38986E-15  1.92475E+02  1.28247E-07  2.8E-04
  6.000E-02  2.74156E-07  5.38392E-15  1.92263E+02  1.33699E-07  2.7E-04
  6.250E-02  2.97478E-07  5.37775E-15  1.92043E+02  1.39137E-07  2.6E-04
  6.500E-02  3.21752E-07  5.37137E-15  1.91815E+02  1.44560E-07  2.6E-04
  6.750E-02  3.46978E-07  5.36477E-15  1.91579E+02  1.49967E-07  2.5E-04
  7.000E-02  3.73156E-07  5.35796E-15  1.91336E+02  1.55358E-07  2.4E-04
  7.250E-02  4.00286E-07  5.35093E-15  1.91085E+02  1.60732E-07  2.3E-04
  7.500E-02  4.28368E-07  5.34370E-15  1.90827E+02  1.66090E-07  2.2E-04
  7.750E-02  4.57402E-07  5.33627E-15  1.90562E+02  1.71431E-07  2.1E-04
  8.000E-02  4.87388E-07  5.32864E-15  1.90289E+02  1.76754E-07  2.0E-04
  8.250E-02  5.18325E-07  5.32082E-15  1.90010E+02  1.82059E-07  1.9E-04
  8.500E-02  5.50215E-07  5.31281E-15  1.89724E+02  1.87347E-07  1.8E-04
  8.750E-02  5.83057E-07  5.30461E-15  1.89431E+02  1.92617E-07  1.7E-04
  9.000E-02  6.16850E-07  5.29624E-15  1.89132E+02  1.97868E-07  1.7E-04
  9.250E-02  6.51596E-07  5.28768E-15  1.88827E+02  2.03101E-07  1.6E-04
  9.500E-02  6.87293E-07  5.27895E-15  1.88515E+02  2.08315E-07  1.5E-04
  9.750E-02  7.23942E-07  5.27006E-15  1.88197E+02  2.13510E-07  1.4E-04
  1.000E-01  7.61543E-07  5.26100E-15  1.87874E+02  2.18687E-07  1.3E-04
  1.250E-01  1.18991E-06  5.16249E-15  1.84356E+02  2.69431E-07  2.9E-05
  1.500E-01  1.71347E-06  5.05289E-15  1.80442E+02  3.18460E-07  5.7E-05
  1.750E-01  2.33223E-06  4.93691E-15  1.76300E+02  3.66228E-07  1.2E-04
  2.000E-01  3.04617E-06  4.81887E-15  1.72085E+02  4.13476E-07  1.6E-04
  2.250E-01  3.85531E-06  4.70241E-15  1.67926E+02  4.61138E-07  1.6E-04
  2.500E-01  4.75964E-06  4.59032E-15  1.63923E+02  5.10216E-07  1.3E-04
  2.750E-01  5.75916E-06  4.48446E-15  1.60143E+02  5.61615E-07  7.6E-05
  3.000E-01  6.85388E-06  4.38580E-15  1.56620E+02  6.15996E-07  1.3E-05
  3.250E-01  8.04378E-06  4.29451E-15  1.53360E+02  6.73657E-07  4.8E-05
  3.500E-01  9.32888E-06  4.21019E-15  1.50349E+02  7.34483E-07  9.7E-05
  3.750E-01  1.07092E-05  4.13201E-15  1.47557E+02  7.97984E-07  1.2E-04
  4.000E-01  1.21846E-05  4.05893E-15  1.44947E+02  8.63383E-07  1.3E-04
  4.250E-01  1.37553E-05  3.98990E-15  1.42482E+02  9.29768E-07  1.0E-04
  4.500E-01  1.54212E-05  3.92397E-15  1.40128E+02  9.96255E-07  6.0E-05
  4.750E-01  1.71822E-05  3.86042E-15  1.37858E+02  1.06214E-06  7.2E-06
  5.000E-01  1.90385E-05  3.79876E-15  1.35656E+02  1.12699E-06  4.5E-05
  5.250E-01  2.09899E-05  3.73876E-15  1.33514E+02  1.19074E-06  8.7E-05
  5.500E-01  2.30365E-05  3.68041E-15  1.31430E+02  1.25365E-06  1.1E-04
  5.750E-01  2.51783E-05  3.62383E-15  1.29409E+02  1.31623E-06  1.1E-04
  6.000E-01  2.74153E-05  3.56919E-15  1.27458E+02  1.37918E-06  8.9E-05
  6.250E-01  2.97475E-05  3.51666E-15  1.25582E+02  1.44318E-06  5.1E-05
  6.500E-01  3.21749E-05  3.46636E-15  1.23786E+02  1.50882E-06  3.5E-06
  6.750E-01  3.46974E-05  3.41827E-15  1.22069E+02  1.57645E-06  4.4E-05
