 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+01 eV = 3.30744E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file z_014.den   
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 1.58114E+00
 #
 # Total elastic cross section = 1.07762E-15 cm**2 = 3.84824E+01 a0**2
 # 1st transport cross section = 3.12288E-16 cm**2 = 1.11520E+01 a0**2
 # 2nd transport cross section = 3.10505E-16 cm**2 = 1.10883E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.50172E-15  2.67891E+02  0.00000E+00  5.3E-07
  1.000E-04  7.61557E-13  7.50172E-15  2.67891E+02  4.54877E-10  5.3E-07
  1.250E-04  1.18994E-12  7.50172E-15  2.67891E+02  5.68596E-10  5.3E-07
  1.500E-04  1.71346E-12  7.50172E-15  2.67891E+02  6.82316E-10  5.3E-07
  1.750E-04  2.33225E-12  7.50172E-15  2.67891E+02  7.96035E-10  5.3E-07
  2.000E-04  3.04617E-12  7.50172E-15  2.67891E+02  9.09754E-10  5.3E-07
  2.250E-04  3.85530E-12  7.50172E-15  2.67891E+02  1.02347E-09  5.3E-07
  2.500E-04  4.75964E-12  7.50172E-15  2.67891E+02  1.13719E-09  5.3E-07
  2.750E-04  5.75917E-12  7.50172E-15  2.67891E+02  1.25091E-09  5.3E-07
  3.000E-04  6.85391E-12  7.50172E-15  2.67891E+02  1.36463E-09  5.3E-07
  3.250E-04  8.04379E-12  7.50172E-15  2.67891E+02  1.47835E-09  5.3E-07
  3.500E-04  9.32893E-12  7.50172E-15  2.67891E+02  1.59207E-09  5.3E-07
  3.750E-04  1.07092E-11  7.50172E-15  2.67891E+02  1.70579E-09  5.3E-07
  4.000E-04  1.21847E-11  7.50172E-15  2.67891E+02  1.81951E-09  5.3E-07
  4.250E-04  1.37554E-11  7.50172E-15  2.67891E+02  1.93323E-09  5.3E-07
  4.500E-04  1.54213E-11  7.50172E-15  2.67891E+02  2.04695E-09  5.3E-07
  4.750E-04  1.71823E-11  7.50172E-15  2.67891E+02  2.16067E-09  5.3E-07
  5.000E-04  1.90386E-11  7.50172E-15  2.67891E+02  2.27439E-09  5.3E-07
  5.250E-04  2.09900E-11  7.50172E-15  2.67891E+02  2.38811E-09  5.3E-07
  5.500E-04  2.30367E-11  7.50172E-15  2.67891E+02  2.50182E-09  5.3E-07
  5.750E-04  2.51785E-11  7.50172E-15  2.67891E+02  2.61554E-09  5.3E-07
  6.000E-04  2.74156E-11  7.50172E-15  2.67891E+02  2.72926E-09  5.3E-07
  6.250E-04  2.97478E-11  7.50172E-15  2.67891E+02  2.84298E-09  5.3E-07
  6.500E-04  3.21752E-11  7.50172E-15  2.67891E+02  2.95670E-09  5.3E-07
  6.750E-04  3.46979E-11  7.50172E-15  2.67891E+02  3.07042E-09  5.3E-07
  7.000E-04  3.73157E-11  7.50172E-15  2.67891E+02  3.18414E-09  5.3E-07
  7.250E-04  4.00286E-11  7.50172E-15  2.67891E+02  3.29786E-09  5.3E-07
  7.500E-04  4.28368E-11  7.50172E-15  2.67891E+02  3.41158E-09  5.3E-07
  7.750E-04  4.57402E-11  7.50172E-15  2.67891E+02  3.52530E-09  5.3E-07
  8.000E-04  4.87388E-11  7.50172E-15  2.67891E+02  3.63902E-09  5.3E-07
  8.250E-04  5.18325E-11  7.50172E-15  2.67891E+02  3.75274E-09  5.3E-07
  8.500E-04  5.50215E-11  7.50172E-15  2.67891E+02  3.86646E-09  5.3E-07
  8.750E-04  5.83057E-11  7.50172E-15  2.67891E+02  3.98018E-09  5.3E-07
  9.000E-04  6.16850E-11  7.50172E-15  2.67891E+02  4.09389E-09  5.3E-07
  9.250E-04  6.51595E-11  7.50172E-15  2.67891E+02  4.20761E-09  5.3E-07
  9.500E-04  6.87293E-11  7.50172E-15  2.67891E+02  4.32133E-09  5.3E-07
  9.750E-04  7.23943E-11  7.50172E-15  2.67891E+02  4.43505E-09  5.3E-07
  1.000E-03  7.61544E-11  7.50172E-15  2.67891E+02  4.54877E-09  5.3E-07
  1.250E-03  1.18991E-10  7.50172E-15  2.67891E+02  5.68596E-09  5.3E-07
  1.500E-03  1.71347E-10  7.50172E-15  2.67891E+02  6.82316E-09  5.3E-07
  1.750E-03  2.33223E-10  7.50172E-15  2.67891E+02  7.96035E-09  5.3E-07
  2.000E-03  3.04617E-10  7.50172E-15  2.67891E+02  9.09754E-09  5.3E-07
  2.250E-03  3.85531E-10  7.50172E-15  2.67891E+02  1.02347E-08  5.3E-07
  2.500E-03  4.75965E-10  7.50172E-15  2.67891E+02  1.13719E-08  5.3E-07
  2.750E-03  5.75917E-10  7.50172E-15  2.67891E+02  1.25091E-08  5.3E-07
  3.000E-03  6.85389E-10  7.50172E-15  2.67891E+02  1.36463E-08  5.3E-07
  3.250E-03  8.04380E-10  7.50171E-15  2.67891E+02  1.47835E-08  5.3E-07
