 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  14,   projectile: electron
 #  Kinetic energy = 2.50000E+04 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.94722E-08  6.16645E-09  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  5.94722E-08  6.16645E-09  2.42778E-15  2.55937E-16
  1.250E-04  1.18994E-12  5.94722E-08  6.16645E-09  3.03472E-15  3.19922E-16
  1.500E-04  1.71346E-12  5.94722E-08  6.16645E-09  3.64167E-15  3.83906E-16
  1.750E-04  2.33225E-12  5.94722E-08  6.16645E-09  4.24861E-15  4.47890E-16
  2.000E-04  3.04617E-12  5.94722E-08  6.16645E-09  4.85556E-15  5.11875E-16
  2.250E-04  3.85530E-12  5.94722E-08  6.16645E-09  5.46250E-15  5.75859E-16
  2.500E-04  4.75964E-12  5.94722E-08  6.16645E-09  6.06944E-15  6.39844E-16
  2.750E-04  5.75917E-12  5.94722E-08  6.16645E-09  6.67639E-15  7.03828E-16
  3.000E-04  6.85391E-12  5.94722E-08  6.16645E-09  7.28333E-15  7.67812E-16
  3.250E-04  8.04379E-12  5.94722E-08  6.16645E-09  7.89028E-15  8.31797E-16
  3.500E-04  9.32893E-12  5.94722E-08  6.16645E-09  8.49722E-15  8.95781E-16
  3.750E-04  1.07092E-11  5.94722E-08  6.16645E-09  9.10417E-15  9.59765E-16
  4.000E-04  1.21847E-11  5.94722E-08  6.16645E-09  9.71111E-15  1.02375E-15
  4.250E-04  1.37554E-11  5.94722E-08  6.16645E-09  1.03181E-14  1.08773E-15
  4.500E-04  1.54213E-11  5.94722E-08  6.16645E-09  1.09250E-14  1.15172E-15
  4.750E-04  1.71823E-11  5.94722E-08  6.16645E-09  1.15319E-14  1.21570E-15
  5.000E-04  1.90386E-11  5.94722E-08  6.16645E-09  1.21389E-14  1.27969E-15
  5.250E-04  2.09900E-11  5.94722E-08  6.16645E-09  1.27458E-14  1.34367E-15
  5.500E-04  2.30367E-11  5.94722E-08  6.16645E-09  1.33528E-14  1.40766E-15
  5.750E-04  2.51785E-11  5.94722E-08  6.16645E-09  1.39597E-14  1.47164E-15
  6.000E-04  2.74156E-11  5.94722E-08  6.16645E-09  1.45667E-14  1.53562E-15
  6.250E-04  2.97478E-11  5.94722E-08  6.16645E-09  1.51736E-14  1.59961E-15
  6.500E-04  3.21752E-11  5.94722E-08  6.16645E-09  1.57806E-14  1.66359E-15
  6.750E-04  3.46979E-11  5.94722E-08  6.16645E-09  1.63875E-14  1.72758E-15
  7.000E-04  3.73157E-11  5.94722E-08  6.16645E-09  1.69944E-14  1.79156E-15
  7.250E-04  4.00286E-11  5.94722E-08  6.16645E-09  1.76014E-14  1.85555E-15
  7.500E-04  4.28368E-11  5.94722E-08  6.16645E-09  1.82083E-14  1.91953E-15
  7.750E-04  4.57402E-11  5.94722E-08  6.16645E-09  1.88153E-14  1.98351E-15
  8.000E-04  4.87388E-11  5.94722E-08  6.16645E-09  1.94222E-14  2.04750E-15
  8.250E-04  5.18325E-11  5.94722E-08  6.16645E-09  2.00292E-14  2.11148E-15
  8.500E-04  5.50215E-11  5.94722E-08  6.16645E-09  2.06361E-14  2.17547E-15
  8.750E-04  5.83057E-11  5.94722E-08  6.16645E-09  2.12430E-14  2.23945E-15
  9.000E-04  6.16850E-11  5.94722E-08  6.16645E-09  2.18500E-14  2.30344E-15
  9.250E-04  6.51595E-11  5.94722E-08  6.16645E-09  2.24569E-14  2.36742E-15
  9.500E-04  6.87293E-11  5.94722E-08  6.16645E-09  2.30639E-14  2.43141E-15
  9.750E-04  7.23943E-11  5.94722E-08  6.16645E-09  2.36708E-14  2.49539E-15
  1.000E-03  7.61544E-11  5.94722E-08  6.16645E-09  2.42778E-14  2.55937E-15
  1.250E-03  1.18991E-10  5.94722E-08  6.16645E-09  3.03472E-14  3.19922E-15
  1.500E-03  1.71347E-10  5.94722E-08  6.16645E-09  3.64166E-14  3.83906E-15
  1.750E-03  2.33223E-10  5.94722E-08  6.16645E-09  4.24861E-14  4.47890E-15
  2.000E-03  3.04617E-10  5.94721E-08  6.16645E-09  4.85555E-14  5.11875E-15
  2.250E-03  3.85531E-10  5.94721E-08  6.16645E-09  5.46249E-14  5.75859E-15
  2.500E-03  4.75965E-10  5.94721E-08  6.16645E-09  6.06943E-14  6.39843E-15
  2.750E-03  5.75917E-10  5.94721E-08  6.16645E-09  6.67637E-14  7.03828E-15
  3.000E-03  6.85389E-10  5.94720E-08  6.16645E-09  7.28331E-14  7.67812E-15
  3.250E-03  8.04380E-10  5.94720E-08  6.16645E-09  7.89025E-14  8.31796E-15
